technology,industry
Alumina production,Non-Ferrous Metals
Aluminium - primary production,Non-Ferrous Metals
Aluminium - secondary production,Non-Ferrous Metals
Ammonia,Chemicals Industry
Cement,Non-metallic mineral products
Ceramics & other NMM,Non-metallic mineral products
Chlorine,Chemicals Industry
DRI + Electric arc,Iron and Steel
Electric arc,Iron and Steel
"Food, beverages and tobacco",Other industries
Glass production,Non-metallic mineral products
HVC,Chemicals Industry
HVC (chemical recycling),Chemicals Industry
HVC (mechanical recycling),Chemicals Industry
Integrated steelworks,Iron and Steel
Machinery Equipment,Other industries
Methanol,Chemicals Industry
Other Industrial Sectors,Other industries
Other chemicals,Chemicals Industry
Other non-ferrous metals,Non-Ferrous Metals
Paper production,Other industries
Pharmaceutical products etc.,Chemicals Industry
Printing and media reproduction,Other industries
Pulp production,Other industries
Textiles and leather,Other industries
Transport Equipment,Other industries
Wood and wood products,Other industries
