country,carrier,2030,2040
AL,BEV charger,2.15588366422719,4.850738244511177
AL,H2 Fuel Cell,5.719297198756632e-07,9.547673016797029e-07
AL,air heat pump,0.0199347426228234,0.0249612265413724
AL,battery charger,4.4149844528292215e-06,8.134069234823443e-06
AL,ground heat pump,0.0176975941153133,0.0265236469521186
AL,home battery charger,0.2988184836304423,0.541141613199625
AL,hydro,1.6907,1.6907
AL,water tanks charger,0.4336180037909239,0.5070115239502926
AT,BEV charger,8.35656448,18.80227008
AT,H2 Fuel Cell,6.309700961199943e-07,1.0556863956753017e-06
AT,PHS,5.057300000000001,5.057300000000001
AT,air heat pump,0.3348876523098121,0.5857651205131811
AT,battery charger,4.439381828066411e-06,7.918708882839186e-06
AT,ground heat pump,0.1461926740139699,0.2194306316215193
AT,home battery charger,0.4738338351600911,0.5285109072469771
AT,hydro,3.6006199999999997,3.6006199999999997
AT,water tanks charger,3.277100662845552,6.416951552129988
BA,BEV charger,2.884696047087263,6.490566105946341
BA,H2 Fuel Cell,5.762283383800984e-07,9.758797749472646e-07
BA,PHS,0.44,0.44
BA,air heat pump,0.0448583103034842,0.0758048829763662
BA,battery charger,4.405026703119876e-06,8.033645361882896e-06
BA,ground heat pump,0.0589986463610832,0.0620204999594169
BA,home battery charger,0.5070924884472858,0.975438406519261
BA,hydro,1.6145,1.6145
BA,water tanks charger,0.7628833318618731,0.8965868756924238
BE,BEV charger,9.89749904,22.269372839999992
BE,H2 Fuel Cell,1.8388435176670544e-06,3.1273423816050107e-06
BE,PHS,1.308,1.308
BE,air heat pump,0.6848872552813456,0.9491801192081748
BE,battery charger,1.3427964158286176e-05,2.385103310546165e-05
BE,ground heat pump,0.2436805103771147,0.2652672619510099
BE,home battery charger,0.3584872946576472,0.3585675518530627
BE,hydro,0.0127828025477706,0.0127828025477706
BE,water tanks charger,14.87621913287373,7.284493775873028
BG,BEV charger,5.58504848,12.56635908
BG,H2 Fuel Cell,5.660810316629777e-07,9.55467908079889e-07
BG,PHS,0.864,0.864
BG,air heat pump,0.1324045032249002,0.1146762285765096
BG,battery charger,4.581094479304792e-06,8.332918899342765e-06
BG,ground heat pump,0.0807077237803782,0.0939372706983862
BG,home battery charger,0.6596982338565488,2.56417900337178
BG,hydro,1.92514,1.92514
BG,water tanks charger,2.283052206390811,2.530283793144271
CH,BEV charger,7.84620144,17.65395324
CH,H2 Fuel Cell,5.976207161628361e-07,9.976236508995422e-07
CH,PHS,5.08955,5.08955
CH,air heat pump,0.3823645408379617,0.4196108297083273
CH,battery charger,4.557383795832233e-06,8.045156683917529e-06
CH,ground heat pump,0.1513340754033196,0.2410185059347658
CH,home battery charger,0.232804272498265,0.7831908430087986
CH,hydro,9.91631,9.91631
CH,water tanks charger,7.562378318464974,6.596082691006742
CZ,BEV charger,9.00295616,20.256651359999996
CZ,H2 Fuel Cell,6.258006645249799e-07,1.049689580297675e-06
CZ,air heat pump,0.2313859875965999,0.461692739901611
CZ,battery charger,4.502071932186207e-06,8.038980436594904e-06
CZ,ground heat pump,0.2349464193271013,0.2739540844395752
CZ,home battery charger,0.4327341859652097,0.4327550006820819
CZ,water tanks charger,8.530677698989413,7.764310333818108
DE,BEV charger,79.32532784,178.48198764
DE,H2 Fuel Cell,6.453141115538387e-07,1.0575293827883256e-06
DE,PHS,7.59922,7.59922
DE,air heat pump,3.463482187747607,4.964417012087937
