snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
carrier,Oil,Oil,Electricity,Oil,Centralized heat,Decentralized heat,Oil,H2,Electricity,Solid biomass,Methane,Electricity,H2,Electricity,Electricity,Oil,Decentralized heat,Centralized heat,Methane,Electricity,Li ion,Solid biomass,Electricity,Methane,Oil,Decentralized heat
sector,Industry,Agriculture,Industry,Shipping,Industry,Agriculture,Aviation,Industry,Agriculture,Industry,Industry,Residual,Ammonia,Ammonia production,Heat,Transport,Heat,Residential / Services Heat,Heat,Transport,Storage ,Biomass CHP,Hydroelectricity,Power supply,Heat,Storage charging
2030-01-01 00:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283932766396,5.100228143438986,3.0514122927431457,0.4855372518407138,0.1045570901952355,1.7350643332680127,1.4463186675639002,10.497589460949056,2.5876449502715535,10.742567413050669,0.7849692073134595,0.6104602885879035,9.813595774983523e-06,4.976712072450183e-06,3.9113683875588835e-06,2.961455618098191e-06,6.373841396590697e-06
2030-01-01 03:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283934612506,5.100228145046936,2.4125218484228275,0.4853662825040992,0.104520273130672,2.022351094500464,7.212802545344,17.1934746267929,4.238053601309875,18.907671597723475,1.136036228946673,0.7836336766149858,1.3542778915590574e-05,,4.174036073676626e-06,2.9186377233284273e-06,6.20341324536539e-06
2030-01-01 06:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.550228393566052,5.100228145895478,2.370812350503705,0.4406038098723134,0.0948809841356871,2.108254947397513,15.292578401467004,17.785912264217597,4.384078242933736,19.615284291331218,1.1047081324840398,0.1881418438208358,1.6243572216818125e-05,,4.30476094747044e-06,2.905303398194666e-06,6.2827101706905905e-06
2030-01-01 09:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283936519057,5.10022814652941,2.937665934391304,0.4405907482539016,0.0948781714064697,2.216233746413306,12.589377636234,15.682805776209188,3.865702401688887,16.88077014866604,0.9043653614025264,0.0672820336124737,1.9931448959687098e-05,0.0,4.456937004042979e-06,2.924424071789228e-06,6.4739593968087384e-06
2030-01-01 12:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283937104804,5.100228147048597,3.0036544117025517,0.4855164223980042,0.1045526047187621,2.1960184332230686,14.831271624485002,15.011970664302831,3.700354277190027,16.03439459122198,1.1102365925018751,0.2068615706459876,1.2149585997343423e-05,1.6423599320604563e-05,4.1518274112488526e-06,2.917434500951909e-06,7.576657160397963e-06
2030-01-01 15:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.550228393758873,5.1002281475030635,3.29656473760263,0.4405660707344146,0.0948728572732678,1.8976442393681943,16.946082294432,15.942119326353996,3.9296182791643495,17.57496077519983,0.4005663922953957,,4.944908723974509e-05,0.0,4.817180142157994e-06,2.918489917344994e-06,6.435889974432242e-06
2030-01-01 18:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283937948358,5.100228147930258,3.407598398690798,0.4405545968453426,0.0948703864505862,1.6401516373643101,7.799438578108,15.767839239814528,3.886661550131654,17.659966270982594,0.5225605628414457,,6.727885974949575e-05,1.7075065812370953e-07,4.877546848683433e-06,2.920819396672924e-06,6.779612077250288e-06
2030-01-01 21:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283938299688,5.100228148339484,3.660744967910671,0.4405934720877085,0.0948787579652475,1.4524550871169448,3.0934032960554005,10.946370327184912,2.6982609311377885,11.738626834178143,0.4564200165616192,0.1599273624838772,0.049826999677593,,5.095694966683069e-06,2.9503307536314982e-06,8.225359332731227e-06
2030-01-02 00:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283938630141,5.100228148710458,2.970625236303708,0.4393563520679306,0.0946123527223956,1.6380447868794934,1.4874120600774,11.343451265581388,2.7954289593485044,11.47473355384349,0.9597641623828812,0.7649439543862931,0.832652036774508,,5.581212848462246e-06,2.9476280731527485e-06,0.0286738512358987
2030-01-02 03:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283938982708,5.100228149064605,2.6966662450342733,0.440343487077396,0.0948249254216649,2.1352358836514216,7.296732471336,18.68786282052971,4.60514662947582,20.197561579378664,0.7347783001227386,0.4201475964248946,0.8326631979162258,,5.705133412659959e-06,7.5132821221736035e-06,0.0159999953936648
2030-01-02 06:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.550228393928734,5.100228149395025,3.4630017093367385,0.4154678299965782,0.0894681246587894,1.6147243687956578,15.719596585256,19.337680673571786,4.765266589811276,20.42699615106142,0.0068439979603863,,1.8253654150937413,,5.989879292894883e-06,0.313895632998743,4.074523712051458e-06
2030-01-02 09:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283939494146,5.100228149710037,4.019111576935576,0.4405692238725978,0.0948735362797748,1.0540937773543866,13.216086225203998,17.030878908048624,4.196853471663549,19.072088869522027,1.3874999952818512,0.4698545843350659,0.8326434072092442,,5.4542261175368164e-06,2.865399175554788e-06,8.273061878454404e-06
2030-01-02 12:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283939725985,5.100228150023993,4.0864345489521945,0.4405864785323471,0.0948772519514537,1.0405606547780184,15.501821120332,16.295070409157617,4.015544784033429,18.091877194332596,1.0253533009941038,0.0913925360470934,0.8326224268508596,1.0100314138628214e-06,5.195611218085017e-06,2.880956283052566e-06,7.262022796084521e-06
2030-01-02 15:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.550228393991228,5.100228150310766,4.440947881475966,0.4154620212566025,0.089466873786797,0.9999179308027772,17.309783321702998,17.315308107272532,4.266938951417227,18.658641715235117,0.084495655297797,,1.8254653567016743,,5.872879870202352e-06,2.857004517557496e-06,6.304333643175007e-06
2030-01-02 18:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283940047332,5.100228150588831,4.199347877057938,0.4405851818724667,0.0948769727247135,1.0244349642042108,8.197270326742,17.12414819543851,4.219835732595151,19.17660691412183,0.3389147767704868,,0.8326278145808631,1.218251200782602e-06,5.150589784582974e-06,2.874057713802337e-06,6.196376850338766e-06
2030-01-02 21:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283940194617,5.100228150853425,4.1156704666509505,0.4405960884260737,0.0948793213756252,1.0149506372706365,3.2787323422068004,11.8356985195774,2.916722359802818,13.126585101815762,0.4291056889261496,0.1208641683827447,0.052680119048613,2.746501972463129e-06,5.01094836879992e-06,2.948085195087328e-06,6.036529817761365e-06
2030-01-03 00:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.5502283940343122,5.100228151103484,3.5738954186661496,0.4406221834265225,0.0948849407535519,1.0153298697836386,1.4946661138343,7.908226466388588,1.947632229054111,8.185563681587665,0.9641176520214262,0.7655728674384035,0.031070764224914,4.406558750607488e-06,4.937771408448616e-06,2.9695715091060818e-06,6.257120764699505e-06
2030-01-03 03:00:00,7.791095890414001,0.23557372544599,5.367579908675799,7.776837238382229,0.4257990867579908,0.8042242257195091,2.253583391852,0.4703196347031963,0.1702536780122392,1.550228394050436,5.100228151341263,3.455517161349711,0.4521992998064347,0.0973779927221624,1.0142001650951051,6.885464414755,12.618834034924522,3.10733991187763,14.05907022114683,1.0663512356080642,0.7299262601242879,0.0521189756687194,9.811107037269278e-06,4.854980442121716e-06,2.946617646616572e-06,6.131455657106935e-06
