countries,carrier,2030,2030_std,2040,2040_std
AL,gas,24.499063996987125,1.0929777923709458,23.589537576524293,1.0999242923971748
AT,gas,23.829687187934695,1.146341768513674e-07,22.915829593418113,2.3965472357345034e-08
BA,gas,23.744919001653123,1.254495033115132,22.835382119834343,0.6456698847285272
BE,gas,26.07441524828257,0.2664278869592951,25.727960583982508,0.562563587634248
BG,gas,24.435567523748144,1.7922386535449322e-06,23.76000130104464,1.379179627797903e-07
CH,gas,25.96613100745896,1.300683127966992,25.052270134522132,1.4505757452287529
CZ,gas,24.36069723317543,5.741910626904433e-07,23.760000951471877,6.816446453822455e-08
DE,gas,24.999999925127423,4.0254215633982505e-08,24.99999997835544,1.1416055131285814e-08
DK,gas,26.562408836635996,0.7631457923588385,26.29724344492898,0.111428007731547
EE,gas,24.366344148826236,0.6154135041875539,24.366353416096587,0.5295865983318873
ES,gas,25.855137580988732,0.0713225794184681,25.74299618453631,0.1203076222847309
FI,gas,26.22559194951707,1.5693895158645466,25.74616743831981,1.4291792999731094
FR,gas,24.99999996988491,8.695504847934463e-08,24.99999997890144,1.924768296250142e-08
GB,gas,25.210957278770337,2.3076814911379417e-06,25.21095780206423,2.809241963493058e-07
GR,gas,24.99999435088218,3.413991265889066e-06,24.51585310620881,0.3991493123003166
HR,gas,24.66953719666308,0.8034075709002707,23.76000122568272,8.784972763795777e-07
HU,gas,24.128541035128947,1.0016963453338686e-07,23.76000053612354,4.789164904791281e-09
IE,gas,26.150575106506235,3.639627538557772e-06,26.150578356381516,7.898234039572025e-07
IT,gas,25.110904460732502,0.2330978587956861,25.11090864266672,0.2201038829395984
LT,gas,24.187130001740336,0.5874919144737986,24.023466831239357,0.4994699450707742
LU,gas,27.912623848867792,0.9006953532378548,27.089315797608865,1.4186412923950846
LV,gas,24.99999835588328,7.950148723555528e-08,24.999999199167583,5.027146252577695e-09
ME,gas,25.404158159280993,1.1906991479103772,24.494624888668472,0.9116900202477912
MK,gas,26.054721684051017,0.7958433794661307,25.145203348048724,0.855107211951625
NL,gas,24.999999793322964,2.5958710912668532e-08,24.999999942900747,7.911675394782706e-09
NO,gas,24.999999723980977,5.3825641299905504e-08,24.99999996816981,5.012402092048498e-09
PL,gas,25.000000088079535,9.171917955875312e-08,24.99999999139404,2.014968830523635e-08
PT,gas,25.184277858540675,8.063383999128687e-06,25.18428027435201,4.835228779649112e-07
RO,gas,24.99999871696096,4.66102541250023e-08,24.99999954035375,2.0016127383567882e-09
RS,gas,27.057071591814317,1.6284358670787018,25.734626167958513,0.9116916183027366
SE,gas,26.98894910078059,1.2215011118255283,26.240001190575057,1.7664750845701736e-06
SI,gas,25.517104945672077,0.7719139965688953,24.6032530204546,0.4195134432774725
