config,cost_segment,cost/carrier,2030,2040,2050
prod_tot,Energy production,capital,272201654233.42386,339533405286.69855,565923922787.0123
prod_tot,Energy production,fuel,378339793992.9644,252794446615.22894,115905101486.10605
prod_tot,Energy production,marginal,282546011645.887,248003847776.7213,165789761717.47076
sto_tot,Storage,capital,44275912562.52889,49741288811.732605,53485139537.04844
tran_tot,Transmission,capital,11750547360.38984,13319155974.338182,18273092995.159313
tran_tot,Transmission,marginal,117859787.30249639,81511288.36340745,2988446642.8379965
distr_tot,Distribution,capital,184556942238.43243,196636512753.0367,246800087698.63806
net_imp_tot,Net_Imports,H2,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0
prod_be,Energy production,capital,6902503787.217139,6904771592.934227,9855514102.407307
prod_be,Energy production,fuel,3480071296.272219,4655008637.424341,4557335131.375829
prod_be,Energy production,marginal,11762570352.49811,9374550251.497398,4819353601.317368
sto_be,Storage,capital,475032421.36079013,480929763.9722503,523826202.71761453
distr_be,Distribution,capital,5396605224.907039,6095488466.147712,7904916555.57218
net_imp_be,Net_Imports,H2,-497382900.0617883,-273237507.97658753,-130904983.87413085
net_imp_be,Net_Imports,elec,416382249.59669256,2258209393.121868,3629430374.2804594
net_imp_be,Net_Imports,gas,662484847.0088279,757798999.9761391,217637986.22130919
prod_eu27,Energy production,capital,230613987785.7938,280320818357.88306,445497874827.15454
prod_eu27,Energy production,fuel,90888394599.75906,70068458850.87094,29526728043.04576
prod_eu27,Energy production,marginal,215716340210.63342,191818871264.675,117509309180.31885
sto_eu27,Storage,capital,31591793473.996754,35959381879.978294,39770646031.87735
distr_eu27,Distribution,capital,154158677777.13144,164875417281.822,206664496016.22998
net_imp_eu27,Net_Imports,H2,-542139582.6969719,-671689724.7962135,-2615631329.897399
net_imp_eu27,Net_Imports,elec,-139791097.95705223,-3325175031.650423,-1157093595.4203205
net_imp_eu27,Net_Imports,gas,-4815470997.678826,-4915941814.716472,-2838167644.6746607
