country,lon,lat
AL,19.8979137,41.5875683
AT,13.2112299,47.5201995
BA,17.8161176,44.1809018
FL,4.11004351,51.1641579
BX,4.220123,50.864911
WL,5.24622833,50.4022606
BG,25.1089685,42.7765318
CH,8.05552158,46.7553015
CZ,15.7621469,49.8048703
DE,10.0037412,50.7017011
DK,9.81397165,56.0673031
EE,25.8791518,58.9799063
ES,-3.0756295,40.6970676
FI,25.0169222,62.4936214
FR,2.90691682,46.6092195
GB,-1.6271243,52.7374937
GR,22.483654,39.2338204
HR,16.5142021,45.0383427
HU,19.3145319,47.1857755
IE,-7.5770821,52.817993
IT,12.6796449,42.6681824
LT,23.3878203,55.1392235
LU,6.13051069,49.6773404
LV,23.7246801,56.8388023
ME,19.1445008,42.8066642
MK,21.5874482,41.5813623
NL,5.52775621,52.3434441
NO,10.4822649,62.4639528
PL,19.1656618,52.0025877
PT,-8.3078487,39.3495327
RO,25.1804601,45.4806211
RS,20.7799795,43.9555543
SE,16.9727044,62.7448619
SI,14.8753478,46.1372819
SK,18.988227,48.6448953
BE,4.220123,50.864911
