config,cost_segment,capital,marginal
2030_tot,Distribution,41207115383.76188,0.0
2030_tot,Energy production,336917806490.8111,651752613327.2714
2030_tot,Storage,43156793135.211395,0.0
2030_tot,Transmission,12973694785.248816,566761574.3600355
2035_tot,Distribution,43194115699.57038,0.0
2035_tot,Energy production,377980732651.0112,594553087390.0721
2035_tot,Storage,45521208020.40987,0.0
2035_tot,Transmission,13165505609.400755,521692851.6220462
2040_tot,Distribution,48562118829.501465,0.0
2040_tot,Energy production,427315328340.9102,511404381270.8259
2040_tot,Storage,45926977754.30032,0.0
2040_tot,Transmission,14542572835.523336,498843891.8160103
2045_tot,Distribution,54737655949.13879,0.0
2045_tot,Energy production,506526779946.96,407209543862.23553
2045_tot,Storage,47071192062.93369,0.0
2045_tot,Transmission,17139601792.736105,1001688818.0908961
2050_tot,Distribution,58017758136.467255,0.0
2050_tot,Energy production,581856835099.0916,356578367873.1777
2050_tot,Storage,48847671457.21291,0.0
2050_tot,Transmission,20073737683.46571,3605972766.5412154
2030_eu27,Distribution,33440348216.41061,0.0
2030_eu27,Energy production,279508564752.2411,297734300211.7126
2030_eu27,Storage,30057247705.929504,0.0
2035_eu27,Distribution,35107859725.34033,0.0
2035_eu27,Energy production,308036794908.12445,290335352461.06067
2035_eu27,Storage,30499834779.843853,0.0
2040_eu27,Distribution,39148908067.48482,0.0
2040_eu27,Energy production,341676575035.31946,260701478795.5511
2040_eu27,Storage,32575819762.010494,0.0
2045_eu27,Distribution,44344229760.851074,0.0
2045_eu27,Energy production,407623483130.9585,210932266573.73666
2045_eu27,Storage,33803263571.371372,0.0
2050_eu27,Distribution,47236294398.534294,0.0
2050_eu27,Energy production,470307081439.7797,223961547609.74774
2050_eu27,Storage,35098188103.85049,0.0
2030_be,Distribution,1183047514.2470503,0.0
2030_be,Energy production,7542587125.42605,15454652400.08763
2030_be,Storage,495980969.0283659,0.0
2035_be,Distribution,1324266935.10722,0.0
2035_be,Energy production,7597095528.824079,15358082277.535215
2035_be,Storage,496880512.8975008,0.0
2040_be,Distribution,1510820740.3827271,0.0
2040_be,Energy production,7262267322.055258,14286129192.531418
2040_be,Storage,499025646.1300192,0.0
2045_be,Distribution,1803917820.7582948,0.0
2045_be,Energy production,8692467316.463617,12231659982.122335
2045_be,Storage,501663991.182427,0.0
2050_be,Distribution,1938706482.1366115,0.0
2050_be,Energy production,9215171694.603945,11429390601.644505
2050_be,Storage,512394720.80987906,0.0
2030_fl,Distribution,710520466.8610563,0.0
2030_fl,Energy production,5118631477.3392,11526783967.998228
2030_fl,Storage,174936546.74229935,0.0
2035_fl,Distribution,793929131.1388026,0.0
2035_fl,Energy production,5170847884.992987,11423733345.194702
2035_fl,Storage,175258263.40864503,0.0
2040_fl,Distribution,908359775.5410466,0.0
2040_fl,Energy production,5001721374.191915,10727949830.467363
2040_fl,Storage,176584297.6027548,0.0
2045_fl,Distribution,1073791150.0951562,0.0
2045_fl,Energy production,5794458587.714567,9655305196.626957
2045_fl,Storage,178107525.52794883,0.0
2050_fl,Distribution,1149046613.7713046,0.0
2050_fl,Energy production,5919951286.310842,9126190557.05743
2050_fl,Storage,180819632.73943,0.0
2030_fr,Distribution,5783431841.802362,0.0
2030_fr,Energy production,61766410984.31755,44781212461.16094
2030_fr,Storage,3970138418.2452703,0.0
2035_fr,Distribution,6041011669.923588,0.0
2035_fr,Energy production,65707541517.63079,42890117578.86559
2035_fr,Storage,3971858568.768949,0.0
2040_fr,Distribution,6796636313.287448,0.0
2040_fr,Energy production,74442292695.53812,36442441507.181816
2040_fr,Storage,3980172686.0491138,0.0
2045_fr,Distribution,7734960449.372783,0.0
2045_fr,Energy production,92881820035.73126,27782279749.705013
2045_fr,Storage,4014829781.5012746,0.0
2050_fr,Distribution,8205994656.812585,0.0
2050_fr,Energy production,107551538201.61266,25441575081.832325
