imports_exports,countries,year,carriers,AL,AT,BA,BG,BX,CH,CZ,DE,DK,EE,ES,FI,FL,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,WL
imports,AL,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7842156630810335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.940666152098714,0.0,0.0,0.0,0.0,0.0,0.0,4.033296792324915,0.0,0.0,0.0,0.0
imports,AT,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.1709011497907198,9.288128542403037,9.650404394728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.766837031424604,0.0,1.7001479198973417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.685375393044488,0.0,0.0
imports,BA,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.537071096293329,0.0,0.0,0.0,0.0,0.0,0.0,6.84420746026136,0.0,0.0,0.0,0.0,0.0,0.0,5.980837320653773,0.0,0.0,0.0,0.0
imports,BG,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787664029246857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7130067048141964,0.0,0.0,0.0,0.0,6.731069442200079,2.7892827338244093,0.0,0.0,0.0,0.0
imports,BX,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.216152881592774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078515614933094
imports,CH,2030,Electricity,0.0,23.38927844355773,0.0,0.0,0.0,0.0,0.0,39.60283091912813,0.0,0.0,0.0,0.0,0.0,0.8757873224968983,0.0,0.0,0.0,0.0,0.0,43.228120130975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,CZ,2030,Electricity,0.0,3.855649440617005,0.0,0.0,0.0,0.0,0.0,1.8053369387758351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62655577683338,0.0,0.0,0.0,0.0,0.0,10.269097067525207,0.0
imports,DE,2030,Electricity,0.0,53.58098296464633,0.0,0.0,0.0,30.475184478139266,27.65574819567467,0.0,0.7888834734012514,0.0,0.0,0.0,0.0,1.9712736169867824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0571279791081736,0.0,0.0,0.0,7.7079953787641236,2.381963072936682,22.65298430210834,0.0,0.0,0.0,0.9584001626071592,0.0,0.0,1.7221927695445896
imports,DK,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.252044088416251,0.0,0.0,0.0,0.0,0.0,0.0,4.987694770371555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.751881419613746,2.4610812931173025,0.0,0.0,0.0,0.0,0.5611132729117002,0.0,0.0,0.0
imports,EE,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932069207104435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389877331503649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,ES,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9292195265086424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.141841416347582,0.0,0.0,0.0,0.0,0.0,0.0
imports,FI,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217915573302385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,FL,2030,Electricity,0.0,0.0,0.0,0.0,4.437033273379122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3254946506885767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.567901327651274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.229151994296318
imports,FR,2030,Electricity,0.0,0.0,0.0,0.0,0.0,62.24268093379295,0.0,38.27609532091002,0.0,0.0,7.218234301180965,0.0,0.0,0.0,6.964383334904799,0.0,0.0,0.0,0.0,5.806416915408855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47528521538751
imports,GB,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160741278587375,0.0,0.0,0.0,3.891353108899648,3.207939947232397,0.0,0.0,0.0,0.0,0.1504505353349731,0.0,0.0,0.0,0.0,0.0,0.0,3.763161438814768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,GR,2030,Electricity,7.402736318503672,0.0,0.0,5.414086745052283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279009178599984,0.0,0.0,0.0,0.0,15.158010250809497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,HR,2030,Electricity,0.0,0.0,17.061148086665575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968504093220707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1585227432306215,0.0,8.001684534180125,0.0,0.0
