countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
AL,gas,28.784079969411152,1.4817161425730057,28.045329046295617,0.7083991757794527,27.924732786050235,0.5424476582916963,27.777859725760287,0.2784852242511091,27.76749841778235,0.2910423833651383
AT,gas,29.358395333950885,1.6008794488282886e-07,28.316731613058455,1.786441563225094e-07,27.992040991129553,2.3117078598290082e-08,26.688778346786652,3.5475736275650324e-08,26.545586319240325,7.61780703202608e-08
BA,gas,29.28653395782391,1.4320497214637242,28.15871447034452,0.027732399023386,28.17992067961546,0.0473298323676724,28.04507987443512,0.0875894010077068,27.859100857859698,0.105947454014267
BG,gas,24.999998077087156,2.772491857080038e-07,24.99999628338808,3.415380241693947e-07,24.999996216540275,1.5512436110696313e-07,24.999995348075817,1.1359760751233473e-07,24.99999070928107,6.179321237227309e-08
BX,gas,26.2796307165201,0.0163617191806938,26.277912259804836,0.0197639692308639,26.277788477863854,0.0328325833433539,26.278626480985885,0.0371140313253869,26.277671632594508,0.0413548554555546
CH,gas,30.11603758167278,1.623393764098482,29.400531425069403,1.425402486222166,28.863854071678418,1.455532185527323,27.828685423592304,1.4416336724044558,27.549142114010987,1.20721537654181
CZ,gas,27.103731751619907,7.179821374877596e-07,26.677747893352233,6.818020593987186e-07,26.649209651889024,3.890112054921379e-07,26.59423247088458,5.6602781861470075e-08,26.53789180537293,2.325562847727557e-07
DE,gas,24.99999997198482,2.7298840908897455e-08,24.999999967225214,2.5919126821390023e-08,24.99999994797483,2.1523305647078533e-08,24.99999994502986,2.1447223973091218e-08,24.999999925787176,1.1140080109587012e-08
DK,gas,26.29743203433939,0.1262620204103037,26.34175567403939,0.0134041126653042,25.68708662245618,5.635879327298153e-07,25.62091303502899,4.2743252243576706e-07,25.620021878973457,2.172834735106141e-07
EE,gas,24.999979487913148,1.1105166231916612e-05,24.99998331510818,6.602742001868785e-06,24.999978868466084,1.3022972112987716e-05,24.99994654659755,2.540266623676345e-05,22.569534572263027,0.4138917592117634
ES,gas,25.7732039048309,0.0893284776944982,25.77027919082957,0.1381559703314081,25.762031395965742,0.1178807029976251,25.711174703022593,0.1285474722272198,25.695983308024445,0.1082827783720414
FI,gas,26.09043432506026,1.5069250994425805,26.062503426274574,1.509267275563425,25.74253638469043,1.4182407534062302,25.03705981906044,0.2650717240652074,24.999996151582454,1.320291006432907e-06
FL,gas,24.999999744519968,2.7817377364665945e-07,24.999999714539943,3.068367237390743e-07,24.999999518952855,4.039697826291981e-07,24.99999951455045,3.547825304510939e-07,24.99999922474469,4.2603469983011924e-07
FR,gas,24.99999997351424,1.084576683640379e-07,24.999999984953632,7.433232997698324e-08,24.999999927918324,2.0241883741861977e-08,24.999999853665727,2.6526182377894816e-08,24.99999976399136,6.647861293318031e-09
GB,gas,25.881370455719036,1.7830914791784548e-06,25.93324081190285,1.2997713064766554e-06,25.96024594928793,1.7555903751166734e-07,25.721475934792565,2.0038523501194969e-07,25.6978526125967,6.808173247834672e-08
GR,gas,24.999998548676245,6.740681586053222e-07,24.99999803385891,9.945557865417651e-07,24.99999824466147,7.297786334517916e-07,24.99999796100949,8.098330696108722e-07,24.99999819438293,5.334747793944794e-07
HR,gas,27.586920074184025,1.0321255017715625,26.767336166203183,3.625583128180229e-05,26.803939425003755,1.432591744871216e-06,26.688273067727796,2.2571114655411557e-06,26.51184103953517,6.651739564174106e-07
HU,gas,24.999999838521315,7.275674014207628e-08,24.99999983381333,6.619524358992319e-08,24.999999724847065,1.121697695839118e-08,24.999999624246804,7.433911902055279e-09,24.999999407982628,1.7988250787967575e-08
IE,gas,24.99999937659891,1.5890484607805136e-07,24.999999008898875,1.6723401373201585e-07,24.999999119718613,8.286956856378687e-08,24.99999901565092,1.1469223384691233e-07,24.99999776122152,6.004136345582594e-08
IT,gas,24.999998361513892,1.7085471487496586e-06,24.99999677656211,3.241517364218677e-06,24.99999591318647,3.877357357850818e-06,24.999993000395612,3.833380654146904e-06,24.999981762244083,9.046126060640733e-06
LT,gas,24.999996293137414,1.5263164507800928e-06,24.99999540855457,1.6942506842209492e-06,24.999995732370873,1.225076927936305e-06,24.999987092256557,1.4122170014890065e-05,19.773538954331094,1.0549274302525102
LU,gas,27.78816475407052,0.7907680443073813,27.57218982615264,0.9418488579917708,27.23848336679474,0.817819243545843,26.944626378907166,0.7237791430288365,26.749881685473145,0.600270462564662
LV,gas,24.99999296838848,5.613609163812864e-08,24.999984911601587,2.6305005666340333e-08,24.99997274545872,2.687131835882852e-09,24.208568886591156,2.6958518399301432e-09,20.48775276135384,4.934841979074631e-09
ME,gas,29.071603216359687,1.7081605766900416,27.84952959983656,0.6414093905848748,27.835133486808868,0.5864457235326205,27.52112174310309,0.2636685004333783,27.189773532555336,0.1852181106984914
MK,gas,27.09364961717213,1.118486850045067,26.67084001634822,0.6878375134671534,26.58359142918199,0.497016778409528,26.44612560386547,0.1859699651727191,26.440170835748184,0.1970833098803205
NL,gas,24.999999894359892,6.609685932607064e-08,24.999999901827067,4.21773197251562e-08,24.999999783846977,7.217626294065567e-09,24.999999767197547,1.2857252962864608e-08,24.999999598465983,2.8125653479193307e-09
NO,gas,24.999999890010603,2.432643146775903e-08,24.999999933659737,1.1061141393768565e-08,24.999999877236124,1.3303064443036172e-08,24.99999992368553,2.6272208335168746e-08,24.999998018979575,3.836402136453188e-07
PL,gas,25.000000681708848,4.188459668494054e-07,25.0000004100112,1.776587224340341e-07,25.000000079824137,2.1427709108341223e-08,24.999999938763494,2.2938117004907935e-08,24.999999822205915,8.976738434264078e-09
PT,gas,24.999998839534403,5.468633383445258e-07,24.999997592085208,8.699562950853649e-07,24.99999710993128,1.8417032407972705e-07,24.999995599438073,1.6600152722300677e-07,24.99999483744928,5.0775429026987235e-08
RO,gas,24.99999902253422,1.349622953099293e-07,24.999999136139127,1.0049724083308283e-07,24.999998359825423,3.7665302382512226e-10,24.99999830118023,1.468330472428498e-09,24.999997979807027,5.31087053430732e-10
RS,gas,30.917078837910697,1.5597138109685322,29.68870649090377,0.0440025962139752,29.66802050967825,0.0708516354828649,29.364433903717195,8.951266487354754e-06,28.991918594754395,8.852263315700678e-07
SE,gas,27.21967134865853,0.978517169931163,26.46889616313866,0.0007560761278021,26.48016951882487,2.8525839483494698e-05,26.33441561225508,2.6418417318907315e-06,25.000019086896735,8.605058935425675e-07
SI,gas,28.994222290083584,1.0600310250006717,28.15578938027723,0.0636248830083898,28.17587399492,0.0833112578000073,28.058120601596027,0.1216387059268551,27.87854744314455,0.1354668359177252
SK,gas,24.99999908526303,1.338967731998662e-07,24.99999914216427,1.0938206771558769e-07,24.999999168955902,2.5035495086523944e-08,24.999999169434567,1.0115379573453197e-08,24.999998984583247,3.250492756964606e-09
WL,gas,26.484147089945097,0.180967988446933,26.47868800308423,0.1982781549306308,26.47301239356104,0.2094994507891079,26.4031733090342,0.1695423784491793,26.373359608569295,0.1499946421508116
AL,elec,69.32212570489237,16.719882589829236,66.87163698472233,22.714216730882622,64.99353589264493,27.79206463057651,68.41814710330803,40.03228556115369,68.66149836733024,45.67691796095442
AT,elec,67.92663901784313,16.584292888642874,67.00325252571126,21.497567444766187,67.34018642444227,27.742028926400323,74.7221150438518,43.132965233506,76.37645687728133,51.5273682967969
BA,elec,69.6832057580313,15.991636321545675,67.7548492972934,21.183836153366737,66.20633699560254,26.7500180237749,70.50405051442337,40.888153372957376,70.62551972170336,47.050368596682546
BG,elec,68.87048128563843,16.587315819408232,66.30160185288459,22.68513156791947,64.0539663508824,28.03958424038833,68.10191530220617,39.357074708456544,68.12534287546887,44.762186533901314
BX,elec,59.26123614794219,22.097796506022647,59.09342840783897,27.74139812078934,63.68907103868026,48.60145891008409,68.6066103131484,56.35560628626474,67.6131314537358,62.89343678405788
CH,elec,62.52964669578782,21.18708739961197,61.34105194623814,25.64400242292179,62.17514008775035,28.11838936418363,66.73189125785193,39.28558677355807,68.39552014985432,44.36556470114398
