snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 captured,Hydrogen,CO2 emissions,Electricity,Centralized heat,Methane,Electricity,Electricity,Centralized heat,Ammonia,CO2 captured,Centralized heat,Electricity,Decentralized heat,Methane,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Centralized heat,Hydrogen,Centralized heat,Decentralized heat,Electricity,CO2 emissions,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Heat Pump,Hydrogen production CC,Steam Methane Reforming CC,Transport emissions,Offwind,Heat Pump,Imports,Onwind,Solar,Waste Heat,Haber-Bosch,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Storage,Decentral heat production emissions,Resistive heater,Hydroelectricity,Resistive heater,Storage ,Imports,Gas Boiler,Storage,Gas,Power supply emissions,Biomass CHP,Oil Boiler
2045-01-01 00:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.5277499418137084,0.9873087078122984,9.201427221862826,0.1209364500629246,0.4682723982732484,0.1345737092868076,7.083999964503359,2.283723805393116,9.892822103831486,4.097987267835518,,1.0868116167320083,1.172823009022599,5.121517549583336e-07,8.179209361594909e-07,7.310794762279001e-07,0.0714354950693337,,0.014433177243962104,0.2053178872865236,0.07976712882449542,2.005029304826766e-07,1.2702193251106024e-07,2.9020669758673145e-07,3.785603380918205e-07,3.653329275413181e-07,1.0716375536846133e-06,2.548896526390047e-07,1.957445431039575e-07,2.062819570185695e-07
2045-01-01 03:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.5277499418135514,0.9873087063499871,9.155365922545675,0.1209426050907502,0.4682962230618342,0.6711201443007913,6.6387233105158945,2.269925498802843,9.901028961363505,3.3426711378697043,,1.5566504334907656,1.6798823727331424,0.4299014103925073,1.0204495963976086,0.9179520981243444,2.281671555317881,1.462783805426433,0.46100042683890713,2.878026191535092,0.07987634919335278,4.752419393210473e-07,0.1512132473826816,3.17718671915004e-07,7.801705087981417e-07,0.1510397411127604,1.1180647097564692e-06,2.584679903935753e-07,2.650477659044756e-07,2.7858879494756213e-07
2045-01-01 06:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.5277499419321856,0.9873086965491507,9.126058999330086,0.1209446036717903,0.4683039451823113,1.4229084130598892,6.887615000536183,2.261973916122946,9.805007031345196,2.557640695866023,0.1420319938204851,1.5566496078039995,1.6798819622454544,0.5639246855676366,1.3385785909252683,1.2041271160774365,2.890930405619855,0.0,0.5842851775336603,2.910397361482622,0.07988250722209163,3.298194821052836e-07,3.041343053414572e-07,5.930050140596826e-07,5.727055004102137e-07,8.758244859254195e-07,1.29749227376375e-06,2.7170489989804356e-07,2.434025689160538e-07,2.779939901192103e-07
2045-01-01 09:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.527749941905659,0.9873086969623008,9.094672840468073,0.1209441533866925,0.4683022070638882,1.1713872496510636,7.0619347093087725,2.255208754860975,9.647570507089966,2.290677844652113,3.1133151666086087,1.5566498163446345,1.6798821276263791,0.3290401896827577,0.7810369686977707,0.702586902879174,1.5104775517606202,,0.30517852871317996,2.684714587685947,0.07987749385068423,3.492817890880354e-07,3.300597443428669e-07,4.20423685784436e-07,6.188811535887226e-07,5.677042232372512e-07,1.2837674786993958e-06,2.715519509204162e-07,2.453838459758609e-07,2.814890787977249e-07
2045-01-01 12:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.527749941742778,0.987308708514818,9.032516367250148,0.1209447124568476,0.4683043653544668,1.3799858085954508,7.070130287866926,2.2374402213566325,9.48925149625706,1.9622971385111203,5.009889765698878,1.556650217170443,1.6798822775935782,0.2606942429029567,0.6188052431221148,0.5566502929339652,1.116339099581381,0.3942203356813474,0.2255464981318133,2.6186829378335577,0.07987641779604433,4.312664400967044e-07,5.070853270397013e-07,7.323766364158863e-07,7.359672919937989e-07,4.644527516842422e-07,1.1752959683888849e-06,2.6390214901124064e-07,2.531404688409955e-07,2.815204599551723e-07
2045-01-01 15:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.5277499418872247,0.987308697151321,8.739975158912088,0.1209452627031411,0.4683064865255382,1.5767598132973415,7.0461830971149615,2.152526979054912,9.513916574996392,1.474928027694652,0.0750831159596648,1.5566495832230804,1.6798819603480044,0.4016113700357207,0.953298020795761,0.8575454590609848,2.038448246596567,2.0519384416616746,0.41185016092743804,2.7133487424406395,0.0798766373767392,3.923966261407291e-07,3.25309186181083e-07,0.0903131461774552,6.602371984789083e-07,4.251663605236603e-07,1.2139209374243419e-06,2.6560267058305115e-07,2.451822985634385e-07,2.775857822552321e-07
2045-01-01 18:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.5277499418846003,0.98730869710454,8.479197948669404,0.1209448551606632,0.4683049159866985,0.7257040950577259,7.082022366015115,2.076594173747542,9.498521041779528,1.692575069340262,,1.5566494752587519,1.6798818800519806,0.41390040702870073,0.9824683352777712,0.8837858062764639,2.1397805621307824,0.0,0.4323234099464081,2.7370955709632887,0.07987982728171973,3.4650658974362257e-07,2.1509993918196709e-07,6.899388808994183e-07,5.901271206750363e-07,4.364450216096396e-07,1.2962389947800815e-06,2.7097660405840226e-07,2.3786928848402637e-07,2.771490327581598e-07
2045-01-01 21:00:00,2.464996698742424,0.5793962900451491,0.060566004812164,1.527749941714705,0.9873087094002554,8.436471423592918,0.1209428478639531,0.4682971656609238,0.2878278246738661,7.083906888726035,2.0636282906981966,9.412249749315244,2.085079159935024,,1.41423996919287,1.5261909881987152,6.788091010307573e-07,1.1898642076375834e-06,1.0637465059799717e-06,0.3567467654787528,0.0,0.07207776082202272,0.8114484353886705,0.079877505694321,2.2670978086588027e-07,1.0794753580152198e-07,2.921595416854127e-07,4.1298750485595924e-07,3.949703303031195e-07,1.2813853401969698e-06,2.6979232285284903e-07,1.984777534393862e-07,2.6094036429570106e-07
