snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
carrier,Oil,Electricity,Hydrogen,Methanol,Decentralized heat,Oil,Oil,Methanol,Centralized heat,Electricity,Methane,CO2 emissions,Solid biomass,Electricity,CO2 captured,Hydrogen,Hydrogen,Oil,Electricity,Decentralized heat,Centralized heat,Electricity,CO2 captured,Electricity,Hydrogen,Methane,Methane,Methane,Electricity,Centralized heat,Decentralized heat,Methane,Solid biomass,Oil
sector,Agriculture,Industry,Industry,Shipping,Agriculture,Aviation,Industry,Industry,Industry,Agriculture,Industry CC,Industry emissions,Industry CC,Residual electricity consumption,Efuels production,Efuels production,Methanol production,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Transport,CO2 sequestration,Ammonia production,Ammonia production,Central CHP production CC,Storage,Decentral heat production,Hydroelectricity,Storage charging,Storage charging,Power supply,Central CHP production,Decentral heat production
2050-01-01 00:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.733130316868218,1.0277736279456078,2.9502782083532666,2.9598699239608504,0.2194214632076348,1.068145095837099,0.0639660672918433,0.3557951755958999,4.789675297891354,7.412878061406911,3.4248574038494044,5.4833133719433045,0.0325319724311493,0.2121561041691213,0.9852004449163728,9.28368706432984e-07,0.9860991766878782,1.4031194783281997e-06,1.2116370548540831e-05,0.2414977417882308,1.070228376441267,1.0026245304554756e-06,2.736893782647203e-07,1.5389489501297586e-07
2050-01-01 03:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303169179357,1.0277736274378748,2.950278206867586,2.340146192970142,0.2194214091795334,1.0681448328279537,0.0639653864616445,1.7743533328563,8.059343204124907,11.924603110621376,5.509122057509572,2.833358860629847,0.0325328436476963,0.5861105953836643,2.7217525585871414,1.171453945752746e-06,0.9915709225615202,2.129008838564224e-06,1.3063849500998366e-07,5.986721006425144e-07,4.6478190806771155e-07,1.0926831386751712e-06,2.921483708750175e-07,1.9155774272364665e-07
2050-01-01 06:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303169282385,1.0277736271325058,2.9502782059813866,2.299687979988593,0.2194214126373368,1.0681448496605623,0.0639651079699887,3.7619825697412,9.472114004391969,12.323790917728292,5.6935333540739315,1.5498403643875849,0.0325326758539935,0.6046071299979799,2.8076458879485644,1.34369851715124e-06,0.778584661911208,0.21983588630830328,7.401300723155525e-08,3.6495910973386586e-07,4.4691529444079956e-07,1.120998541422206e-06,3.0506715916462597e-07,2.084150897518838e-07
2050-01-01 09:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303168890967,1.0277736266023867,2.95027820443646,2.8495359563595635,0.2194214574268344,1.0681450676961255,0.0639644253718617,3.0969937173517,7.62307504055103,10.90670594632146,5.038887947060493,3.3174417398917844,0.0325323307503207,0.5829217163903487,2.706944193702695,1.505163626363534e-06,1.007812386389641,1.8740545946351883e-06,0.0,6.833007325438022e-07,7.929351227690033e-07,1.257455994657898e-06,3.023964284847535e-07,1.8708776555583878e-07
2050-01-01 12:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303168647999,1.0277736257996366,2.950278202091995,2.913544779351474,0.2194213410969565,1.0681445014015307,0.0639649090288825,3.648500852751001,7.169885083297958,10.454693477296727,4.830073450623581,6.908246786937738,0.0325321327534152,0.5388108352566203,2.5021041779567432,1.1729085397716288e-06,1.0153733029530532,1.8698102479367493e-06,1.7794341423524825e-07,1.0925022554485952e-06,8.423260144726057e-07,1.1014248333767994e-06,2.884251777307441e-07,1.866149073029691e-07
2050-01-01 15:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303167852532,1.0277736243443925,2.9502781978323895,3.197667795474551,0.2194213510391811,1.068144549800344,0.0639571406532616,4.1687454230097005,8.418985231783461,11.081432870306848,5.119605897921064,1.6789806002731238,0.0325324018797811,0.5861289266664005,2.721837684527676,1.5745349617914653e-06,1.0191475523212417,1.8825056821789838e-06,,5.627495207582401e-07,8.588703695659379e-07,1.2546399558888277e-06,3.082869620661111e-07,1.8660021146017557e-07
2050-01-01 18:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303166958173,1.0277736229522347,2.9502781937574003,3.3053704467300733,0.2194213590305196,1.0681445887022318,0.0639573771006143,1.9186661146546,8.625658470741023,10.964001966259836,5.065356793144957,1.094365141708601,0.0325323595570203,0.5861266437167265,2.7218270830743574,1.587756294703454e-06,1.024417917862937,1.878590514863037e-06,,6.661615343466021e-07,9.326323684112084e-07,1.2622019890455804e-06,3.081964455068263e-07,1.865813446394229e-07
2050-01-01 21:00:00,0.23557372544599,8.567351598173516,0.3801369863013699,9.66066737686889,0.8042242257195091,2.253583391852,5.333333333330001,0.07534246575342,0.2796803652968037,0.1702536780122392,0.7331303166061341,1.0277736215421371,2.9502781896307373,3.550922618873349,0.2194213963911105,1.0681447705738285,0.0639652521559452,0.7609788863233,5.114938940185943,7.715269125529175,3.564551884471279,4.567014625952292,0.0325319621456166,0.3496949650015868,1.6238968775083804,1.174327394591796e-06,1.0319310156504695,1.6757434032641802e-06,2.431527502631641e-07,0.3293243367223014,0.2903606384457599,1.1135111307422695e-06,2.866632742307079e-07,1.731751495352827e-07
