config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,336778489339.7879,375027294824.6411,423108287060.1126,511038257494.0981,591986546857.7926
prod_tot,Energy production,marginal,653267625030.5613,600576327692.2635,521907433841.12946,423514051560.17896,389183396373.86395
prod_tot,Energy production,total,990046114370.3491,975603622516.9047,945015720901.2421,934552309054.2771,981169943231.6565
sto_tot,Storage,capital,43259397711.74634,44341597652.11609,45834274786.32896,47736660175.26601,49398362981.878426
sto_tot,Storage,total,43259397711.74634,44341597652.11609,45834274786.32896,47736660175.26601,49398362981.878426
tran_tot,Transmission,capital,12980523572.4602,13156954644.553535,14380813625.08764,17246495556.02247,19389104885.059834
tran_tot,Transmission,marginal,568754065.125608,536016698.37010676,516154590.5782735,1136012373.392133,3470858894.176153
tran_tot,Transmission,total,13549277637.585808,13692971342.923643,14896968215.665915,18382507929.4146,22859963779.235985
distr_tot,Distribution,capital,41104205234.15268,42763607919.016075,47754362680.34463,53809187413.64707,56519513919.8837
distr_tot,Distribution,total,41104205234.15268,42763607919.016075,47754362680.34463,53809187413.64707,56519513919.8837
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0
prod_eu27,Energy production,capital,279363149146.3285,306164152469.69135,339033633557.2701,411846996813.9283,474043393913.6538
prod_eu27,Energy production,marginal,298272837139.73474,293333939491.2037,263528354233.24884,210156478354.25003,248679897764.2978
prod_eu27,Energy production,total,577635986286.0632,599498091960.895,602561987790.5189,622003475168.1783,722723291677.9517
sto_eu27,Storage,capital,30075369007.498676,30612035050.880333,32847476389.538845,34286285037.603107,35458888495.966705
sto_eu27,Storage,total,30075369007.498676,30612035050.880333,32847476389.538845,34286285037.603107,35458888495.966705
distr_eu27,Distribution,capital,33350463186.751335,34725278136.08088,38466957149.19942,43525688447.81815,45899389130.86552
distr_eu27,Distribution,total,33350463186.751335,34725278136.08088,38466957149.19942,43525688447.81815,45899389130.86552
net_imp_eu27,Net_Imports,H2,-60963286.77470498,-189972328.2648877,-128338171.58514522,-432584737.1822169,-259656298.64767793
net_imp_eu27,Net_Imports,elec,-1502136488.1161804,-1079789845.4528675,-745000893.0021152,-635253847.5728645,-508196283.6984081
net_imp_eu27,Net_Imports,gas,-1354187143.9672146,-1361429335.459805,-1352114711.3727639,-758926980.4621271,-417027337.37806666
net_imp_eu27,Net_Imports,total,-2917286918.8581,-2631191509.1775603,-2225453775.9600244,-1826765565.2172084,-1184879919.7241526
prod_be,Energy production,capital,7547103741.007029,7592469660.776656,7196760045.2499895,8703807287.591494,9495916358.206472
prod_be,Energy production,marginal,15505152112.297733,15421547448.012968,14304555413.887794,11967632150.897873,12563744868.773886
prod_be,Energy production,total,23052255853.304764,23014017108.789623,21501315459.137783,20671439438.489365,22059661226.98036
sto_be,Storage,capital,496418031.44691557,497261165.83925927,499161514.3581217,504593861.4400879,523543081.50661564
sto_be,Storage,total,496418031.44691557,497261165.83925927,499161514.3581217,504593861.4400879,523543081.50661564
distr_be,Distribution,capital,1178000237.3926604,1303982069.3013859,1478554543.59585,1775420442.8556945,1872710031.8628943
distr_be,Distribution,total,1178000237.3926604,1303982069.3013859,1478554543.59585,1775420442.8556945,1872710031.8628943
net_imp_be,Net_Imports,H2,9822729.217964098,-13589191.519271437,17774809.766450316,-4693846.66479075,77559996.9387913
net_imp_be,Net_Imports,elec,1916769312.516026,2554426408.9282546,3371019728.226913,4320626558.359703,4666963574.346466
net_imp_be,Net_Imports,gas,-166155138.18736744,-150372041.9798888,-134601349.84194276,2058061.1154527366,57993546.96006619
net_imp_be,Net_Imports,total,1760436903.5466228,2390465175.4290943,3254193188.1514206,4317990772.810365,4802517118.245323
prod_fl,Energy production,capital,5121653388.651378,5165373933.811088,4952428368.779195,5784863485.636791,6109327727.383908
prod_fl,Energy production,marginal,11576470270.453594,11516719133.513958,10806243038.409052,9468660051.304085,10352484647.706436
prod_fl,Energy production,total,16698123659.104973,16682093067.325047,15758671407.188248,15253523536.940876,16461812375.090343
sto_fl,Storage,capital,175317480.64912742,175652625.75270614,176878428.37630057,179783236.04705015,191236788.8757881
sto_fl,Storage,total,175317480.64912742,175652625.75270614,176878428.37630057,179783236.04705015,191236788.8757881
distr_fl,Distribution,capital,707165549.0483351,783032899.5695541,889817284.3437132,1054862991.8018355,1105618382.40054
distr_fl,Distribution,total,707165549.0483351,783032899.5695541,889817284.3437132,1054862991.8018355,1105618382.40054
net_imp_fl,Net_Imports,H2,-49424242.75604638,-52666089.99849134,-15475135.131309982,-41188680.78439623,61111308.78479042
net_imp_fl,Net_Imports,elec,415717425.53440475,815347791.1854196,1297784324.4986944,1914003679.669989,1855979786.2619257
net_imp_fl,Net_Imports,gas,-869622263.7546886,-793157895.7882363,-703656951.476864,-419460463.38108456,-263910689.68047753
net_imp_fl,Net_Imports,total,-503329080.9763302,-30476194.60130799,578652237.8905205,1453354535.5045085,1653180405.3662386
prod_fr,Energy production,capital,61731144608.89466,65862852258.436646,74356348722.13805,93993098826.88603,105782960692.07845
prod_fr,Energy production,marginal,44953936393.22195,43782727636.33447,37008468792.21975,27184502313.39916,24867068681.55055
prod_fr,Energy production,total,106685081002.11661,109645579894.77112,111364817514.35779,121177601140.28519,130650029373.629
sto_fr,Storage,capital,3973833711.842205,3978323168.385442,3989605036.295474,4024583390.3471885,4024584195.9795737
sto_fr,Storage,total,3973833711.842205,3978323168.385442,3989605036.295474,4024583390.3471885,4024584195.9795737
distr_fr,Distribution,capital,5764016207.4896,5970462278.870102,6662593020.845276,7628880078.639712,7977314436.160695
distr_fr,Distribution,total,5764016207.4896,5970462278.870102,6662593020.845276,7628880078.639712,7977314436.160695
net_imp_fr,Net_Imports,H2,-24589166.686501957,-37397637.89644681,-137106530.11289972,-112559030.66986132,-187233664.60260373
net_imp_fr,Net_Imports,elec,-8294257589.3247175,-7906759939.792335,-7343879652.084145,-6298062942.825485,-5692520482.117345
net_imp_fr,Net_Imports,gas,-618715529.6728328,-537230879.8597282,-452722097.8668157,-254121045.60550267,-185859300.28117555
net_imp_fr,Net_Imports,total,-8937562285.684052,-8481388457.54851,-7933708280.06386,-6664743019.100849,-6065613447.001124
prod_de,Energy production,capital,58078499335.88812,59860888985.45478,57883579530.392845,68805837713.95741,76465345881.40268
prod_de,Energy production,marginal,64482109153.4772,64396538914.30785,58723240787.6788,47675985083.79167,61913521961.12185
prod_de,Energy production,total,122560608489.36533,124257427899.76263,116606820318.07166,116481822797.74908,138378867842.52454
sto_de,Storage,capital,3549345424.955473,3552384910.8577623,3560772592.5785985,3591240740.814275,3870120734.5313473
sto_de,Storage,total,3549345424.955473,3552384910.8577623,3560772592.5785985,3591240740.814275,3870120734.5313473
distr_de,Distribution,capital,7144319253.322773,7500214241.949354,8439536844.36026,9710766271.33125,10167517563.113703
distr_de,Distribution,total,7144319253.322773,7500214241.949354,8439536844.36026,9710766271.33125,10167517563.113703
net_imp_de,Net_Imports,H2,-98485344.05945651,-92859772.45231101,-199092219.69760603,-99675169.91126913,-44560069.79546611
net_imp_de,Net_Imports,elec,-75795879.57375526,2299730659.3011637,4663743125.058493,4698247875.054287,6202879736.623266
net_imp_de,Net_Imports,gas,-601956181.7014407,-465374993.5210917,-328493548.22466815,-214495172.65606648,-155472079.2924282
net_imp_de,Net_Imports,total,-776237405.3346524,1741495893.327761,4136157357.1362185,4384077532.486951,6002847587.535372
