snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Coal,Oil,Electricity,Methanol,Decentralized heat,Centralized heat,Methane,Centralized heat,Ammonia,Electricity,Electricity,Electricity,Hydrogen,CO2 emissions,Methane,Electricity,Centralized heat,Decentralized heat,Hydrogen,Electricity,Centralized heat,Centralized heat,Oil,Decentralized heat,Methanol,CO2 emissions,CO2 emissions,Electricity,Ammonia,Decentralized heat,Electricity,Centralized heat,Centralized heat,Hydrogen,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Imports,Imports,Nuclear,Methanol production,Heat Pump,Heat Pump,Imports,Waste Heat,Haber-Bosch,Offwind,Onwind,Hydroelectricity,Electrolysis,Transport emissions,Storage,Biomass CHP,Biomass CHP,Biomass boiler,Storage ,Solar,Solar thermal,Storage ,Storage,Gas Boiler,Storage,Decentral heat production emissions,Power supply emissions,Gas,Storage,Resistive heater,Battery,Gas Boiler,Resistive heater,Imports,Storage,Oil Boiler
2035-01-01 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78773744716034,19.128732923205156,42.35043300420636,10.946463087311262,4.8785065401784,13.986417337816,61.18939143583,395.229682926617,106.95581023710864,32.30874297535789,142.94657982501633,11.601504573747622,497.6137503842166,12.884704345559372,7.111022632991187,231.29700502781637,122.90893309482672,21.608309777862555,14.99983398137756,9.087760608111452,,19.24958089003133,58.856682436454186,31.18729244656852,,,,1.5360876282371282e-05,,233.6019491378385,,48.45828701545578,5.397691975641305,17.44707986006851,,32.51226239160824,1.2510509177644527,6.6242395442041815,4.0945811856397185,0.0466573338456255,0.3679673892784663,1.3518785494494356e-05
2035-01-01 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787737133747925,19.1287332752539,42.35495009176396,10.947634214013512,4.87863841472749,13.986424032084273,57.50484360542913,396.2864787744938,105.34707888391837,32.056031350756655,142.12487176007966,11.492614519756716,500.47565881655686,11.241006364094135,5.364371905125376,214.3040497532193,112.89984229314938,22.67843617301397,14.999890049390082,42.848741742317394,99.82225352234038,29.53325174737338,90.30672139990776,31.97587006965201,,,,4.383817431677595,30.05154173135757,379.8723505345165,,89.22086100399694,5.409710294431534,17.485926942744637,0.0,53.865925742208624,1.3971046626724943,19.476828513158868,0.9177472639378986,0.0846809823174838,16.422186609818688,30.66594556292396
2035-01-01 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787736815936384,19.128733631751075,42.37015100260734,10.951579801965323,4.879077602673985,13.98642705572696,58.03342834574631,396.5518657140007,103.83738474526193,31.8377266940798,141.78393450128888,11.468682653421968,500.9691355236329,11.943438950191178,6.156355730010794,207.4946355778319,97.3422504944314,30.652392446452353,14.953827688722813,92.73984572153364,109.61750002015624,29.85168243159628,91.27949748549416,31.946548736560153,12.441510338278697,44.79114230522917,0.0160457554655629,4.012367231676737,244.64284698677065,410.6995225696752,0.0,101.56496216534441,0.447601948887915,1.4467878504636027,0.0,55.97858215936137,1.7501876182360863,23.5032371044023,1.1211028316777416,0.4587280942510418,0.2653925533884183,49.388996431825554
2035-01-01 09:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787736527997616,19.12873395443455,42.370151015611526,10.951579805331606,4.8790776065247785,13.986427069062332,57.32374534937601,396.3194506168737,102.3414540255412,31.80572647386681,144.67502992044632,11.64203923460044,499.622071618247,12.924461862158315,7.208204572592158,217.22198349064954,80.42390484055734,16.213888441740103,14.999895775451622,76.19208514219982,46.74343559681571,25.89257986145809,79.15985516348609,31.386171115386063,7.114331898453539,194.74215628119663,5.7662341105167245,2.6965208664139606,140.29629128336907,359.6355455764149,0.0,78.95383539619333,6.478974901413239e-06,1.2663643351705953e-05,0.0,65.09730862297798,7.136147806167766e-05,13.254629722507485,3.1513506852265025,0.4973207063121853,2.0326638180927295e-05,13.194739301039371
2035-01-01 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78773627098669,19.12873424211441,42.37015096580728,10.95157979242695,4.8790775893068,13.98642700870599,57.37384625486516,396.2644419284407,102.88353428299752,31.684065323432655,148.59622184046256,11.842935354059511,499.91622746639393,12.756429046831123,7.039990733916273,231.54274052935023,78.30575437585975,19.870331843727396,14.999894797231493,87.7806182411601,27.15236046980624,25.98067760927468,79.42008670086122,31.27864997757155,11.234758750282603,145.57719171897324,6.255948448839457,1.2698626968730136,181.83617213749883,342.7224980541441,0.0,74.210272121517,6.8056620001910035e-06,1.372359265053065e-05,,57.18073740021533,8.187986162211768e-05,11.134369636349172,1.3100511888094215,0.5370691491474509,1.7879482294451632e-05,9.96449724153956
2035-01-01 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78773606331163,19.12873447397706,42.370151224909925,10.951579859520434,4.879077675957726,13.986427311730782,56.73251784994604,396.4906318855972,105.51293510262144,31.58216552081352,146.87897755716304,11.567224746608842,501.8703397970692,10.433777796683161,4.64528901142461,234.69503404894914,77.29443393842385,32.82870448885942,14.542879672471628,99.6044643560464,100.2236714717172,28.566839300049782,87.34990398256144,31.509478292066877,13.442834255471958,13.888393276191914,0.2524641989810899,2.2249334135882357,254.89893743658064,373.46817949082487,0.0,88.81973594329037,7.266392799697703,23.487325400703046,0.6172899139502552,38.31619284101855,1.451071977221498,18.36584141880499,0.9177470383679772,0.5029827676394085,0.1403510523465873,34.53419697326433
2035-01-01 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.787735857445526,19.12873470392728,42.37014953843027,10.951579422927752,4.879077113052139,13.986425343017546,55.48582682758234,396.4770182241282,108.58287319892406,32.07697744211394,143.66367002209498,11.314235541224694,501.2582810281408,10.315728037352589,4.4644840540544175,231.8750900354259,74.11215002012281,44.51071680540896,14.542879613444196,48.01067857270178,106.86250799292004,28.483929250664698,87.09596602746521,31.26943964134345,,,,1.4916876686258758,51.21558769464493,376.53615963804685,,88.7360050118728,7.766749872312256,25.104640945880035,0.7980929372218779,37.94839469970733,1.7618145540181571,18.74974291608436,0.9177485033818664,0.0874209973740011,0.0004078240902293,31.815281799249405
2035-01-01 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,48.78773566966968,19.128734913779326,42.35423892650558,10.947449621257956,4.878617340643006,13.98642187447304,54.49806999593522,396.26205696308534,112.25652909507502,32.12196676188661,142.2762314248192,11.191448442997398,498.5378766840412,10.173632906720373,4.306277054781817,222.26912671576312,69.11090289761917,55.58279936361141,14.542877618547928,18.99051644477381,,22.388327887373677,68.43593173406018,29.625995871231808,,,,1.5225138410119248e-05,,241.48362103410255,0.0,50.441365880398884,6.394472841965218,20.668997910236616,0.9562989338083752,28.35978701084981,1.270847993350859,7.899674077185881,0.9175851468572076,0.0588075732135692,1.728676612484899e-05,0.5175269928040218
