country,carrier,2030,2035,2040,2045,2050
AL,BEV charger,2.7757002176925067,4.392612965862899,5.996051441131872,6.575445175892928,7.154838910653986
AL,H2 Fuel Cell,5.868595372845661e-07,8.462963329256953e-07,1.1191131525481466e-06,1.2577574286319044e-06,1.4321479332186145e-06
AL,air heat pump,0.0506379442567608,0.051359571171157,0.0534258945589232,0.0735141711598798,0.0840296612164381
AL,battery charger,3.839611000225262e-06,5.7892596151921345e-06,8.184519254222687e-06,9.212488089039118e-06,6.592225435576475e-06
AL,ground heat pump,0.0228713652888175,0.0228755214130806,0.0228805058381435,0.0386393581687149,0.0474812987983584
AL,home battery charger,0.0683821554428922,0.0889270922377537,0.1037654654284386,1.0056111027475023,1.03713953991276
AL,hydro,1.6907,1.6907,1.6907,1.6907,1.6907
AL,water tanks charger,0.4816048799371357,0.4366046558436818,0.5222925012563954,0.5518975239774911,0.5792347585077202
AT,BEV charger,10.759076767999998,17.026500128,23.24169496,25.487521664,27.733348368
AT,H2 Fuel Cell,6.358794131898189e-07,9.039426134759488e-07,1.1850253310776394e-06,1.3291412454979954e-06,1.5213998150270562e-06
AT,PHS,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001
AT,air heat pump,0.675211905990359,0.7142253730132224,0.8163732292818858,1.4010548352593877,1.7883406667319988
AT,battery charger,3.905229202271023e-06,5.852953098765466e-06,8.188996912535489e-06,9.186704402237152e-06,6.409087882358061e-06
AT,ground heat pump,0.5460581669726742,0.5460597505114638,0.6279037882290076,0.8537223400371561,0.9806327465728408
AT,home battery charger,5.1747856154604674e-06,8.948581896952797e-06,1.833760012519113e-05,2.337425473935159e-05,2.549371138833533e-05
AT,hydro,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997
AT,water tanks charger,5.210519605483857,4.44700184058848,5.968690563359065,6.643844458014741,7.303481152729415
BA,BEV charger,3.714046160624851,5.877568195940298,8.023060880961449,8.798322943616151,9.573585006270854
BA,H2 Fuel Cell,5.873443540936424e-07,8.49311086366806e-07,1.122917144641408e-06,1.2659343433455865e-06,1.456440328083055e-06
BA,PHS,0.44,0.44,0.44,0.44,0.44
BA,air heat pump,0.0861676899460709,0.0861737539195053,0.0861799573021724,0.1460274168375579,0.1813633228643625
BA,battery charger,3.828799961150608e-06,5.770889252555271e-06,8.112467635076842e-06,9.125003561668536e-06,6.4895948302922515e-06
BA,ground heat pump,0.1147656799913979,0.1147677246562221,0.1147758071000367,0.2044186011159599,0.2392939924807114
BA,home battery charger,1.9582789220463586e-05,0.0479608051550595,0.1050362352201185,0.4216480138359023,1.109825069430979
BA,hydro,1.6145,1.6145,1.6145,1.6145,1.6145
BA,water tanks charger,0.8494081450283912,0.7646075268669192,0.8787918267815058,1.0274752854167877,1.0969377628039434
BE,BEV charger,12.743030013999997,20.166154293999995,27.52741920499999,30.18737207199999,32.847324938999996
BE,H2 Fuel Cell,1.8279957134692477e-06,2.62358267425767e-06,3.5160596019972203e-06,3.995830975105584e-06,4.620168830403254e-06
BE,PHS,1.308,1.308,1.308,1.308,1.308
BE,air heat pump,2.0285717319830754,2.168159088997951,2.2850282631840435,3.891748263460249,4.669974034973084
BE,battery charger,1.1548459932718728e-05,1.7224692797224618e-05,2.4054653272393663e-05,2.7173415914903526e-05,1.916890514280628e-05
BE,ground heat pump,0.2640466633615977,0.2640561786755167,0.2866846621651034,0.3547533590230686,0.3678546532849112
BE,home battery charger,1.4982262792778329e-05,2.559669385129532e-05,4.979264901438499e-05,0.0031312593334808,0.3994296446443027
BE,hydro,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706
BE,water tanks charger,14.917266757809456,8.42758467915522,13.81697848307539,16.690579579928357,19.62515201996419
BG,BEV charger,7.190749918,11.379536278,15.533416085,17.034397864,18.535379643
BG,H2 Fuel Cell,5.978453330805869e-07,8.54406158836621e-07,1.1192775884376834e-06,1.2448412038895883e-06,1.3894310233703482e-06
BG,PHS,0.864,0.864,0.864,0.864,0.864
BG,air heat pump,0.1295977318805644,0.1296019618517924,0.1281653258594829,0.1281673673137952,0.1424763292364153
BG,battery charger,3.989414609997781e-06,5.9808838393685975e-06,8.474775580571626e-06,9.523472643121012e-06,6.91185641268961e-06
BG,ground heat pump,0.0892645073651239,0.0892664573013003,0.0923751478017522,0.093114736807114,0.1014604878904202
BG,home battery charger,1.17583851627166e-05,0.1324182876535416,0.4896465187831303,2.274120144581744,2.2742438516981407
BG,hydro,1.92514,1.92514,1.92514,1.92514,1.92514
BG,water tanks charger,3.1639814553534444,2.8430268994290904,3.293677212342719,2.9237370855835283,2.6377847002514283
CH,BEV charger,10.101984354,15.986635434,21.822247755,23.930914392,26.039581029
CH,H2 Fuel Cell,5.983562262258142e-07,8.62695526798219e-07,1.1393942081733186e-06,1.2797561858730517e-06,1.454562855894295e-06
CH,PHS,5.08955,5.08955,5.08955,5.08955,5.08955
CH,air heat pump,1.1001297394655647,1.1001327532352632,0.9751363034531936,1.772287174129442,2.1097342269757005
CH,battery charger,3.9839561480616674e-06,5.973494024934614e-06,8.324983696290503e-06,9.304001962558049e-06,6.405887559511747e-06
CH,ground heat pump,0.3417269392135224,0.3417283667882106,0.3208134166253539,0.5048437885217647,0.5842282563171788
CH,home battery charger,5.2605456951969785e-06,9.06073579676258e-06,1.7027848494180266e-05,2.230093383468671e-05,2.332984396850415e-05
CH,hydro,9.91631,9.91631,9.91631,9.91631,9.91631
CH,water tanks charger,7.830935531603791,5.78570674973333,6.517175926842494,10.51563539051388,11.486583122492677
CZ,BEV charger,11.591306055999995,18.343523176,25.03947182,27.459016287999994,29.878560756
CZ,H2 Fuel Cell,6.252567592177184e-07,8.935358385792573e-07,1.1735533756989992e-06,1.3221555623078867e-06,1.5062846452675288e-06
CZ,air heat pump,0.5525382213325816,0.5565585220867766,0.8329113024088319,1.5767137981987294,1.904760318424164
CZ,battery charger,3.972127219159654e-06,5.924785282391049e-06,8.280638443254998e-06,9.302793219174325e-06,6.552552951802528e-06
CZ,ground heat pump,0.4274967402568042,0.4275009701180451,0.5702786183812243,0.8534788338083822,0.9765662474941496
CZ,home battery charger,5.173695686640542e-06,8.752331494264003e-06,1.592608950033762e-05,2.3366461043745637e-05,0.0022059318948456
CZ,water tanks charger,10.411298937863032,7.719669854829431,10.2928110772288,10.969723691860011,11.781090745941349
DE,BEV charger,102.131359594,161.625355474,220.623568055,241.942249912,263.260931769
DE,H2 Fuel Cell,6.566511540332393e-07,9.351037082781168e-07,1.227881053678309e-06,1.3958487750933274e-06,1.6342775114830898e-06
DE,PHS,7.59922,7.59922,7.59922,7.59922,7.59922
DE,air heat pump,6.915004906346877,7.171883026883189,9.180035554601949,17.671424368712568,20.827782633506523
DE,battery charger,4.415587004736357e-06,6.4856188972534454e-06,8.987204120222761e-06,1.0078606662298895e-05,6.916946397950223e-06
DE,ground heat pump,2.365561973706509,2.365566276389431,3.2308923469022295,5.223275459750327,6.086817986469238
DE,home battery charger,5.578153702464189e-06,9.40623708079366e-06,1.6973951827525348e-05,2.7158055378144937e-05,5.356267380397588
DE,hydro,0.2895,0.2895,0.2895,0.2895,0.2895
DE,water tanks charger,85.93685226739443,49.373517899176264,65.74216036615425,86.13197680137829,97.45346862233986
DK,BEV charger,5.370594481999999,8.499096122,11.601526915,12.722573335999998,13.843619757
DK,H2 Fuel Cell,1.1562000502563965e-06,1.647200705697197e-06,2.1778008813272057e-06,2.4368384364827857e-06,2.748886209746242e-06
DK,air heat pump,1.1915964684038889,1.2493299588342306,1.3299195429462891,1.5067645064966395,1.5372224000433037
DK,battery charger,8.215040643140617e-06,1.234668546636413e-05,1.7186348490466747e-05,1.9168544340623137e-05,1.3236649857150678e-05
DK,ground heat pump,0.0121821433408888,0.0121847338909948,1.9749171200072738e-05,0.0155986177901469,0.0166750471882629
DK,home battery charger,1.0982142021194485e-05,1.859391761279434e-05,3.3602983882655836e-05,4.250430949888842e-05,7.130017307426155e-05
DK,water tanks charger,5.770596294609704,4.879914000042084,9.068561826821927,11.726338562499077,14.939641554827434
EE,BEV charger,1.5331665359999995,2.426273256,3.3119374199999996,3.631967328,3.951997236
EE,H2 Fuel Cell,5.952311032732952e-07,8.548353388297494e-07,1.117155059346928e-06,1.2407401833494246e-06,1.3984413185587144e-06
EE,air heat pump,0.0295031308199186,0.0540069016923188,0.0407927714760561,0.0489168355415168,0.1542437073240462
EE,battery charger,3.99584698636099e-06,6.0109031653290645e-06,8.411994417727414e-06,9.386241659984268e-06,6.443478803515059e-06
