config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,336811829696.7301,380297219329.30817,436663163850.139,513827914628.8019,587782043815.7412
prod_tot,Energy production,marginal,650260393503.532,599430592716.1492,515806653865.0529,419132610753.2116,358663063823.3652
prod_tot,Energy production,total,987072223200.2621,979727812045.4573,952469817715.1919,932960525382.0134,946445107639.1064
sto_tot,Storage,capital,43241550046.90107,44031016328.02415,45668795610.737526,48245166957.27883,49697580898.43279
sto_tot,Storage,total,43241550046.90107,44031016328.02415,45668795610.737526,48245166957.27883,49697580898.43279
tran_tot,Transmission,capital,12987775975.887997,13178068378.850357,14549175006.876116,16690052234.071054,20901286207.31502
tran_tot,Transmission,marginal,570866787.4470239,538371785.8388405,533324710.50613624,1031875029.8316445,3516139735.9242086
tran_tot,Transmission,total,13558642763.33502,13716440164.689198,15082499717.382252,17721927263.9027,24417425943.23923
distr_tot,Distribution,capital,41175922298.428764,42780972315.08492,47779081621.308426,52675689588.74509,56092687104.53258
distr_tot,Distribution,total,41175922298.428764,42780972315.08492,47779081621.308426,52675689588.74509,56092687104.53258
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0
prod_eu27,Energy production,capital,279376480850.8147,308201462590.61066,346004474086.1161,410847083564.73724,467211454908.061
prod_eu27,Energy production,marginal,297866860884.4642,296845778576.1577,270876875300.918,228699702955.36612,216321726914.33252
prod_eu27,Energy production,total,577243341735.2788,605047241166.7683,616881349387.034,639546786520.1034,683533181822.3936
sto_eu27,Storage,capital,30067493945.904182,30619788244.73152,32842823283.33934,34316654400.075703,35691189281.230995
sto_eu27,Storage,total,30067493945.904182,30619788244.73152,32842823283.33934,34316654400.075703,35691189281.230995
distr_eu27,Distribution,capital,33411545213.144707,34807699706.824165,38517850283.99808,42675214516.815994,45628445162.76694
distr_eu27,Distribution,total,33411545213.144707,34807699706.824165,38517850283.99808,42675214516.815994,45628445162.76694
net_imp_eu27,Net_Imports,H2,-63114209.16260181,-151648281.83450642,-146062786.1296144,-240939913.57985055,-342981237.1457361
net_imp_eu27,Net_Imports,elec,-1486026345.2851562,-1382671536.3608055,-573103411.3335648,-891907598.7323818,-258870722.9218464
net_imp_eu27,Net_Imports,gas,-1344796489.6802907,-1316021035.8590543,-1304132186.2073855,-781411565.1113001,-422601444.1579465
net_imp_eu27,Net_Imports,total,-2893937044.128049,-2850340854.054366,-2023298383.6705647,-1914259077.4235325,-1024453404.225529
prod_be,Energy production,capital,7546445782.797116,7654314975.004366,7295217685.766001,8619675037.260956,9139669915.322771
prod_be,Energy production,marginal,15409418968.796171,15462147210.347445,14317035835.154045,12514641106.339552,11817706183.842897
prod_be,Energy production,total,22955864751.59329,23116462185.35181,21612253520.920044,21134316143.60051,20957376099.16567
sto_be,Storage,capital,497789659.30464935,498565473.9689011,500408313.6547838,502604687.04323274,525007015.4399713
