country,sector,2030,2035,2040,2045,2050
AL,Battery,0.0683859950538573,0.0889328814973233,0.1037736499476396,1.0056203152350762,1.037146132137664
AL,Biomass CHP,0.0242035935305472,0.0310875833574563,0.0376284067804158,0.0437422525118399,0.0499033716172034
AL,Biomass CHP CC,1.927091549004439e-07,2.718769214799006e-07,3.489149784767374e-07,4.3149792983759e-07,9.962452423320385e-07
AL,Coal/Lignite,8.062580398035069e-07,1.114668900963297e-06,1.4438143516487844e-06,1.5847247428288732e-06,1.7343956933243291e-06
AL,Fuel Cell,2.934297686422831e-07,4.231481664628477e-07,5.595565762740733e-07,6.288787143159522e-07,7.160739666093072e-07
AL,Gas,2.8243043059713173e-06,4.00638840428097e-06,5.27478490214051e-06,5.80879222713153e-06,6.386975593469063e-06
AL,Gas CC,1.10874798948856e-06,1.5694492784697382e-06,2.0467339298305204e-06,2.2747591395927595e-06,2.5342917691469155e-06
AL,Gas CHP,1.2130522543640049e-06,1.7893715141607414e-06,2.4263583665366976e-06,2.6721376781223902e-06,2.942602778495866e-06
AL,Gas CHP CC,5.669916105335187e-07,8.0608115327047e-07,1.0556669482895538e-06,1.2204158940281205e-06,1.412458034572184e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Hydrogen turbines,1.3691574302032516e-06,1.9865507302385706e-06,2.677141876031956e-06,2.9799034644823737e-06,3.352350557207957e-06
AL,Micro gas CHP,1.0557524429920593e-07,1.51037922580979e-07,1.969739721013209e-07,2.179179043830284e-07,2.423301961725283e-07
AL,Nuclear,8.090182189451648e-07,1.228170468340368e-06,1.739339287509704e-06,2.043131516524231e-06,2.427889153503977e-06
AL,Offwind,7.058408860487543e-07,1.1240778574080852e-06,1.5277441071160029e-06,1.7829292264120286e-06,2.1411042427892395e-06
AL,Oil,0.0898555631822784,0.0898560402370719,0.089856583189374,0.0898568014388185,0.0898570296827351
AL,Onwind,4.891689490924965e-07,6.987014498544869e-07,1.038722503651722e-06,1.1741569421150226e-06,1.4223828461998815e-06
AL,Solar,2.3639635505212593,2.7266700235720696,3.365170778719968,5.432344119251684,5.432347570120483
AT,Battery,9.080014817726837e-06,1.4801534995710676e-05,2.6526597037713023e-05,3.2560959141572053e-05,3.1902799270677035e-05
AT,Biomass CHP,1.0152510716512555,1.0152523907463782,1.015253062049805,1.0152548869745297,1.0152553631777417
AT,Biomass CHP CC,1.900081610551423e-07,2.673627593033832e-07,3.439314517728381e-07,4.5540434823652724e-07,0.0099653551441551
AT,Coal/Lignite,7.930181598145966e-07,1.1048402884228908e-06,1.4363009158786708e-06,1.579259320652972e-06,1.73095010878221e-06
AT,Fuel Cell,3.1793970659490945e-07,4.5197130673797435e-07,5.925126655388197e-07,6.645706227489977e-07,7.606999075135281e-07
AT,Gas,2.8192027678695224,2.8192039941978932,1.3170053219260154,0.8380059489261161,0.8380066673862069
