snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Decentralized heat,Methanol,Centralized heat,CO2 emissions,Electricity,Methane,Centralized heat,Ammonia,Electricity,Electricity,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Methane,Electricity,Decentralized heat,Centralized heat,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Heat Pump,Methanol production,Heat Pump,Transport emissions,Offwind,Imports,Waste Heat,Haber-Bosch,Onwind,Solar,Gas Boiler,Decentral heat production emissions,Biomass CHP,Biomass CHP,Gas Boiler,Storage,Hydroelectricity,Resistive heater,Resistive heater,Power supply emissions,Gas,Oil Boiler,Storage ,Storage
2040-01-01 00:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397190336219,0.7412808565280418,0.5464148993858076,0.1411176732280578,0.15850869549755842,0.5454774304381296,5.692195608554126,0.2317795838518304,0.9712633777376112,0.1679972449265309,7.083999916568311,14.477748358445806,0.8376181196653482,0.8789534613415557,4.0937665743289955,,4.318146555797174,0.9135890030544889,8.66595524109317e-06,2.818275903383244e-06,0.2104288696768272,,0.07976684733761007,0.3436612843996188,0.6034296451341776,5.250819073998075e-07,1.160858828117275e-06,1.0179705742946697e-06,8.91016667596071e-07,1.6624032290895262e-06
2040-01-01 03:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971902290555,0.741280856636704,0.5464150639168724,0.1411177159957325,0.1585087997823692,0.5454778106537284,5.664267996305212,0.2317793214520264,0.9652737303077324,0.8378035788324107,6.640694012754939,14.6351945438672,0.8376178343045364,0.8789532413252584,3.344530716010216,,9.422929060226966,2.222241829191609,0.052944543556121,0.0173154384102554,1.639987865252582,4.396124809088978,0.07987780303019489,1.2327987429567924,0.5777459904582043,5.821644656269054e-07,1.377544417656057e-06,1.0058906817640624e-06,8.55937516858758e-07,1.6531917898189156e-06
2040-01-01 06:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397189325743,0.7412808576620875,0.5464158741758071,0.1411179264617882,0.1585094154724949,0.5454800730851149,5.647341060360701,0.2317787048309591,0.9619289528637844,1.7763105025797008,6.891419747471554,14.750885241591533,0.8376173071317037,0.8789527732833862,2.5848773836786685,0.09993748627288729,10.188911371594552,2.4023999844087354,0.0552935338711455,0.0180754412108465,1.7693509903497926,4.809223470213796,0.07987836423218302,1.011601684747366,0.5777447381658802,5.97309758806023e-07,1.4394063494906656e-06,1.007209060158522e-06,8.572746090076547e-07,1.6526753753007054e-06
2040-01-01 09:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397188290614,0.741280858827329,0.5464154367098337,0.1411178128640712,0.15850907548666018,0.5454788229346471,5.631062221493014,0.2317791612528953,0.9594155828988774,1.462320030612383,7.0630869269135435,14.764187132601265,0.8376177083891794,0.8789531233252058,2.23796275083937,2.65804407701201,8.096600657911141,1.8928424280216638,0.0183193531214846,0.005996003112018,1.324342041705242,0.0,0.07987646876342629,1.2463363478798155,0.6065532711136876,5.741276748617324e-07,1.3456849063820408e-06,1.0121999660845975e-06,8.64225130253162e-07,1.6587833394343455e-06
2040-01-01 12:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971877696609,0.7412808594149329,0.5464157507815159,0.1411178944062601,0.15850934123484928,0.5454798032916228,5.594291273157606,0.2317790116007941,0.951895100340782,1.72272738197327,7.070699288612181,14.78338765060501,0.8376175900572663,0.8789530195876443,1.9794965045036323,4.362991568074145,7.564902982785999,1.7591209406549326,0.0158040297475796,0.005172587978155,1.1890237106690695,0.0,0.0798763536477898,1.2170945173849814,0.6065547208541696,5.739156198008491e-07,1.3453697407466293e-06,1.0141792224189948e-06,8.652959004060416e-07,1.65196415176095e-06
2040-01-01 15:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971882138162,0.7412808588763138,0.5464163026480374,0.1411180378061081,0.1585096324799086,0.5454808539030908,5.41995011709796,0.2317773030229409,0.9155615956173738,1.9683733617013837,7.04639717312843,14.792613661978876,0.8376162375102403,0.8789517866958714,1.491981344003386,0.0719691462768771,9.475455831317396,2.191577783729882,0.048604216203367,0.0159068682425938,1.4229051416281586,4.423607142897614,0.07987759231860393,0.3096400896790542,0.5777471133497434,6.045387716552984e-07,1.469958402864065e-06,1.0105593915515492e-06,8.523652954228493e-07,1.650109465319032e-06
2040-01-01 18:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971882836306,0.7412808587732751,0.5464151802451886,0.1411177462174943,0.15850888774402822,0.5454781338596163,5.26428495175551,0.2317791411239351,0.8830642088761039,0.9059443278159937,7.082128913436444,14.742928108102143,0.8376176355054556,0.8789530884045944,1.7050848601712532,,9.53816286699774,2.203376093481383,0.0482443463995417,0.0157897739615906,1.417999370118809,4.488038367695778,0.07987741296038804,0.2473157448072294,0.5777468599372467,6.060479173412163e-07,1.4758818492557445e-06,1.0109358071479982e-06,8.474709229397213e-07,1.648351900276502e-06
2040-01-01 21:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971881989264,0.7412808588518834,0.5464149533128433,0.1411176872269763,0.1585087556230668,0.5454776542775736,5.238196909936114,0.2317793132967136,0.8774447920838172,0.3593144739390964,7.0839118620462935,14.662787459385134,0.8376177799279994,0.8789532266324027,2.086176485168062,,5.311807109026605,1.1510053662596633,0.0293628208847999,0.0096113591546611,0.3978150268331869,0.0,0.07987725824414078,0.2038605489865075,0.5777470807344499,6.070522438616099e-07,1.479574870931931e-06,1.0200272015886285e-06,8.448545955351029e-07,1.645647822796216e-06
2040-01-02 00:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397187942672,0.7412808591375102,0.5464149532097162,0.1411176871988131,0.15850875607497938,0.5454776560180687,5.238998931463247,0.2317793149350852,0.8771957583854282,0.1727704507779997,7.081114026919185,14.710975432249924,0.8376177823365045,0.878953229752756,1.7921610565281074,,5.668612055433429,1.2395451422370678,0.0305013859883062,0.0099840674623801,0.4823390260540253,0.0,0.07987710550714051,0.200046905740122,0.5777477986311497,6.067672428404823e-07,1.4788288238976268e-06,1.0194262458352058e-06,8.501150544525514e-07,1.6346782588321096e-06
2040-01-02 03:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971874485548,0.7412808597037832,0.5464151334137015,0.1411177340452385,0.1585088687926121,0.5454780666866403,5.269247866700277,0.231779201606983,0.8834678756557952,0.8475524651942924,7.033278470890242,14.85704260297525,0.8376176841137862,0.8789531402288223,1.471178833617069,,12.104302530553086,2.8425443335772864,0.0589807151826893,0.0192683202087877,2.0384522537320184,7.7662799277636685,0.07956987530831655,0.2779302589097046,0.5777456588791133,6.085542230255231e-07,1.48712009255263e-06,1.0115040672413095e-06,8.78447642798391e-07,1.6188663870619446e-06
