config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213345046.55234,338401667995.74384,379612214071.25745,430781752217.9483,517892579892.4197,644826807296.5333
prod_tot,Energy production,marginal,439114944234.70197,651716358002.4885,594327867405.0298,510302921508.6906,398402288563.5379,297295613366.8858
prod_tot,Energy production,total,704328289281.2543,990118025998.2324,973940081476.2872,941084673726.6389,916294868455.9575,942122420663.4192
sto_tot,Storage,capital,31916836948.42503,43547016769.891426,45003312754.47938,45545200329.988014,47765051788.9671,50749847783.74293
sto_tot,Storage,total,31916836948.42503,43547016769.891426,45003312754.47938,45545200329.988014,47765051788.9671,50749847783.74293
tran_tot,Transmission,capital,8056685674.100163,12975654933.961586,13178368966.181915,14514886538.626226,17201629591.877052,22804541884.849884
tran_tot,Transmission,marginal,16103043.50617081,566144644.9555984,521027619.126075,506493775.10937667,1098917499.2186337,4038351876.302848
tran_tot,Transmission,total,8072788717.606335,13541799578.917185,13699396585.307991,15021380313.735603,18300547091.095688,26842893761.152733
distr_tot,Distribution,capital,23327248556.671806,40163005839.06604,42099814895.427376,46360140797.98481,52313698958.34687,56071489049.11903
distr_tot,Distribution,total,23327248556.671806,40163005839.06604,42099814895.427376,46360140797.98481,52313698958.34687,56071489049.11903
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388514313.15152,280514765303.84875,309216717132.9436,344642558092.5784,418055472047.0649,517690297652.1625
prod_eu27,Energy production,marginal,118291743283.9753,297638750494.85223,290107521646.09686,260097087807.29086,203716896169.26553,174235568344.97232
prod_eu27,Energy production,total,339680257597.12683,578153515798.7009,599324238779.0405,604739645899.8693,621772368216.3304,691925865997.1348
sto_eu27,Storage,capital,21880520318.180126,30057333906.138737,30571354922.58445,32793634894.876778,34155299874.312893,35824780151.05999
sto_eu27,Storage,total,21880520318.180126,30057333906.138737,30571354922.58445,32793634894.876778,34155299874.312893,35824780151.05999
distr_eu27,Distribution,capital,19078064611.083534,32526539726.5444,34148280076.09557,37311340635.00168,42342278959.059975,45630526965.82859
distr_eu27,Distribution,total,19078064611.083534,32526539726.5444,34148280076.09557,37311340635.00168,42342278959.059975,45630526965.82859
net_imp_eu27,Net_Imports,H2,0,-33432572.421935085,-36311470.31220785,-60240198.195096225,-279279758.18553054,-122956777.36067611
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1427300021.1100826,-1237110469.5782795,-635344860.2229824,-723528416.6793137,-561599131.31913
net_imp_eu27,Net_Imports,gas,363621985.20133233,-1354004488.6691692,-1349142139.4657218,-1325826318.717354,-804804392.6319185,-438545613.84575063
net_imp_eu27,Net_Imports,total,919873847.4494479,-2814737082.201187,-2622564079.3562093,-2021411377.1354327,-1807612567.4967628,-1123101522.5255566
prod_be,Energy production,capital,6593719327.20583,7654245120.036078,7699819815.207526,7411892643.040029,8869687012.79113,9784306151.248657
prod_be,Energy production,marginal,4569147266.153669,15442764087.70984,15356394782.077887,14286899380.649105,11964595903.379675,10720345157.659716
prod_be,Energy production,total,11162866593.359499,23097009207.74592,23056214597.28541,21698792023.689133,20834282916.170807,20504651308.90837
sto_be,Storage,capital,237109918.2919007,495313627.6868991,496184972.4489063,498228512.4111912,500353553.40324485,501486382.21424633
sto_be,Storage,total,237109918.2919007,495313627.6868991,496184972.4489063,498228512.4111912,500353553.40324485,501486382.21424633
distr_be,Distribution,capital,608214575.0188338,1166210199.3462377,1308504096.5804675,1433458775.3014994,1716748548.4290614,1842142154.0257387
distr_be,Distribution,total,608214575.0188338,1166210199.3462377,1308504096.5804675,1433458775.3014994,1716748548.4290614,1842142154.0257387
