snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
carrier,Hydrogen,Decentralized heat,Oil,Centralized heat,Electricity,Oil,Methanol,Methanol,Oil,Electricity,Oil,Solid biomass,Methane,Methane,Methane,CO2 captured,Methane,Electricity,Electricity,Hydrogen,Oil,Electricity,Decentralized heat,Centralized heat,Methane,Solid biomass,Methane,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Agriculture,Industry,Industry,Agriculture,Aviation,Shipping,Industry,Agriculture,Industry,Shipping,Industry,Industry CC,Industry,Hydrogen production CC,CO2 sequestration,Hydrogen production,Residual electricity consumption,Decentral heat production,Transport,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Decentral heat production,Central CHP production,Storage,Power supply,Storage charging,Decentral heat production,Storage charging
2035-01-01 00:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898317008345,2.330634442457443,0.1375888191891522,0.6786057379273568,0.6276483369588325,0.0944398180449481,1.8626157723219037,2.1946850261856983,0.0234792090277425,0.5640736803009999,0.975198657011454,5.810566063212086,1.035718174033996,3.282797789195787,1.6119554171426225e-06,2.478353778385383,5.33172123528205e-07,5.472844108563873e-07,3.418797648668939e-07,1.2670857218691198e-06
2035-01-01 03:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898317065592,2.3306344673421635,0.1375887967929032,0.6786058743899991,0.6276603060390666,0.0944399321958342,1.4994212225210406,2.221575739795446,0.1169602120541595,2.8098977774,1.3114993047174053,9.467131849106638,1.687491443247691,6.844363677178422,0.984761320721107,0.0,7.156266244747064e-07,5.483188102003141e-07,3.426444782034685e-07,1.1924750425045124e-06
2035-01-01 06:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316755726,2.3306344829669827,0.1375887827305669,0.6786058675936472,0.6276606265523753,0.0944399268250091,1.474915970853203,2.225076728496348,0.2481700082045913,5.96213312394,1.3325037737948038,9.79065741336256,1.745159027269484,7.242833344088771,0.9847614090692752,0.0,7.206829667499019e-07,5.533800906815438e-07,3.450620402466219e-07,1.1841695748720911e-06
2035-01-01 09:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316544512,2.330634492210145,0.1375887744117207,0.6786058681043744,0.627659109578528,0.0944399249682085,1.806427635720143,2.3037508115453034,0.2050141135002845,4.9253390682400005,1.1659030319593355,8.642169410445579,1.540444050391041,6.62124653517886,4.363503604005095e-06,0.0,6.037409434370495e-07,5.441579444684295e-07,3.487225005393721e-07,1.1790261200879317e-06
2035-01-01 12:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316148281,2.330634499070226,0.1375887682376469,0.678605867356402,0.6276591992544297,0.0944399249421821,1.843249845646096,2.3008280586466965,0.2415116127612845,5.80216923341,1.2117796771931597,8.275832334239878,1.4751454265528372,6.210878616151931,4.213125271660011e-06,0.0,6.031654603798393e-07,5.502445277620313e-07,3.481172766063361e-07,1.2382629886892272e-06
2035-01-01 15:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.683789831653392,2.330634505950922,0.1375887620450207,0.6786058786118022,0.6276591262943002,0.0944399331213845,2.0196873714717936,2.294266728432209,0.2754817843287745,6.618281891800001,0.728646571475603,8.783779031660945,1.5656855942811296,6.137831700438846,0.9847612687697276,0.0,7.198876848733852e-07,5.268804903918267e-07,3.471601923498417e-07,1.1742432365711614e-06
2035-01-01 18:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316670182,2.3306345134396618,0.1375887553051547,0.6786058779493633,0.6276592465017341,0.0944399338704517,2.084015894170525,2.274970439713517,0.1265368583098519,3.03997086427,0.6735102218245617,8.688606701353343,1.5487213758052691,6.1259510870680565,0.9847612694266008,0.0,7.214138871301774e-07,5.211691665772363e-07,3.471606208561977e-07,1.1526703615144748e-06
2035-01-01 21:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316727227,2.3306345214691992,0.1375887480785717,0.6786057444834813,0.6276587980144589,0.0944398211859169,2.2248110003610213,2.2526902790148906,0.0501217345066862,1.2041441094899998,0.5549954405910357,6.055642625265087,1.079402428990689,3.0568820067235984,0.9329298040641452,2.287753175399412,7.190174354085825e-07,6.759849112072813e-07,3.466759788215234e-07,1.2047711670434397e-06
2035-01-02 00:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316669975,2.3306345297243034,0.1375887406489773,0.6786057405651973,0.6276590896203272,0.0944398178130177,1.821855156084417,2.2635092453162873,0.0240555731941618,0.5779204779570001,0.9471317876884872,6.1984674696042585,1.1048605832180725,3.181376900777458,0.9607321410754444,2.715787666405464,7.284583603807609e-07,6.8431928681359e-07,3.468785288766568e-07,1.2073803496198696e-06
2035-01-02 03:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.683789831653426,2.330634538192535,0.1375887330275689,0.6786058811975632,0.6276593394694429,0.0944399348225193,1.6815665577140069,2.2653710670597986,0.118070895347693,2.83658126628,1.085556660607858,10.152439306857213,1.809645701726414,7.855585048702832,0.9847616339361148,,7.414129644606981e-07,5.249612489060509e-07,3.491349267668514e-07,1.135785578112488e-06
2035-01-02 06:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316289565,2.330634546408673,0.1375887256330443,0.6786058729880089,0.6276591254215317,0.0944399284436943,2.1402809836156136,2.1152987160771577,0.2551290903718115,6.12932082966,0.7769157636263463,10.502278758572787,1.872003667231691,8.427979898788553,0.9847615570356278,0.0,7.388592172739896e-07,5.263961249959776e-07,3.511082406013018e-07,1.1403579301974552e-06
2035-01-02 09:00:00,0.2054794520547945,0.4514719951500935,4.88584474886,0.2271689497716895,0.0955762898401365,1.2651071151800002,4.78712839873,0.361872146119,0.132245381861,4.0993150684931505,5.50519765853,0.6837898316154536,2.3306345538750266,0.1375887189133263,0.6786058751950671,0.627657932886082,0.0944399281036258,2.4635097064256724,2.033953619586271,0.2143438942357717,5.14948136152,0.7713146216893105,9.260378712230349,1.6506382384012537,6.9389322711398185,0.9847596262347518,0.0,6.935777299341994e-07,5.108006963186163e-07,3.535633977977204e-07,1.1604375882015336e-06
