snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
carrier,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Oil,Electricity,Oil,Oil,Hydrogen,Methanol,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Electricity,Oil,Hydrogen,Decentralized heat,Centralized heat,Hydrogen,Electricity,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Industry,Agriculture,Shipping,Industry,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Ammonia production,Ammonia production,Transport,Storage,Decentral heat production,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-01-01 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.839040955047198,1.8188729582556864,0.6786176620453678,0.6276136948078875,1.8626157723219037,5.7450673291983934e-05,2.1596483364624333,0.38273019594,0.0429497726117241,5.258221242122501,1.2982871426359437,0.3356277781294554,0.072275121500709,1.1323873535836562,2.867218598756154,2.5499686303311737,1.5105040912994828e-06,6.664611291358817e-07,3.624284318997793e-07,2.8232493713948713e-07,9.65731159307871e-07
2040-01-01 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409550283218,1.818872958273324,0.6786176763884418,0.6276212390224443,1.4994212225210406,0.0011849286752062,2.281530950890122,1.90654654609,0.2139516074161455,8.53054444767372,2.106243854362567,0.33562772245426,0.0722751095114407,1.373696441435045,0.0,6.548564046380195,3.898897401621666e-06,8.476872138498097e-07,4.0431247641609396e-07,2.8504353670253064e-07,9.055783965399436e-07
2040-01-01 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.83904095494576,1.8188729591558344,0.6786176775464197,0.6276211874971768,1.474915970853203,0.0941123846166335,2.2748971009808976,4.04537289797,0.4539695272035208,8.820073003562863,2.1777302343052076,0.3356277118727016,0.0722751072327752,1.4186836255129631,0.0,6.934418735707441,5.170400622116341e-06,8.898556454701034e-07,4.071702312330386e-07,2.867621380147803e-07,8.963466314734086e-07
2040-01-01 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548864243,1.8188729603894536,0.6786176738692603,0.6276203203770526,1.806427635720143,0.0002455008344292,2.333928850575035,3.3418967282,0.3750258173785692,7.792271464277009,1.9239597172058491,0.3356277312763933,0.0722751114112261,2.109191438168311,0.0302101705516834,5.632974773795274,2.966853385286284e-06,8.124801264128495e-07,3.965363174584008e-07,2.882892899358715e-07,8.961343124970416e-07
2040-01-01 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548756902,1.8188729605670648,0.6786176702103353,0.6276211550625174,1.843249845646096,0.0001381477687629,2.3180172471666562,3.936835638909999,0.4417895355389351,7.4644301547767,1.8430136829196664,0.3356277362645685,0.0722751124853951,2.822448966069231,0.0,5.261875026506305,2.637123124658753e-06,7.927504830396477e-07,4.131160570558685e-07,2.883522241305152e-07,9.2032791496627e-07
2040-01-01 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549263378,1.8188729589244368,0.6786176739368636,0.6276209183837792,2.0196873714717936,0.0937511838607941,1.9082120659312447,4.490577053490001,0.5039300932843437,7.919000334141712,1.955249854073448,0.3356277113193246,0.0722751071136093,1.2529706548984,0.0,6.309244250403694,5.172845411051559e-06,8.958490007206329e-07,3.915785696183964e-07,2.8831036164228105e-07,8.785589775100113e-07
2040-01-01 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549513179,1.8188729582659109,0.6786176761723249,0.6276208622851935,2.084015894170525,0.0852086491999122,1.9082120807404295,2.0626536659499997,0.2314698627619243,7.833828989435341,1.9342205255873264,0.3356277125991964,0.0722751073892208,1.162418118725135,0.0,6.291648848734556,4.775691706577702e-06,8.879850796333321e-07,3.905125453063689e-07,2.885064469951697e-07,8.696739942093593e-07
2040-01-01 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549618898,1.8188729579433771,0.6786176769989523,0.6276208470965846,2.2248110003610213,0.0934340489524585,1.9082117284950058,0.817025021837,0.0916860997073529,5.477544445396022,1.3524393895232962,0.3356277122436709,0.0722751073126609,1.0216193650700292,2.00622819658545,3.3478051363260803,5.033415175575666e-06,8.957193088083912e-07,3.6583996323125177e-07,2.8598998690683753e-07,9.23046587228389e-07
2040-01-02 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549554154,1.818872957951461,0.6786176779181458,0.6276210154818708,1.821855156084417,0.0940746685293789,1.908211946305908,0.392125400441,0.0440040973063936,5.605360839200069,1.3839980427356335,0.3356277085731148,0.072275106522232,0.4877068499979354,1.939223542586522,3.493334660252597,5.640065811073777e-06,9.088733800499151e-07,3.659345901039087e-07,2.8630534918626746e-07,9.17596704378394e-07
2040-01-02 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549302709,1.8188729584091752,0.6786176776990546,0.6276209738100826,1.6815665577140069,0.0941549054039344,1.9082010694294076,1.9246515867700005,0.2159833451482189,9.143837802215648,2.257669753008181,0.335627705284902,0.0722751058141381,0.4847192271933437,,7.9073539716909,6.217705417982814e-06,9.199461494759224e-07,3.981488184305599e-07,2.885013375368542e-07,8.738178047999987e-07
2040-01-02 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548944787,1.8188729592374384,0.6786176769707883,0.6276211419096299,2.1402809836156136,0.0942391715799484,1.406383772591653,4.15881159509,0.4666995555581918,9.456915105646722,2.3349704634536828,0.3356277045932239,0.07227510566519,3.428088974986451e-06,0.0,8.795958753737395,9.046251263123754e-06,9.431178752401607e-07,3.909555537681156e-07,2.887050393046652e-07,8.796126738482956e-07
2040-01-02 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548566098,1.8188729604175713,0.6786176732618958,0.6276205654770722,2.4635097064256724,0.0005506181418051,1.9082001031362883,3.4939797393700007,0.39209248945568,8.345517532465278,2.060559571789523,0.3356277058495146,0.0722751059357235,2.679147756507626,0.0,6.8371770012054025,6.3136927302266346e-06,9.228278007096846e-07,3.9245025810071e-07,2.924629208775397e-07,8.653297218092892e-07
2040-01-02 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548471676,1.818872960556152,0.6786176745388132,0.6276205017736655,2.500468417624899,0.0937837370483925,1.9081992519300044,4.0968349045100005,0.4597445653434628,7.991011315223732,1.973029807894799,0.3356277113557142,0.0722751071214456,2.2272304535066754,0.0,6.282617666184572,5.008908396568387e-06,8.95528553287781e-07,3.9023413742906586e-07,2.91397367274501e-07,8.858158434419589e-07
2040-01-02 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548843466,1.8188729596508797,0.6786176727208573,0.6276209041500206,2.71406710389833,0.0941282530683853,1.8765997962288052,4.57807006921,0.5137485115078827,8.482553869769777,2.094394685719522,0.3356277065826701,0.0722751060936035,0.5639777606061281,0.0,6.956056734850651,6.300836878754488e-06,9.187753272637349e-07,3.827438433404575e-07,2.8921335577603425e-07,8.768249356489255e-07
2040-01-02 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549131101,1.818872959328448,0.6786176693060308,0.6276209111095562,2.56704739968974,0.0002081269049261,1.8758203062069123,2.16894563231,0.2433978889123493,8.390455130671729,2.071654940981106,0.3356277245651704,0.0722751099660106,0.7117828694699123,0.0,6.846878593368444,3.379981052651738e-06,8.357656719003563e-07,3.809001338757405e-07,2.8818330423653305e-07,8.688808854255008e-07
2040-01-02 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.839040954926132,1.818872959358009,0.6786176548214384,0.6276208718409001,2.503809781056493,4.551027395934205e-05,1.8722992846101851,0.866823847456,0.0972744965972833,5.842522651615663,1.4425547518594048,0.3356277652162182,0.0722751187199327,0.7785424666101581,0.2807374129604869,3.6266868508777255,1.698974727378269e-06,6.997935383494366e-07,3.652405675742293e-07,2.8338358813080325e-07,9.15184833811835e-07
2040-01-03 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549231312,1.8188729596376616,0.678617667897517,0.6276209292743627,2.17754245837818,0.0001487408987019,1.6729871292498104,0.394470261244,0.0442672362991848,3.831061439408067,0.9459126157696902,0.3356277384781402,0.0722751129620725,1.3041211332050806,3.3530670747808475,1.2473841443888785,2.8795327771072817e-06,8.113372301038229e-07,2.600679429470935e-07,2.801315744734238e-07,9.940987968795256e-07
2040-01-03 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409549020796,1.8188729602430929,0.6786176626498172,0.6276209371371528,2.127144573346514,7.953523910513382e-05,1.8702299363093984,1.81547794936,0.2037319394547873,6.009173707364425,1.4837019217905787,0.3356277474008023,0.0722751148835061,1.157276655488568,0.7389778308975656,3.742140700950184,2.1145660365173792e-06,7.484538906382954e-07,3.60502940690903e-07,2.816570924649723e-07,9.140041162288712e-07
2040-01-03 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548682807,1.8188729609722072,0.6786176684110965,0.6276210292043326,2.658136488589004,0.0002374116274193,1.4063972844408599,3.936648747860001,0.4417685627274512,6.201888686873795,1.5312844346917227,0.3356277247440185,0.0722751100045243,1.0901168923085909,0.0214793300826859,4.3806635687019915,3.077629790162327e-06,8.215943637220457e-07,3.596265004908837e-07,2.823109561483848e-07,9.071022792639562e-07
2040-01-03 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548178471,1.818872962109659,0.6786176641516675,0.6276208414162454,2.890291906524583,8.793811239038295e-05,1.4063956759175664,3.45583854488,0.3878123055350946,5.51776703961559,1.3623705952512717,0.3356277519798479,0.0722751158695719,1.3345642798552748,0.5367582275126479,3.471671028159893,2.019841976146076e-06,7.400773937323164e-07,3.406292744338576e-07,2.827056521344598e-07,9.275260610997746e-07
2040-01-03 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409548301276,1.818872962571645,0.6786176639273419,0.6276208630276918,2.881403225306325,8.55098370249288e-05,1.4063954031620458,4.06341631264,0.4559943492984273,5.29955045973921,1.308491580482175,0.3356277541460253,0.0722751163360432,1.455054182158235,0.6713167884604191,3.142976050062099,2.0207213308336702e-06,7.405780434273135e-07,3.331548026622718e-07,2.822817659999958e-07,9.401008877725e-07
