snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methane,CO2 captured,Oil,Methane,Oil,Electricity,Methanol,Centralized heat,Electricity,Decentralized heat,Hydrogen,Electricity,CO2 captured,Electricity,CO2 emissions,Centralized heat,Oil,Ammonia,Centralized heat,Electricity,Centralized heat,Electricity,Centralized heat,Ammonia,Electricity,Hydrogen,CO2 captured,Decentralized heat,Hydrogen,Decentralized heat,Methanol,Methane,Electricity,Centralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Decentralized heat,CO2 emissions,Decentralized heat,Hydrogen,Hydrogen,Centralized heat,Electricity,CO2 emissions,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Solid biomass methanation,Solid biomass methanation CC,Imports,Imports,Fischer-Tropsch,Nuclear,Methanol production,Waste Heat,Offwind,Heat Pump,Electrolysis,Onwind,Direct Air Carbon Capture,Hydroelectricity,Transport emissions,Heat Pump,Storage,Storage,Storage,Solar,Solar thermal,Biomass CHP CC,Biomass CHP CC,Haber-Bosch,Battery,Ammonia Cracker,Central heat production CC,Biomass boiler,Storage,Resistive heater,Storage,Storage,Biomass CHP,Biomass CHP,Central heat production emissions,Gas CHP CC,Gas CHP CC,Resistive heater,Gas Boiler,Decentral heat production emissions,Storage,Imports,Steam Methane Reforming CC,Gas Boiler,Gas,Power supply emissions,Oil Boiler
2050-01-01 00:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.90720435124569,53.60413438569813,1.4870668755928538,0.4376094323214632,169.14170061302818,99.90957353656307,48.48423023155525,109.41464684009031,111.89704810015007,87.93543424853131,539.6719856388706,302.7719908478685,318.4304226415391,409.1269228856286,0.4804307652948938,38.34212700367573,3.3332270742553956,35.99097623471462,,,4.068189762368355,,,0.921671132005737,3.509110638076494,26.31597719404792,6.727128482723482,1.3367231086611029,4.372922122287973,24.906149148081145,,12.85980152786718,,,5.882745380175295,18.010160347208725,0.15679745760018943,7.0715236754343005,6.3612353412157026,2.1557279378547287,14.4564541749471,2.9299530372111784,0.0385421112806125,0.5972910457177578,1.3879965890216562e-05,4.398918717259801e-06,1.5430096822183117e-05,2.6427907850981574e-06,2.2969066835740556e-06
2050-01-01 03:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351041884,53.60413438920562,1.4870667449773671,0.4376094123606013,169.97137661138473,100.6963233839286,48.48423375273412,119.48236366200861,115.27375293791776,89.1043996595281,503.8093236593876,301.3900403564804,304.8584424843025,388.9890477975107,0.4804294054742631,44.07613153645933,15.716147490264468,36.07979020785922,0.0,0.0,9.58494810900805,,,1.233854435115162,4.697697025471966,29.555966394714037,9.778155309836162,1.3367292685845351,4.845019975148387,34.489544126524265,,91.38418438272622,,33.609695843728474,10.12609640145854,31.020055639206017,0.15679771983784688,7.071527748737385,6.361238978870142,6.60717171699692,65.49032131699109,14.638393620452899,17.49974482628986,0.9862499941817224,1.5656042567655808e-05,7.154813764435969,1.5556249797995438e-05,2.6597336107088377e-06,2.5256752962054076e-06
2050-01-01 06:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351024735,53.604134389876364,1.4870666760975402,0.4376094020507072,169.79632894365207,100.93758132489792,48.48422773528456,122.83151259090971,115.27370498494108,84.94612227389301,495.8190497986051,301.0924779646683,278.32895707047663,332.59161212134325,0.4804290085687027,55.41800772173565,34.015306735229906,35.85080429639879,55.77585299086571,,9.845490831192157,84.30792463031753,0.016775960296907,1.233854482322598,4.6976972049695265,29.65292672132982,2.0108460759631503,1.3367332464988302,4.845020109255076,34.85463270081728,2.188467095847362,114.12987107217256,,44.74027209444413,9.826045774757793,30.091213628403313,0.15679771145409346,7.071527892598976,6.361239111290453,9.811561140194932,75.0422716987082,16.89996566179408,7.165800426618336,2.9400714744880334,1.9243722724905352e-05,8.866782435603387,1.5455514386239776e-05,2.6625437139988966e-06,2.621432161766794e-06
2050-01-01 09:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204350799887,53.604134391235576,1.4870666296288244,0.437609395883643,169.56016996246476,100.6695734605552,48.48422428846169,120.23020425429112,112.71237472934018,87.80462681658051,511.4570382934661,307.728212276432,306.11467822191594,276.08288727545215,0.4804291626391938,26.959000699371604,27.945885899918515,37.52378026160766,32.404777495145794,0.0,4.74098826164464,410.8034550965762,6.154154716152968,1.2338537367611675,4.697694370025997,28.367186313508803,0.07097998898579061,1.3367312415177983,4.845017127348931,27.24575923838,0.0,99.32264919634665,,7.378274402089051,6.853603890444556,20.975998343398317,0.1567974518728381,7.071523362836375,6.361235065334373,9.78892459408988,46.29712918229481,9.415397204785288,0.1933811259668268,1.5593284727498316,1.8412867132590937e-05,0.153913372892912,8.29739368597837e-06,2.52361932664316e-06,2.492758149636373e-06
2050-01-01 12:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.90720435076302,53.60413439183232,1.487066599249368,0.4376093914834559,169.46987812088594,100.59913486727127,48.48422197710291,120.70231904751572,111.5995751646011,86.57627201249133,523.1275957479546,313.2032901556259,300.42672504718894,262.1063068062449,0.480428865364252,41.14407946612427,32.196351327223766,38.564832166014114,49.027414839982995,,4.934104896338783,303.96355644221455,7.340373964876221,1.2338533872705848,4.6976930393345,27.968314641657255,0.07314124850954613,1.3367315734472285,4.845016711331687,27.375058277840296,0.0,87.97070620495131,,0.5595945195677547,7.588444010905742,23.222102044182815,0.15679750025027572,7.071523631765646,6.361235305287234,3.772860137607669,39.56916126193215,8.022221412712858,0.1787002486143784,3.1682823555416015,0.0694914792288655,4.4608897085554125e-06,1.0177754304100283e-05,2.695179591665764e-06,2.491252197725105e-06
2050-01-01 15:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351095253,53.60413438949745,1.487066582327146,0.4376093884480418,168.73231872117037,100.76162866871,48.4842267122442,129.9855716940873,100.22582731376303,73.33267037242315,523.0964297914352,308.29524555425684,267.2789294199082,270.36902019209305,0.4804286276859596,88.74824845885004,36.53312533474491,34.477807821117324,67.31982656645775,0.0,8.40492444483317,25.694118495803583,0.5118617024401855,1.2338546343164252,4.697697783495329,20.24905874341739,9.460797715306349,1.3367333066217664,4.84502116490514,31.529373117081914,0.0,77.92516596058701,0.0,17.518130082609716,12.405150913525825,37.94585056782129,0.15679803762237643,7.071529903317265,6.36124090612379,5.24504511501804,56.30682543435749,11.589260148439962,9.47838920341521,3.6058159586948,0.1294696441308351,1.1576937056338894e-05,1.8561785993758588e-05,3.1425988030907056e-06,0.6181345849365348
2050-01-01 18:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351157606,53.60413438935004,1.48706657064944,0.437609386229467,168.6243923624536,100.76914820304223,48.484228885521944,129.98557176432766,112.34209815917204,74.78680893340419,516.7259223354354,302.6251739205677,258.3928546978341,278.17355947021207,0.4804286580223306,91.91585740782969,17.609453040512356,33.32115397232299,0.0,0.0,5.605426950834039,,,1.2338546034812254,4.697697666316879,21.96865370041509,12.912173111240865,1.3367304396692636,4.845020698715426,32.681579096957975,0.0,89.51351940190638,0.0,17.52468220464242,12.936240954892009,39.57258013768528,0.15679800896445392,7.071528889048135,6.361240000551494,5.325342673067007,56.137571507552394,11.453076349582561,1.3742814159399085e-05,1.0663486553957804,1.5742423320235764e-05,0.3906092910076676,1.8297380924101288e-05,3.1215939722227024e-06,2.5760778232147062e-06
2050-01-01 21:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.9072043512406,53.604134388522475,1.487066568272436,0.4376093856081329,168.71780240373732,100.10952237458488,48.48422729397842,129.98557178053346,84.33814909671369,63.77247235349003,484.1340694446173,299.61984459963355,235.2451786702359,255.97274119168495,0.4804291680533299,89.29896296519416,6.965379734071934,32.64304473048256,,0.0,4.633883037936575,,,1.2338537655576436,4.697694479965675,16.745758272946425,7.05195817161711,1.3367286591442982,4.845017969579695,25.939555942054792,0.0,20.27248740134585,3.914662371635437,0.0,7.212735591065506,22.060407026829917,0.1567976140084457,7.071525297361346,6.361236793184432,2.67200004813118,17.199016970827003,3.4855962792199633,8.99824576436972e-06,0.6624278149663347,1.4865618320455904e-05,4.258096264318826e-06,1.8190972778466246e-05,3.115522433845082e-06,2.3855659625808953e-06
2050-01-02 00:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351427776,53.60413438657927,1.487066570378508,0.437609385535788,168.3750381069791,100.13306356957274,48.484227222906526,129.9855717610811,88.61569023629805,59.76162345834695,465.9462554108327,296.16869440194995,223.40114066387267,249.49784940829483,0.4804289985679066,92.75410955532703,3.335791503545245,30.188769611985535,,0.0,4.0104495606373005,,,1.2338538725041843,4.697694886665887,13.94491794140472,2.3316073118390475,1.3367293565728904,4.845018089568661,25.903988966313342,0.0,18.282371862388413,0.0,0.0,7.651938106169785,23.407067886868237,0.156797612447567,7.071525204676293,6.361236710286628,4.57533307594621,7.545622592218221,1.5294467012317001,0.0436438654759961,0.6752629776896939,1.4850263462993689e-05,4.315582028727495e-06,1.8062761691983555e-05,3.106983934450646e-06,2.344662070725538e-06
2050-01-02 03:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204351691668,53.604134382148,1.4870665699694054,0.4376093853210375,167.6439361434036,100.8730748430956,48.48422972367332,129.98557171098196,97.38945233784004,65.33486319197227,449.9806607443008,295.8823025352873,209.99445969812697,232.85840431612343,0.4804283395762319,96.43433899602361,15.517649765487375,32.164151611705826,,0.0,14.327447102919924,,,1.2338547750190936,4.697698318562304,21.400813193299474,4.331259677229028,1.336734205118871,4.845020431527488,45.33708017710596,16.355773944213936,95.27104689751182,0.0,25.16951718828478,17.939037159262032,54.864121338878014,0.1567979205760701,7.071527627037181,6.361238875208424,2.115324712528796,64.07712730298724,12.978412194150295,12.640587032548092,1.0099027705967305,1.635265221599317e-05,8.758513230396228e-06,1.8087166657631253e-05,3.106646378055237e-06,2.679036445997751e-06
2050-01-02 06:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354210595,53.60413433451653,1.4870665635978206,0.4376093838117474,166.83494367971116,101.09551402831084,48.48422388997989,129.98557190682502,85.72954701548461,67.65842277703553,430.1442078356039,296.8387222151009,191.29467209393917,225.5540174545224,0.4804280132997888,93.85442099161476,34.12467900121447,32.50021260428977,59.16264988946915,,10.169879575157196,65.79373959533596,4.13876086684754e-07,1.2338548290522098,4.697698523850044,28.088104658042145,5.102645623002938,1.3367356974363225,4.8450209052864714,46.9558644594468,53.6315339591169,103.191982257968,2.523264452457428,41.90059503198917,21.086785952105217,64.58678985085035,0.1567979733731931,7.071528571642075,6.361239720431672,1.0990370809427774,80.7124592658104,16.343565086245516,7.1583842346652125,3.2669789830253504,2.3094987518446135e-05,7.916854947251093e-06,1.8381252011230148e-05,3.151759151673458e-06,2.808175395909587e-06
2050-01-02 09:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354225566,53.6041343336976,1.4870665563004417,0.4376093829254051,166.36541678326293,100.8247703938812,48.48422258614382,129.98557139225522,108.0113239097192,71.34148621481805,416.45484583630144,303.9613328186664,241.17895556604708,229.952725586602,0.4804284133678027,60.827349742271714,28.90843169428076,34.125558705207766,39.34339016771317,,4.2237260279763875,368.8985756904295,3.893086917944692,1.2338542914686823,4.697696480004508,22.56816489615107,1.0476084894011166,1.336735297553007,4.845018769576356,37.560959721886206,15.261391541189417,91.75599808548832,,6.280948470739968,12.513562568414024,38.26405473677677,0.15679760175040766,7.071525343922467,6.361236835755678,5.68511923347513,44.60564591319886,9.214249546635406,8.69047019251299e-06,3.3640730635326177,2.2533287926843953e-05,0.9303778131973371,1.5651950216164663e-05,2.7292036356703082e-06,2.5869578940098615e-06
2050-01-02 12:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354339466,53.60413433331481,1.487066560229528,0.437609383117632,166.54526419330992,100.75412608429455,48.484222651098904,129.98557151299045,107.52301661188588,71.70945645052802,459.64183017941514,310.3114262384264,282.1188827631832,265.98916822385564,0.4804285494943421,62.31017022120603,33.630665351386746,35.29362181317534,57.53084581661224,,2.997265976821719,285.1498058573381,6.873514809938154,1.2338541997423034,4.697696131316899,15.559363827510731,0.936052832510701,1.3367343973727774,4.845019095036653,34.63903760372592,0.0,80.70831264152454,,0.0,11.3161907067277,34.600743347344256,0.15679772273778203,7.07152645389524,6.361237827858294,3.387203023285594,35.12366036094241,7.145603679076741,7.246838961498484e-06,3.987613641017549,2.3089583009846223e-05,0.1461440111151322,1.7389054984257523e-05,2.929952898743262e-06,2.4966735755982472e-06
2050-01-02 15:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354520427,53.604134332078004,1.4870665717967642,0.4376093839473108,167.47655926970089,101.2023707129701,48.4842256432153,129.98557152420685,101.59581186996574,82.82598200754545,508.97703106251174,309.6827112047569,280.47741819702065,301.1214028985127,0.4804282989722892,90.12376541996917,37.54108667646501,34.76843354471656,71.80927724933625,,3.529684229933217,30.672667318237494,1.2686924900996654,1.2338546434284137,4.697697818374874,28.24711933733801,17.122584133910433,1.3367357682176269,4.845020529719965,43.91323537432863,0.0,72.89715893085351,0.0,21.64615058727546,16.938258645064625,51.85486703982253,0.1567979559421152,7.0715283321127105,6.361239506093428,0.0640424175448868,60.92504353158981,12.337231152322582,0.4476466188445265,3.8858771311786633,2.3284131577142457e-05,8.741602959696235e-06,1.8511460948531433e-05,3.145801152391499e-06,2.947731595307637e-06
2050-01-02 18:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354457615,53.60413433320581,1.4870665810559882,0.4376093847943162,167.93972522592293,100.95069701869144,48.48422506594424,127.99608343047055,109.75842867557871,85.64851176093767,519.5869207799924,306.2991693168218,293.21897334330293,333.3423135201807,0.4804284257111094,90.59242976066042,18.69606316057068,37.07776837943301,0.0,,3.1694308846301635,,,1.233854581368005,4.697697582484046,28.35255931979637,23.35614150731562,1.336733472844078,4.845020180029376,44.56935505874944,,72.77835013674337,,19.673735413471935,16.252350256887645,49.76144829466792,0.15679791945340954,7.071527708807,6.361238950313856,0.0008318772466117,58.74480199100132,11.896604893428174,0.4867667087343876,1.2478166104972015,1.6720966973381896e-05,7.4931872804207985e-06,1.84246751106887e-05,3.134931050601839e-06,2.664113317216753e-06
2050-01-02 21:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.9072043544195,53.604134333661115,1.487066587250672,0.4376093852941017,168.47541029503574,100.2870655572918,48.48422699814332,129.00721558290996,99.9869520436606,79.84990466840799,514.1238995771096,294.41985035560236,292.8523444643266,349.13551494350423,0.480429209885501,83.58097520757707,7.503452075381763,35.322091385547445,,0.0,2.620660332436744,,,0.9216720862454246,3.509114267977033,23.194794634375196,10.509045952702516,1.3367307828838948,4.3729241647478245,30.561273439296663,,14.198357049258782,,0.0,7.059575281464997,21.57032657849436,0.15679760790212638,7.071525187627989,6.361236694740284,6.354258897886738e-06,11.472522687257332,2.3245050048541818,9.322200919600417e-06,0.7280679380996788,1.5028028524754555e-05,4.245375529317974e-06,1.8047759583848302e-05,3.0983106026508006e-06,2.4068869516403992e-06
2050-01-03 00:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.90720435440422,53.60413433417925,1.487066590200337,0.4376093855131486,168.20189917132575,100.31854511434376,48.48422857973832,129.98557117814184,96.66066967126775,81.50200490930038,503.80970352201257,276.3591049535168,291.4289408743678,355.30271961582577,0.480429441512856,80.96810943601355,3.4298469515582912,35.966574257778284,,0.0,2.491460687925757,,,0.9216720432833896,3.5091141044737735,25.403116999412497,6.135887686880357,1.3367282403919662,4.372924018553615,29.10738601343992,,9.041716834437583,,,5.514137568326751,16.85815275206071,0.15679759677884267,7.071524993773138,6.361236521201648,5.053409607675719e-06,5.460976826225231,1.1065170845379348,8.507896342370446e-06,0.7235842196698589,1.447583555924974e-05,4.2754867378702175e-06,1.7909263383316392e-05,3.0816150153774762e-06,2.156824888333445e-06
2050-01-03 03:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354443703,53.6041343338942,1.4870665895548143,0.4376093853859797,167.38363719559774,101.15363523806722,48.48423007627098,129.98556991335224,103.25615678473548,83.9765980224887,492.0442154235357,288.8895715550624,289.4597158636228,358.48458377618095,0.4804289925928376,79.64765128059011,15.029406487541545,35.788573093804594,,,10.154842693786096,,,1.2338544497412018,4.69769708238541,27.52922731262743,9.307629634737378,1.3367337900647471,4.8450192590348005,43.44113767020713,0.0,63.87785571337493,,7.626020528207074,13.939163060762,42.6389570092029,0.15679782858998983,7.071525970680509,6.361237393259304,0.5478351490341984,47.13059555371702,9.548807642336929,15.107388308112805,1.0178983734571403,1.6056562033206677e-05,8.081428817484987e-06,1.775187987291119e-05,3.0636444285364027e-06,2.508542681135441e-06
2050-01-03 06:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354597916,53.604134333260376,1.487066585692672,0.4376093847640894,166.61668576129748,101.2895302725621,48.48422285021374,129.98556929341322,102.19693159274864,82.17892850308186,477.94429399096583,298.25054320714264,277.7134751794006,345.04810529511536,0.4804288612493566,70.28555846049422,33.22939917604176,32.74786231827845,55.89868441057205,,7.429386726089186,63.39969315165472,0.0004849263668531,1.2338545762832187,4.697697563289289,27.561575465610854,12.128496143934022,1.336736361210635,4.8450195259872935,47.17821248787624,0.0,77.55444798548173,,12.62237991933443,16.0222388990226,49.022161538933965,0.15679784527729804,7.071526159646243,6.361237562341625,1.0521097090991969,52.0534883743337,10.547502487026405,0.5047299036452626,4.897725882079314,0.0896261876894657,8.165288885971648e-06,1.780515221155606e-05,3.0636463483610416e-06,2.560703566352854e-06
2050-01-03 09:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.907204354582944,53.60413433366653,1.4870665785222756,0.4376093839135783,166.32796341727345,101.0129918482425,48.48421829744871,126.49784059751326,100.6671470415728,77.36886265617436,473.3961039289594,299.9658739435487,298.17327145411883,317.13080203315474,0.4804292589616653,42.02596745530158,29.21411839021033,35.26379492844462,40.5698273639679,,4.372874233234096,352.57871960849474,7.480796840395589,0.9416436039455016,3.585152525053946,19.876973334784925,7.11703279455626e-05,1.3367354721052611,4.403125027374026,35.74557630693007,0.0,60.386523378232134,0.0,0.0,9.590024536485176,29.335958391237575,0.15679747910018482,7.07152306698825,6.3612347994204255,0.3351442353241157,30.267834146599633,6.131445810535869,0.0264793272763284,3.532167235918155,0.0318290276950752,4.446471189019586e-06,1.0200203032303454e-05,2.693795106911261e-06,2.407465117698948e-06
2050-01-03 12:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.90720435459182,53.604134334141534,1.4870665807918535,0.4376093840432343,166.4832189690285,100.93847761860616,48.48422076703349,125.68112581998275,98.68191486210584,69.52807484537703,475.6804709369012,303.44347656787187,292.46080194257246,314.17438629419127,0.4804293152977394,42.47125858861897,33.87970492563068,36.85856064758573,58.56154146051407,,3.957770976335761,284.76819466474154,13.062033965099744,0.9216716923767644,3.509112769361038,12.708419077347871,7.411752695822698e-05,1.3367351825365934,4.37292271911026,34.8557746349295,0.0,47.82676840120796,0.0,0.0,8.347998069335373,25.539383919805665,0.1567974758940656,7.07152310361852,6.361234832452096,0.7103947251343247,25.07414577021838,5.078276626528378,0.0311664557251108,3.841434450159907,0.0948147346490435,4.381039552925479e-06,1.037154654214054e-05,2.7010661183674865e-06,2.39502593755037e-06
2050-01-03 15:00:00,14.152822810967248,2.698889859646953,21.56339385039261,20.90720435459327,53.604134333835894,1.4870665893691752,0.4376093847856611,167.4592032496045,101.12007058721048,48.48422170587433,127.15310339275776,80.64220075610685,64.9394510739453,463.9796686058123,304.5347199788495,248.37173098443617,300.6427306698005,0.4804291473742662,67.1061377606248,37.523101998253416,36.52484885519503,71.75668459749221,0.0,5.37998505781178,31.325467725636905,2.297539918098766,0.9737723799909483,3.7074775349546254,16.781882580834136,23.43252741133477,1.3367349236933346,4.451712380956682,39.76043647879249,0.0,51.18634792677515,7.61061071252823,0.0335623331925486,12.331309707410451,37.71416516506104,0.1567976070215097,7.071525329647812,6.361236821783851,0.2990117426465712,39.42441574585228,7.985046814061178,0.0320079799547307,4.063950069797734,0.1396679567928971,7.163475815121006e-06,1.6124429644685836e-05,2.8022605581347673e-06,2.4872750912787863e-06
