snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Methane,Electricity,Electricity,Centralized heat,Ammonia,Decentralized heat,CO2 captured,Centralized heat,Electricity,Decentralized heat,Methane,Electricity,Centralized heat,CO2 emissions,Centralized heat,Decentralized heat,Centralized heat,Electricity,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Imports,Onwind,Solar,Waste Heat,Haber-Bosch,Resistive heater,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Storage,Hydroelectricity,Storage,Decentral heat production emissions,Resistive heater,Storage,Gas Boiler,Gas,Biomass CHP,Oil Boiler
2050-01-01 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225139996935,1.9613744626389726,10.117272646907457,0.0932340731005503,7.083999930969576,2.7316383616334776,0.1102015542616978,2.5067346782166413,7.669900551066401,,1.212516368600541,1.294202884023214,8.57315741646344e-07,2.510262038002044e-07,3.071120219147947e-07,2.7506992238179356e-07,5.543668037517965e-07,,0.07976694318200812,1.749046124268469e-07,2.6264582613369037e-07,3.295828705973347e-06,6.055068315751665e-07,2.733849156077322e-07,5.55729957833541e-07,2.066648309068986e-07,1.1677544539930429e-07
2050-01-01 03:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225140298864,1.9613744620428148,10.065950435431947,0.4649590542216371,6.629704558121079,2.7162491277648457,0.1102016611362495,2.50995886146074,6.250216654981848,,3.0599380479267135,3.287977842772867,1.8547254538489144,2.9731286066841303e-07,3.692819794499753e-07,3.307632524042443e-07,7.143026560576619e-07,0.0,0.07987636377593463,4.96982929797531e-07,3.146107055037219e-07,0.0148971834322906,0.8082133858230192,3.107528209725605e-07,5.878055928920963e-07,2.2940517908799041e-07,1.3317926529776862e-07
2050-01-01 06:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225141727608,1.961374459776364,10.033702478726815,0.9858058286551716,6.870203033956642,2.7060772017618286,0.1102016410449486,2.5137650863593626,4.873306128807144,0.1280712206053685,3.191293010206063,3.429741699446915,2.3407210591609378,3.2944427960030726e-07,4.171116251085576e-07,3.7362667426187506e-07,8.221068817765006e-07,0.0,0.07987648356793454,0.0781225226629946,3.506417822608435e-07,3.108969208384246e-06,0.7536479705933764,3.377692330432268e-07,6.107204866282625e-07,2.4345682478432604e-07,1.4243288119560122e-07
2050-01-01 09:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225142271058,1.9613744586681645,10.000072049016408,0.8115493363606611,7.056661607144276,2.694235365988701,0.1101947483632553,2.5178167685285566,4.42615804586341,3.275767570403446,2.6266119282024514,2.820328434701177,1.5175079496818749,3.6732335773384085e-07,4.928553223042406e-07,4.415149947478136e-07,9.292545739712588e-07,0.0,0.09266037246119235,2.1664504433325937e-06,3.804867243544921e-07,8.300019547521854e-07,0.1933738772848702,3.351033900734167e-07,6.984223627893898e-07,2.514401774079256e-07,1.509583151897649e-07
2050-01-01 12:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225142582162,1.9613744579792205,9.931277268446305,0.9560685994200648,7.067526167560506,2.672950806388443,0.1102008182352974,2.52360019286476,3.798686729351449,5.414879504730987,2.4390823171540736,2.6179382878045416,1.327626255708695,3.2908545535824557e-07,4.2394592865322787e-07,3.797555224424307e-07,8.611097236546755e-07,0.0,0.07987698373419597,5.908820210223186e-07,3.603468033235874e-07,1.653964969893591e-06,1.2722466580094508e-05,3.250916820295006e-07,6.364333810687017e-07,2.4060309159775026e-07,1.462335393595147e-07
2050-01-01 15:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225143812632,1.9613744561155468,9.60677072014926,1.0923956876475074,7.045203447791418,2.5735565030781977,0.1102004364956849,2.530022193610409,2.5327804430374146,0.0723082775228422,2.8280089167322893,3.0376835638425046,2.2787829677536955,3.559637527476758e-07,4.684624927548191e-07,4.19655695600489e-07,9.022599843884334e-07,0.0,0.09265758494627406,1.083641648914234e-06,3.731791670073455e-07,1.7684142234640916e-06,0.0001024848248916,3.409703929969104e-07,6.634976642570248e-07,2.501166697482487e-07,1.4902067091644917e-07
2050-01-01 18:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225144296342,1.9613744551448713,9.31739160479614,0.5027753861194738,7.081534827292504,2.4850471753816135,0.1102010951160226,2.5375922550502428,2.8225969538401836,,2.8622692813597683,3.074651306373579,2.450832921693157,3.359931137764572e-07,4.333254179424825e-07,3.881615421882857e-07,8.678802608791621e-07,0.0,0.07987702370240525,5.758948390471862e-07,3.619583536629935e-07,2.2653132888596847e-06,9.349415741955864e-07,3.328997841506486e-07,6.36212864362729e-07,2.440029415592298e-07,1.462314175900187e-07
2050-01-01 21:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522514481108,1.9613744540629305,9.269713944341598,0.1994101268981453,7.083883905052518,2.4708295537151144,0.1102013059733104,2.5464796066821647,3.5473386513411,,1.3756835234916127,1.4702964933910518,0.0002331017833677,3.0923985243092523e-07,3.930155475475749e-07,3.5204742447393866e-07,6.828267552643787e-07,,0.07987650094750032,2.948017838515232e-07,3.0913751082344874e-07,1.2152258204443235e-06,4.808055790017641e-07,3.178713879707259e-07,6.119065816192415e-07,2.336894082020183e-07,1.293584449235108e-07
2050-01-02 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225145573072,1.9613744525186765,9.27279015243561,0.0958830773952731,7.080197816015273,2.472538749737432,0.1102016261980244,2.5567788708313763,3.0566994692520417,,1.4966756666720598,1.6008735558283431,1.0335166592668412,2.9587855094165935e-07,3.705963979347668e-07,3.319583945191519e-07,7.396191868778319e-07,,0.07987638192873149,2.478519370186514e-07,3.2364756772736866e-07,1.0897384066741225e-06,3.952519649859909e-07,3.136921419439875e-07,5.892772552381539e-07,2.2907880173197025e-07,1.3465427202123677e-07
2050-01-02 03:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522514716755,1.9613744490469198,9.329192131343536,0.4703694309449241,7.024294504480906,2.489913575003138,0.1102018253341378,2.5638998572705813,2.5212060918125205,,3.6714063308406195,3.947887915244809,3.670321314881701,3.2864880785123564e-07,4.166745944654546e-07,3.732439375562242e-07,2.1425210628103833e-06,0.0,0.07956917382614224,4.347532219167306e-07,6.567278558568968e-07,0.0933396308801769,0.736779480642375,3.518971755011441e-07,5.935255015707994e-07,2.445656663399822e-07,1.8359189431510193e-07
2050-01-02 06:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.493522516303397,1.9613744189778295,9.348118851672123,1.0133327115321074,4.369419450260816,2.4944128508361323,0.1101899591626246,2.5686609340314863,1.6571628516356678,0.1454150703863653,3.6040927441239123,3.875305850660424,3.5713133522679845,4.3720876403908914e-07,6.179512817982283e-07,5.536356615788715e-07,0.7157114841624236,0.2151828801553899,0.09147378460261721,0.1919474492512727,0.1446032010996487,0.1664176462865663,0.5390227612432523,3.955027321607714e-07,7.307578102410987e-07,2.7824612102761185e-07,2.116212824684921e-07
2050-01-02 09:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225163177246,1.9613744183145982,9.574578259081095,0.8519488663601821,2.133446767446669,2.564719991057545,0.1102000791830841,2.5739365048027345,0.9936230517304432,8.230177879650562,3.174314513881039,3.411419612008907,3.03982992184975,3.615933477425377e-07,4.817788014877602e-07,4.315747175380223e-07,0.0053486232718094,0.0,0.09070257816201913,6.026941116942571e-07,0.0010808586205795358,1.8323201958521688e-06,7.187327552187473e-07,3.536584310462893e-07,6.677173523468763e-07,2.5647141527921146e-07,1.733665546443121e-07
2050-01-02 12:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225163418684,1.9613744177952144,9.869043986759756,0.9992942467935528,3.8809677982410227,2.65590420445381,0.1102003495116695,2.5830307576396017,1.389096444465603,4.602378982915394,2.8541608699057015,3.0659007541830436,2.4197071475554988,3.4246328546634915e-07,4.507463649695405e-07,4.0376859208819947e-07,9.204772528715672e-07,0.0,0.0900451335459178,3.9838931021093666e-07,3.7970728773637546e-07,1.6168598194490837e-06,4.475344883822569e-07,3.417712403212129e-07,6.520659826326399e-07,2.498147725610767e-07,1.503005088873815e-07
2050-01-02 15:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4935225163802728,1.961374417267657,9.810676259461928,1.1158409552218396,6.712579846102126,2.637569850290318,0.1102003453415676,2.5931765921447822,1.7716503524494556,0.017446437517137602,3.189973332569864,3.428378070832573,2.8989121194561323,3.702546941812754e-07,4.94011681803023e-07,4.4254964188009267e-07,3.2283165365821974e-06,0.0,0.0895112388298624,1.3673212681210343e-06,8.829273691567082e-07,1.6358058011021546e-06,0.1018247086874316,3.621524368817592e-07,6.692228323773757e-07,2.6128554174861434e-07,1.87695522553534e-07
