config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213333994.84985,344275458900.16815,383553860561.2289,424622222979.0384,471836187970.9916,590666648040.9546
prod_tot,Energy production,marginal,439114945009.73645,632216108993.6892,562059167644.4264,481474124265.83777,397440224428.6582,291207301359.26135
prod_tot,Energy production,total,704328279004.5863,976491567893.8574,945613028205.6553,906096347244.8762,869276412399.6498,881873949400.216
sto_tot,Storage,capital,31916836599.832394,43209844630.848404,44301030759.96085,45683089039.28313,46811619071.42851,48681253073.647896
sto_tot,Storage,total,31916836599.832394,43209844630.848404,44301030759.96085,45683089039.28313,46811619071.42851,48681253073.647896
tran_tot,Transmission,capital,8056685674.100163,12981388593.413923,13366995369.53711,14795001543.747372,16649846046.268162,21156578619.667934
tran_tot,Transmission,marginal,16103043.50617081,487492992.9411759,425709084.949536,389001399.7145771,872750178.5524851,3696556693.809169
tran_tot,Transmission,total,8072788717.606335,13468881586.355099,13792704454.486645,15184002943.461948,17522596224.82065,24853135313.477104
distr_tot,Distribution,capital,23327248556.671806,40727263931.56235,43118553942.33066,47657152349.82556,52239623553.1862,56500147021.2606
distr_tot,Distribution,total,23327248556.671806,40727263931.56235,43118553942.33066,47657152349.82556,52239623553.1862,56500147021.2606
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388504999.90344,285842156356.57153,314039956794.83057,343315862180.2853,379883454993.8947,475460318325.43256
prod_eu27,Energy production,marginal,118291743944.67058,286311635346.2721,271316967098.7154,240478353493.93503,201551368078.30682,163072204186.28046
prod_eu27,Energy production,total,339680248944.57404,572153791702.8436,585356923893.5459,583794215674.2203,581434823072.2015,638532522511.713
sto_eu27,Storage,capital,21880520409.012474,30070326730.492943,30509965357.216587,32628945029.426193,33448207545.76183,34751900390.2819
sto_eu27,Storage,total,21880520409.012474,30070326730.492943,30509965357.216587,32628945029.426193,33448207545.76183,34751900390.2819
distr_eu27,Distribution,capital,19078064611.083534,32997100182.743774,34941971362.51693,38504552168.42284,42294188981.6392,46039646182.63784
distr_eu27,Distribution,total,19078064611.083534,32997100182.743774,34941971362.51693,38504552168.42284,42294188981.6392,46039646182.63784
net_imp_eu27,Net_Imports,H2,0,-32154610.410718173,-286032715.6017242,-230742993.72745362,-83675508.6742593,-677809362.4144454
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1690407300.8665447,-1264868528.821991,-1097404349.2472973,-1024491122.1415691,-974634914.0006046
net_imp_eu27,Net_Imports,gas,363621985.20133185,-1089377313.6659527,-1128920574.0163891,-991410633.5966505,-611421042.4725758,-248704321.3954851
net_imp_eu27,Net_Imports,total,919873847.4494474,-2811939224.9432154,-2679821818.4401045,-2319557976.5714016,-1719587673.288404,-1901148597.8105352
prod_be,Energy production,capital,6593718012.63952,7704040855.811892,7784690362.915236,7457857080.430631,8664277009.877869,9541189836.452095
prod_be,Energy production,marginal,4569147574.964105,14977533586.497324,14646461933.490194,13574568360.729826,12090354219.180996,10232610061.870535
prod_be,Energy production,total,11162865587.603624,22681574442.309216,22431152296.40543,21032425441.160458,20754631229.058865,19773799898.32263
sto_be,Storage,capital,237110754.0317368,491811019.89424264,492718099.2801125,495486783.82503974,496762100.44825715,498711348.6980283
sto_be,Storage,total,237110754.0317368,491811019.89424264,492718099.2801125,495486783.82503974,496762100.44825715,498711348.6980283
distr_be,Distribution,capital,608214575.0188338,1200264321.098542,1336230948.9075143,1487742041.3602912,1689297692.374159,1877416553.4005573
distr_be,Distribution,total,608214575.0188338,1200264321.098542,1336230948.9075143,1487742041.3602912,1689297692.374159,1877416553.4005573
net_imp_be,Net_Imports,H2,0,0,0,7826882.246560734,24074797.036251232,33529349.045844138
net_imp_be,Net_Imports,elec,371033298.4967003,2100696739.3519223,2843076344.644101,3663841923.278624,3931436542.624722,4872237425.426828
net_imp_be,Net_Imports,gas,-57607714.23764144,-116931464.31106538,-126777215.68010375,-133025375.66483417,-24858766.648399815,34769024.53635632
net_imp_be,Net_Imports,total,313425584.25905883,1983765275.0408568,2716299128.9639974,3538643429.8603506,3930652573.0125732,4940535799.009028
prod_fl,Energy production,capital,3286283626.293971,5500151648.081747,5551955347.680364,5334859053.191874,6045518358.710344,6341679606.536259
prod_fl,Energy production,marginal,4316982808.098232,11160031778.980984,10946452049.300287,10431669304.695435,9497814104.665386,8078368098.475393
prod_fl,Energy production,total,7603266434.392203,16660183427.06273,16498407396.980652,15766528357.887308,15543332463.37573,14420047705.011652
sto_fl,Storage,capital,2228709.8923371965,171192662.5390765,171592177.61526254,173101467.6284416,173982261.8563557,175457093.8659631
sto_fl,Storage,total,2228709.8923371965,171192662.5390765,171592177.61526254,173101467.6284416,173982261.8563557,175457093.8659631
distr_fl,Distribution,capital,366959689.82068187,719758407.6515591,801215151.9700427,892261417.2582663,1011969596.9838043,1123218823.941556
distr_fl,Distribution,total,366959689.82068187,719758407.6515591,801215151.9700427,892261417.2582663,1011969596.9838043,1123218823.941556
net_imp_fl,Net_Imports,H2,0,-48221207.305221,-51705402.23556213,-37570214.92250422,-16827969.673116952,17269827.8170691
net_imp_fl,Net_Imports,elec,595353400.6658992,258423861.07516503,673423919.0928197,1188754228.8209991,1455734225.0802956,2072526865.8539042
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-802090475.4646274,-738118757.0889463,-683404895.0993291,-544178963.0615687,-280414387.7322328
net_imp_fl,Net_Imports,total,-413946989.9498975,-591887821.6946833,-116400240.23168874,467779118.79916584,894727292.3456099,1809382305.9387405
prod_fr,Energy production,capital,57841793686.36784,63420334755.77017,66807127558.43717,73214637124.13394,83414790547.42879,106753659562.0512
prod_fr,Energy production,marginal,13036926503.462044,41586815818.87441,38394762918.5668,31949024227.486717,25680710549.267834,21808126866.454144
prod_fr,Energy production,total,70878720189.8299,105007150574.64459,105201890477.00397,105163661351.62067,109095501096.69662,128561786428.50534
