snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
carrier,Oil,Oil,Methanol,Decentralized heat,Oil,Hydrogen,Methanol,Oil,Electricity,Electricity,Centralized heat,Solid biomass,Methane,Methane,CO2 captured,Electricity,Hydrogen,Electricity,Hydrogen,Oil,Decentralized heat,Centralized heat,Electricity,Methane,Solid biomass,Methane,Methane,Electricity,Centralized heat,Oil,Decentralized heat
sector,Shipping,Agriculture,Industry,Agriculture,Aviation,Industry,Shipping,Industry,Industry,Agriculture,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Methanol production,Decentral heat production,Ammonia production,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Decentral heat production,Central CHP production,Storage,Power supply,Hydroelectricity,Storage charging,Decentral heat production,Storage charging
2040-01-01 00:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333781163,2.477168399409047,0.6552176896588838,0.743703114286297,2.9598699239608504,0.046232152398364,4.435063999587947,0.1552648944933411,0.6808003840749001,9.549781679642017,2.322521070826845,2.2218818786451684,3.466044467518767,1.5313965472153572e-06,4.837669125072646,1.4724666324909735e-06,4.124266591177962e-07,3.96260624274715e-07,3.5405697340056316e-07,1.022624384581921e-06
2040-01-01 03:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333978274,2.4771683995293547,0.6552177048322749,0.7437115269982016,2.340146192970142,0.0462313848710312,4.470808138663762,0.1552645865582461,3.3951568580568003,15.515773964020374,3.773342469799502,2.805856900127287,10.926902909973549,2.495974134949087e-05,0.0,2.294864279528243e-06,0.0,4.788484173521151e-07,3.516355384179154e-07,1.0581997083861954e-06
2040-01-01 06:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333717282,2.4771683999601435,0.6552177077056341,0.7437123231969321,2.299687979988593,0.0462313638500479,4.475568726043471,0.1552645739019499,7.198408955576,16.043632236147204,3.901708056553439,2.887762506467329,11.606517167281838,3.838817400549288e-05,0.0,2.3172727121180365e-06,0.0,4.835640946935055e-07,3.518248874447173e-07,1.0489193642827368e-06
2040-01-01 09:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.179223333103139,2.477168400604188,0.6552177055292796,0.7437118477609151,2.8495359563595635,0.0462317671195223,4.458397965734868,0.1552647218134964,5.925978363013,14.16977735815374,3.4460204529530114,4.055664317881121,9.303279862320839,3.3387283532133135e-06,0.0,1.9344455198286567e-06,6.131194775141928e-08,4.641603294022167e-07,3.530785294483757e-07,1.021423876108349e-06
2040-01-01 12:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233329375277,2.4771684007080186,0.6552177023795022,0.7437114176958093,2.913544779351474,0.0462319556715622,4.455669880067768,0.1552647985641191,6.981266054782001,13.572067421005029,3.300668211170771,5.3674005566440925,8.614212638548892,2.198841361986044e-06,0.0,1.7248268968513568e-06,1.2829352551144089,4.608421831363275e-07,3.533228833671099e-07,1.0253337862500531e-06
2040-01-01 15:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233334696327,2.477168400069022,0.6552177010066721,0.743712452341605,3.197667795474551,0.0462315340291999,4.442482512541567,0.1552646397168617,7.976734030574,14.40082412812244,3.5022068542818867,2.03633777945104,9.923514122017666,7.0794725846867085e-06,0.0,2.1700557754044853e-06,0.0,4.560770747536619e-07,3.52157315904725e-07,1.0273102914394363e-06
2040-01-01 18:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.17922333367725,2.477168399794835,0.6552176986877757,0.7437122613539842,3.3053704467300733,0.0462316696250317,4.441825034772558,0.1552646821254016,3.6712938155464,14.245541648559197,3.464444969287993,1.8696193910101035,9.964638342370865,4.259405879474572e-06,0.0,2.034504783313406e-06,0.0,4.557843884576103e-07,3.51498388748481e-07,1.0288965323392724e-06
2040-01-01 21:00:00,3.33293024501954,0.23557372544599,0.0536529680365199,0.8042242257195091,2.253583391852,0.3607305936073058,6.76246716381324,6.929223744283,7.377853881278539,0.1702536780122392,0.3561643835616437,2.1792233337607803,2.477168399685738,0.6552177018281765,0.7437123420126532,3.550922618873349,0.0462315121284334,4.418497585747506,0.1552646716431651,1.4561038305600005,9.949642656859911,2.4197600377262365,1.6473934729274835,4.660866516357123,7.989825126377711e-06,3.64529703382601,2.192213888958114e-06,0.0,3.925481995102297e-07,3.515383215261618e-07,1.0187330145984756e-06
