country,sector,year,cfs
AL,Ammonia production,2023,0.6188021750863942
AL,Ammonia production,2030,0.2922790645447042
AL,Ammonia production,2035,0.3860958827723471
AL,Ammonia production,2040,0.3838869615522287
AL,Ammonia production,2045,0.1237825083301594
AL,Ammonia production,2050,0.1355404729547187
AL,Battery,2023,0.3061796720218901
AL,Battery,2030,0.1906196533117479
AL,Battery,2035,0.1633978261310233
AL,Battery,2040,0.2020354679056841
AL,Battery,2045,0.1967264822524609
AL,Battery,2050,0.2254061054919921
AL,Battery charging,2023,0.322292687340497
AL,Battery charging,2030,0.2117996035094802
AL,Battery charging,2035,0.1815531194204399
AL,Battery charging,2040,0.2244838280006138
AL,Battery charging,2045,0.2185849623583624
AL,Battery charging,2050,0.2504512110319252
AL,Biomass CHP,2023,0.9951973462427968
AL,Biomass CHP,2030,0.4747290684820673
AL,Biomass CHP,2035,0.4172195045783888
AL,Biomass CHP,2040,0.3759864253304411
AL,Biomass CHP,2045,0.3039841367082592
AL,Biomass CHP,2050,0.264639385667812
AL,Biomass CHP CC,2023,0.7847575635656179
AL,Biomass CHP CC,2030,0.3672202029217674
AL,Biomass CHP CC,2035,0.1421406819485677
AL,Biomass CHP CC,2040,0.1301471581381031
AL,Biomass CHP CC,2045,0.4269498272189341
AL,Biomass CHP CC,2050,0.4100754896186086
AL,Central heat production,2023,0.1816974074602157
AL,Central heat production,2030,0.2935550479802411
AL,Central heat production,2035,0.3691311963458337
AL,Central heat production,2040,0.4691998180010748
AL,Central heat production,2045,0.392921809541188
AL,Central heat production,2050,0.3414973354936599
AL,Compression losses,2023,0.0114089895255809
AL,Compression losses,2030,0.1465514560690851
AL,Compression losses,2035,0.137089700856904
AL,Compression losses,2040,0.1214156417111693
AL,Compression losses,2045,0.1199004762284364
AL,Compression losses,2050,0.0764196988267877
AL,Decentral heat production,2023,0.4825036375367267
AL,Decentral heat production,2030,0.6001761145936516
AL,Decentral heat production,2035,0.5912225660523696
AL,Decentral heat production,2040,0.5828153687210038
AL,Decentral heat production,2045,0.4864745677386559
AL,Decentral heat production,2050,0.4618926180820707
AL,Direct Air Carbon Capture,2030,0.2320954432571097
AL,Direct Air Carbon Capture,2035,0.1265024537216901
AL,Direct Air Carbon Capture,2040,0.0878766966070875
