config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213348991.2116,322242489570.48,358807638193.2436,410718620693.8693,532187289190.88477,683977188463.1702
prod_tot,Energy production,marginal,439114944477.1824,664895210041.6176,614082963172.7017,532841384592.521,405150522075.9707,305231881291.6194
prod_tot,Energy production,total,704328293468.394,987137699612.0975,972890601365.9453,943560005286.3904,937337811266.8555,989209069754.7896
sto_tot,Storage,capital,31916836236.032753,42939653308.68938,44403374713.133965,46375593144.78361,48079724433.05551,50224559109.99933
sto_tot,Storage,total,31916836236.032753,42939653308.68938,44403374713.133965,46375593144.78361,48079724433.05551,50224559109.99933
tran_tot,Transmission,capital,8056685674.100163,12995051197.801369,13178045254.194664,14215108289.863232,17717757554.64504,21652397387.014023
tran_tot,Transmission,marginal,16103043.50617081,636591126.5896088,604471165.2058636,592938488.6274585,1285219356.9972782,3957544556.328246
tran_tot,Transmission,total,8072788717.606335,13631642324.390978,13782516419.400528,14808046778.49069,19002976911.64232,25609941943.34227
distr_tot,Distribution,capital,23327248556.671806,39979377591.92419,41614451940.03586,45633177385.51285,52437640699.168655,55463967467.537254
distr_tot,Distribution,total,23327248556.671806,39979377591.92419,41614451940.03586,45633177385.51285,52437640699.168655,55463967467.537254
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388517071.92752,266235342745.3362,291210091517.14575,328252291100.3342,429616541312.5592,533639269547.61993
prod_eu27,Energy production,marginal,118291743275.92056,308096701840.4999,304393463799.4079,272240269480.34586,198762796697.04294,175856711217.30673
prod_eu27,Energy production,total,339680260347.8481,574332044585.836,595603555316.5537,600492560580.68,628379338009.6022,709495980764.9266
sto_eu27,Storage,capital,21880519605.787846,30065404777.325832,30649926781.05641,32793501278.918694,34147719900.121983,35399319441.2622
sto_eu27,Storage,total,21880519605.787846,30065404777.325832,30649926781.05641,32793501278.918694,34147719900.121983,35399319441.2622
distr_eu27,Distribution,capital,19078064611.083534,32381863936.83256,33708832450.521202,36614425032.96429,42316928437.08359,44938150110.2357
distr_eu27,Distribution,total,19078064611.083534,32381863936.83256,33708832450.521202,36614425032.96429,42316928437.08359,44938150110.2357
net_imp_eu27,Net_Imports,H2,0,-61601774.55071176,-154205153.83962518,-94758418.04172644,-49351464.51733035,1036550765.8745933
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1263139610.4385643,-1003123751.760046,-716686338.6451321,-1484016758.082758,-1814601477.103674
net_imp_eu27,Net_Imports,gas,363621985.20133233,-1599240299.626123,-1587001069.064153,-1553832641.380711,-829281703.4567366,-413697414.95378274
net_imp_eu27,Net_Imports,total,919873847.4494479,-2923981684.6153994,-2744329974.663824,-2365277398.0675697,-2362649926.0568247,-1191748126.1828635
prod_be,Energy production,capital,6593719327.20583,7309758178.599125,7382873378.400997,7275150205.717626,8938725759.555326,9870287278.63793
prod_be,Energy production,marginal,4569147178.391188,15975242481.59272,15944218131.076519,14602534887.71265,11499008541.470613,10496680641.670572
prod_be,Energy production,total,11162866505.597017,23285000660.191845,23327091509.477516,21877685093.430275,20437734301.02594,20366967920.308502
sto_be,Storage,capital,237109918.2919007,498651484.1894408,499509360.2120948,500473857.0563183,507211839.3840038,507266897.6444785
sto_be,Storage,total,237109918.2919007,498651484.1894408,499509360.2120948,500473857.0563183,507211839.3840038,507266897.6444785
distr_be,Distribution,capital,608214575.0188338,1140167581.6956582,1267433284.6139011,1396758146.6888165,1740141743.2380698,1830979102.2486248
distr_be,Distribution,total,608214575.0188338,1140167581.6956582,1267433284.6139011,1396758146.6888165,1740141743.2380698,1830979102.2486248
