config,cost_segment,capital,marginal
2023_tot,Distribution,23327248556.671806,0.0
2023_tot,Energy production,265213348991.2116,439114944477.1824
2023_tot,Storage,31916836236.032753,0.0
2023_tot,Transmission,8056685674.100163,16103043.50617081
2030_tot,Distribution,39979377591.92419,0.0
2030_tot,Energy production,322242489570.48,664895210041.6176
2030_tot,Storage,42939653308.68938,0.0
2030_tot,Transmission,12995051197.801369,636591126.5896088
2035_tot,Distribution,41614451940.03586,0.0
2035_tot,Energy production,358807638193.2436,614082963172.7017
2035_tot,Storage,44403374713.133965,0.0
2035_tot,Transmission,13178045254.194664,604471165.2058636
2040_tot,Distribution,45633177385.51285,0.0
2040_tot,Energy production,410718620693.8693,532841384592.521
2040_tot,Storage,46375593144.78361,0.0
2040_tot,Transmission,14215108289.863232,592938488.6274585
2045_tot,Distribution,52437640699.168655,0.0
2045_tot,Energy production,532187289190.88477,405150522075.9707
2045_tot,Storage,48079724433.05551,0.0
2045_tot,Transmission,17717757554.64504,1285219356.9972782
2050_tot,Distribution,55463967467.537254,0.0
2050_tot,Energy production,683977188463.1702,305231881291.6194
2050_tot,Storage,50224559109.99933,0.0
2050_tot,Transmission,21652397387.014023,3957544556.328246
2023_eu27,Distribution,19078064611.083534,0.0
2023_eu27,Energy production,221388517071.92752,118291743275.92056
2023_eu27,Storage,21880519605.787846,0.0
2030_eu27,Distribution,32381863936.83256,0.0
2030_eu27,Energy production,266235342745.3362,308096701840.4999
2030_eu27,Storage,30065404777.325832,0.0
2035_eu27,Distribution,33708832450.521202,0.0
2035_eu27,Energy production,291210091517.14575,304393463799.4079
2035_eu27,Storage,30649926781.05641,0.0
2040_eu27,Distribution,36614425032.96429,0.0
2040_eu27,Energy production,328252291100.3342,272240269480.34586
2040_eu27,Storage,32793501278.918694,0.0
2045_eu27,Distribution,42316928437.08359,0.0
2045_eu27,Energy production,429616541312.5592,198762796697.04294
2045_eu27,Storage,34147719900.121983,0.0
2050_eu27,Distribution,44938150110.2357,0.0
2050_eu27,Energy production,533639269547.61993,175856711217.30673
2050_eu27,Storage,35399319441.2622,0.0
2023_be,Distribution,608214575.0188338,0.0
2023_be,Energy production,6593719327.20583,4569147178.391188
2023_be,Storage,237109918.2919007,0.0
2030_be,Distribution,1140167581.6956582,0.0
2030_be,Energy production,7309758178.599125,15975242481.59272
2030_be,Storage,498651484.1894408,0.0
2035_be,Distribution,1267433284.6139011,0.0
2035_be,Energy production,7382873378.400997,15944218131.076519
2035_be,Storage,499509360.2120948,0.0
2040_be,Distribution,1396758146.6888165,0.0
