config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213344720.31,333171116390.18353,376940724937.96564,433779182827.072,548116837508.8983,665292783007.4607
prod_tot,Energy production,marginal,439114944534.28235,659141764512.1644,608372133302.6036,526006053916.18024,395560152248.5588,296274670226.70874
prod_tot,Energy production,total,704328289254.5923,992312880902.3479,985312858240.5693,959785236743.2522,943676989757.457,961567453234.1694
sto_tot,Storage,capital,31916838952.87238,42844063489.76143,43339335929.756996,45044030720.32823,47780704125.11754,50487942185.910034
sto_tot,Storage,total,31916838952.87238,42844063489.76143,43339335929.756996,45044030720.32823,47780704125.11754,50487942185.910034
tran_tot,Transmission,capital,8056685674.100163,13001737599.384148,13208192005.627548,14295199128.56375,17452439406.104908,23554580492.02351
tran_tot,Transmission,marginal,16103043.50617081,639290276.4023954,606497078.8600858,595965032.3602213,1269141669.5593028,4015468669.3068132
tran_tot,Transmission,total,8072788717.606335,13641027875.786543,13814689084.487635,14891164160.923971,18721581075.66421,27570049161.330322
distr_tot,Distribution,capital,23327248556.671806,40049804360.81433,41591557522.8531,45639715102.419556,51262457945.91625,55229746017.27842
distr_tot,Distribution,total,23327248556.671806,40049804360.81433,41591557522.8531,45639715102.419556,51262457945.91625,55229746017.27842
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388513415.10843,275927486626.9665,305139458612.0305,342974970076.92706,440622101335.025,527027455759.25464
prod_eu27,Energy production,marginal,118291743455.31963,304821173886.19226,304477281347.4909,279159251192.5037,209323164586.26846,170378623465.4446
prod_eu27,Energy production,total,339680256870.42804,580748660513.1587,609616739959.5215,622134221269.4308,649945265921.2935,697406079224.6992
sto_eu27,Storage,capital,21880521617.16254,30068153968.14644,30680530139.398373,32902071252.092808,34907227770.82164,36697009749.959045
sto_eu27,Storage,total,21880521617.16254,30068153968.14644,30680530139.398373,32902071252.092808,34907227770.82164,36697009749.959045
distr_eu27,Distribution,capital,19078064611.083534,32443768606.941204,33782113779.888474,36641553339.64962,41362794977.05286,44808191681.80993
distr_eu27,Distribution,total,19078064611.083534,32443768606.941204,33782113779.888474,36641553339.64962,41362794977.05286,44808191681.80993
net_imp_eu27,Net_Imports,H2,0,-74295882.36041398,-120345016.95608085,-135859230.72044873,-302201302.18246615,353872914.62218916
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1252412563.0574074,-1242662475.1942482,-617031549.1670666,-800851273.886879,-641091256.2557564
net_imp_eu27,Net_Imports,gas,363621985.20133185,-1581818754.9624405,-1498205767.5309968,-1462347696.638921,-876707409.9548806,-436318295.86586833
net_imp_eu27,Net_Imports,total,919873847.4494474,-2908527200.380262,-2861213259.681326,-2215238476.5264363,-1979759986.0242257,-723536637.4994355
prod_be,Energy production,capital,6593718977.996938,7471814780.407308,7600112334.17579,7332197926.8709,8791084630.978659,9708660627.36384
prod_be,Energy production,marginal,4569147266.153669,15894447481.086731,15933089091.62711,14663101454.229433,11871608687.766624,10486430253.139334
prod_be,Energy production,total,11162866244.150608,23366262261.494038,23533201425.8029,21995299381.100334,20662693318.745285,20195090880.503174
sto_be,Storage,capital,237110754.0317368,497172115.2814734,498157228.4904445,499274925.4664748,503616237.2731583,512973681.07924825
sto_be,Storage,total,237110754.0317368,497172115.2814734,498157228.4904445,499274925.4664748,503616237.2731583,512973681.07924825
distr_be,Distribution,capital,608214575.0188338,1144908860.8725095,1277850604.957039,1402512127.840505,1678869576.7091563,1836948423.8860857
distr_be,Distribution,total,608214575.0188338,1144908860.8725095,1277850604.957039,1402512127.840505,1678869576.7091563,1836948423.8860857
net_imp_be,Net_Imports,H2,0,8628420.096429523,459461.71463444084,917206.6090394482,333922343.62616843,1136153000.626233
net_imp_be,Net_Imports,elec,371033298.4967003,1684765280.4183283,2428428432.6340675,3385092165.912879,4455462720.069041,4403619964.137905
net_imp_be,Net_Imports,gas,-57607714.23764144,-234354157.1038087,-222357902.36984885,-172561209.6386627,-64176302.820801854,30348747.890924715
net_imp_be,Net_Imports,total,313425584.25905883,1459039543.4109492,2206529991.978853,3213448162.8832555,4725208760.874408,5570121712.655063
prod_fl,Energy production,capital,3286284030.0027666,5372085887.229621,5495970812.50839,5330160672.107085,6148159521.059603,6474348552.626356
prod_fl,Energy production,marginal,4316982808.098232,11892450745.902939,11938262931.809282,11127611587.012077,9291908833.831057,8230753982.687105
prod_fl,Energy production,total,7603266838.100999,17264536633.13256,17434233744.317673,16457772259.119164,15440068354.89066,14705102535.313461
sto_fl,Storage,capital,2229375.6092230906,175758188.83887845,176019557.68186647,176995824.82353082,178466693.17272145,182408249.45774713
sto_fl,Storage,total,2229375.6092230906,175758188.83887845,176019557.68186647,176995824.82353082,178466693.17272145,182408249.45774713
distr_fl,Distribution,capital,366959689.82068187,686494388.6079239,764636498.2083439,843343480.5981171,1001269446.5489953,1084814304.743171
distr_fl,Distribution,total,366959689.82068187,686494388.6079239,764636498.2083439,843343480.5981171,1001269446.5489953,1084814304.743171
net_imp_fl,Net_Imports,H2,0,-52319262.66234232,-70640475.78654379,-48625135.400528535,31142531.225509897,891948076.0780969
net_imp_fl,Net_Imports,elec,595353400.6658992,31551837.312983513,486838712.23940945,1053265684.1625233,1666597097.2309957,1729705813.2056956
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-929577628.3018113,-851472028.2743648,-702670644.5365046,-456629608.1633465,-230711084.53879717
net_imp_fl,Net_Imports,total,-413946989.9498975,-950345053.6511701,-435273791.82149917,301969904.2254901,1241110020.293159,2390942804.744995
prod_fr,Energy production,capital,57841793574.61108,61164988028.95535,66131871206.79061,76152255172.02028,106244436382.203,119246151244.9689
prod_fr,Energy production,marginal,13036926615.109493,46621595625.49194,47414882445.84283,43621222070.90113,30446618026.705902,22730115227.280758
prod_fr,Energy production,total,70878720189.72057,107786583654.4473,113546753652.63344,119773477242.92142,136691054408.9089,141976266472.24966
sto_fr,Storage,capital,2834271768.233366,3965210263.0908837,3969631963.314779,3977388628.8533897,4108683636.398187,4270715891.59044
sto_fr,Storage,total,2834271768.233366,3965210263.0908837,3969631963.314779,3977388628.8533897,4108683636.398187,4270715891.59044
distr_fr,Distribution,capital,3337457394.6765785,5515466256.68236,5725828654.24516,6305211349.042764,7170004016.851468,7769962783.119357
distr_fr,Distribution,total,3337457394.6765785,5515466256.68236,5725828654.24516,6305211349.042764,7170004016.851468,7769962783.119357
net_imp_fr,Net_Imports,H2,0,-25962254.132866368,-31286674.942922756,-109516586.61454752,-4379880616.886234,-3901439679.2928467
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8297922493.572218,-7676156157.044014,-7297451141.473157,-5405120076.80416,-5156448289.565767
net_imp_fr,Net_Imports,gas,-322795514.8513141,-724229459.9966261,-628406387.5869092,-549462669.8512099,-268761948.7518615,-200152071.7548163
net_imp_fr,Net_Imports,total,-6630472476.396571,-9048114207.70171,-8335849219.573846,-7956430397.938914,-10053762642.442257,-9258040040.61343
prod_de,Energy production,capital,43046386170.04551,57156890260.23161,58905706784.15044,57891021842.949715,70415345633.65686,76810455307.14163
