config,cost_segment,capital,marginal
2023_tot,Distribution,23327248556.671806,0.0
2023_tot,Energy production,265213344720.31,439114944534.28235
2023_tot,Storage,31916838952.87238,0.0
2023_tot,Transmission,8056685674.100163,16103043.50617081
2030_tot,Distribution,40049804360.81433,0.0
2030_tot,Energy production,333171116390.18353,659141764512.1644
2030_tot,Storage,42844063489.76143,0.0
2030_tot,Transmission,13001737599.384148,639290276.4023954
2035_tot,Distribution,41591557522.8531,0.0
2035_tot,Energy production,376940724937.96564,608372133302.6036
2035_tot,Storage,43339335929.756996,0.0
2035_tot,Transmission,13208192005.627548,606497078.8600858
2040_tot,Distribution,45639715102.419556,0.0
2040_tot,Energy production,433779182827.072,526006053916.18024
2040_tot,Storage,45044030720.32823,0.0
2040_tot,Transmission,14295199128.56375,595965032.3602213
2045_tot,Distribution,51262457945.91625,0.0
2045_tot,Energy production,548116837508.8983,395560152248.5588
2045_tot,Storage,47780704125.11754,0.0
2045_tot,Transmission,17452439406.104908,1269141669.5593028
2050_tot,Distribution,55229746017.27842,0.0
2050_tot,Energy production,665292783007.4607,296274670226.70874
2050_tot,Storage,50487942185.910034,0.0
2050_tot,Transmission,23554580492.02351,4015468669.3068132
2023_eu27,Distribution,19078064611.083534,0.0
2023_eu27,Energy production,221388513415.10843,118291743455.31963
2023_eu27,Storage,21880521617.16254,0.0
2030_eu27,Distribution,32443768606.941204,0.0
2030_eu27,Energy production,275927486626.9665,304821173886.19226
2030_eu27,Storage,30068153968.14644,0.0
2035_eu27,Distribution,33782113779.888474,0.0
2035_eu27,Energy production,305139458612.0305,304477281347.4909
2035_eu27,Storage,30680530139.398373,0.0
2040_eu27,Distribution,36641553339.64962,0.0
2040_eu27,Energy production,342974970076.92706,279159251192.5037
2040_eu27,Storage,32902071252.092808,0.0
2045_eu27,Distribution,41362794977.05286,0.0
2045_eu27,Energy production,440622101335.025,209323164586.26846
2045_eu27,Storage,34907227770.82164,0.0
2050_eu27,Distribution,44808191681.80993,0.0
2050_eu27,Energy production,527027455759.25464,170378623465.4446
2050_eu27,Storage,36697009749.959045,0.0
2023_be,Distribution,608214575.0188338,0.0
2023_be,Energy production,6593718977.996938,4569147266.153669
2023_be,Storage,237110754.0317368,0.0
2030_be,Distribution,1144908860.8725095,0.0
2030_be,Energy production,7471814780.407308,15894447481.086731
2030_be,Storage,497172115.2814734,0.0
2035_be,Distribution,1277850604.957039,0.0
2035_be,Energy production,7600112334.17579,15933089091.62711
2035_be,Storage,498157228.4904445,0.0
2040_be,Distribution,1402512127.840505,0.0
2040_be,Energy production,7332197926.8709,14663101454.229433
2040_be,Storage,499274925.4664748,0.0
2045_be,Distribution,1678869576.7091563,0.0
2045_be,Energy production,8791084630.978659,11871608687.766624
2045_be,Storage,503616237.2731583,0.0
2050_be,Distribution,1836948423.8860857,0.0
2050_be,Energy production,9708660627.36384,10486430253.139334
2050_be,Storage,512973681.07924825,0.0
2023_fl,Distribution,366959689.82068187,0.0
2023_fl,Energy production,3286284030.0027666,4316982808.098232
2023_fl,Storage,2229375.6092230906,0.0
2030_fl,Distribution,686494388.6079239,0.0
2030_fl,Energy production,5372085887.229621,11892450745.902939
2030_fl,Storage,175758188.83887845,0.0
2035_fl,Distribution,764636498.2083439,0.0
2035_fl,Energy production,5495970812.50839,11938262931.809282
2035_fl,Storage,176019557.68186647,0.0
2040_fl,Distribution,843343480.5981171,0.0
2040_fl,Energy production,5330160672.107085,11127611587.012077
2040_fl,Storage,176995824.82353082,0.0
2045_fl,Distribution,1001269446.5489953,0.0
2045_fl,Energy production,6148159521.059603,9291908833.831057
2045_fl,Storage,178466693.17272145,0.0
2050_fl,Distribution,1084814304.743171,0.0
2050_fl,Energy production,6474348552.626356,8230753982.687105
2050_fl,Storage,182408249.45774713,0.0
2023_fr,Distribution,3337457394.6765785,0.0
2023_fr,Energy production,57841793574.61108,13036926615.109493
2023_fr,Storage,2834271768.233366,0.0
2030_fr,Distribution,5515466256.68236,0.0
2030_fr,Energy production,61164988028.95535,46621595625.49194
2030_fr,Storage,3965210263.0908837,0.0
2035_fr,Distribution,5725828654.24516,0.0
2035_fr,Energy production,66131871206.79061,47414882445.84283
2035_fr,Storage,3969631963.314779,0.0
2040_fr,Distribution,6305211349.042764,0.0
2040_fr,Energy production,76152255172.02028,43621222070.90113
2040_fr,Storage,3977388628.8533897,0.0
2045_fr,Distribution,7170004016.851468,0.0
2045_fr,Energy production,106244436382.203,30446618026.705902
2045_fr,Storage,4108683636.398187,0.0
2050_fr,Distribution,7769962783.119357,0.0
2050_fr,Energy production,119246151244.9689,22730115227.280758
2050_fr,Storage,4270715891.59044,0.0
2023_de,Distribution,3622817850.951034,0.0
2023_de,Energy production,43046386170.04551,29341878339.312733
2023_de,Storage,1883801574.676827,0.0
2030_de,Distribution,6863211982.995934,0.0
2030_de,Energy production,57156890260.23161,66695926556.482666
2030_de,Storage,3542322951.2688246,0.0
2035_de,Distribution,7146634241.490759,0.0
2035_de,Energy production,58905706784.15044,67737629840.936005
2035_de,Storage,3547935736.5426326,0.0
2040_de,Distribution,7878873900.08014,0.0
2040_de,Energy production,57891021842.949715,61977141512.768814
2040_de,Storage,3555268987.316097,0.0
