country,sector,year,Curtailment,Available
AL,Hydroelectricity,2023,0.6923744995893453,163901.12375853054
AL,Hydroelectricity,2030,3.373115379305548,163901.12375853054
AL,Hydroelectricity,2035,6.056420439841174,163901.12375853054
AL,Hydroelectricity,2040,76.62393462793803,163901.12375853054
AL,Hydroelectricity,2045,37.38177483532227,163901.12375853054
AL,Hydroelectricity,2050,12.445034098472426,163901.12375853054
AL,Offwind,2023,0.0,0.0
AL,Offwind,2030,0.2972301372968172,1.0833142686929669
AL,Offwind,2035,0.2521397973955337,1.6008907391053635
AL,Offwind,2040,0.3362673019616103,2.238274260460567
AL,Offwind,2045,0.2648478962941061,2.673650419996947
AL,Offwind,2050,0.2193843952554621,3.1255788741742663
AL,Onwind,2023,0.0,0.0
AL,Onwind,2030,0.0824545383151295,0.2002891102603956
AL,Onwind,2035,0.1125683271009348,0.3078024411645465
AL,Onwind,2040,0.1632587482462503,0.4424530696405424
AL,Onwind,2045,0.1123352490122009,0.5201499805562553
AL,Onwind,2050,0.0803274812620382,0.5856971057203164
AL,Solar,2023,0.4359494007508483,212977.126361952
AL,Solar,2030,1888.417676995636,3207780.6033278587
AL,Solar,2035,4024.319099746271,3614469.0244144863
AL,Solar,2040,17627.644841555648,4470268.014540273
AL,Solar,2045,149648.89845860164,7141764.924147329
AL,Solar,2050,126617.50616871328,7141767.483344672
AT,Hydroelectricity,2023,1.4473345702297706,21868120.08253126
AT,Hydroelectricity,2030,1.0070788268309556,21868120.08253126
AT,Hydroelectricity,2035,2.1649897846910733,21868120.08253126
AT,Hydroelectricity,2040,8.540278541387707,21868120.08253126
AT,Hydroelectricity,2045,18.467084863721816,21868120.08253126
AT,Hydroelectricity,2050,16.78907715295383,21868120.08253126
AT,Onwind,2023,1.1054368627045903,2296392.2594533027
AT,Onwind,2030,1.9580026772156365,2267525.384331143
AT,Onwind,2035,1.4422685324396638,2267526.6976376157
AT,Onwind,2040,2.346924153036146,1819929.4705090895
AT,Onwind,2045,7.810220277213436,1709876.420280887
AT,Onwind,2050,4.087687416100471,859450.6550565247
AT,Solar,2023,0.7350721280709013,7153607.321427452
AT,Solar,2030,8.470872109045784,9725640.87132179
AT,Solar,2035,12413.659478088706,17526648.65588642
AT,Solar,2040,86340.10884960796,25336107.973124996
AT,Solar,2045,111324.05802617793,25336111.65815106
AT,Solar,2050,93714.16355985944,25313081.9817436
BA,Onwind,2023,0.3963295864577649,50004.60746486551
BA,Onwind,2030,0.8128814226580217,50005.06223693137
BA,Onwind,2035,0.6408508848357675,50005.29764131456
BA,Onwind,2040,0.608037933940894,50005.61658101555
BA,Onwind,2045,4.357879083843392,50005.80036637904
BA,Onwind,2050,3.673314288503943,50005.95444089247
BA,Solar,2023,0.3928888379232764,144759.97847398568
BA,Solar,2030,13.063486583482913,1754736.269585429
BA,Solar,2035,259.40575803462315,4437888.731136752
BA,Solar,2040,4328.897962040425,5966869.578515991
BA,Solar,2045,26339.134593187195,6411230.91015232
BA,Solar,2050,128020.17384727,9520500.420494242
BE,Hydroelectricity,2023,0.9425035072280694,323968.5254147717
BE,Hydroelectricity,2030,0.1298901864822242,323968.5254147717
BE,Hydroelectricity,2035,0.0658598031630467,323968.5254147717
BE,Hydroelectricity,2040,0.0378836995038346,323968.5254147717
BE,Hydroelectricity,2045,328.5195357928947,323968.5254147717
BE,Hydroelectricity,2050,375.8482367319598,323968.5254147717
BE,Offwind,2023,1.4847127574457004,7739554.770891165
BE,Offwind,2030,8.304308432698832,38150436.60345173
BE,Offwind,2035,1.038827833534172,38150439.423158675
BE,Offwind,2040,2.082255656170073,38150439.42513896
BE,Offwind,2045,361.39592110767705,38152195.25644875
BE,Offwind,2050,875.702524392901,38156801.147878096
BE,Onwind,2023,3.541583175204291,8354545.186157757
BE,Onwind,2030,36.56806721611,11245069.573135048
BE,Onwind,2035,14.00396847474514,11245107.325490508
BE,Onwind,2040,46.1908642929239,11269751.141614351
BE,Onwind,2045,3808.5424507028647,11284317.461373448
BE,Onwind,2050,9595.280329579187,21552067.861228406
BE,Solar,2023,2.153739840311528,9536665.918867365
BE,Solar,2030,2078.8188900986606,9536852.167177765
BE,Solar,2035,3791.6609859481127,11244464.889913129
BE,Solar,2040,80340.7297076529,24020355.632057987
BE,Solar,2045,598883.4439698737,30627647.390238643
BE,Solar,2050,799785.6927512006,30627671.56442586
BG,Hydroelectricity,2023,0.7170462249423648,216708.41938748528
