snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
carrier,Oil,Electricity,Methanol,Centralized heat,Oil,Ammonia,Methanol,Electricity,Decentralized heat,Oil,Hydrogen,Methane,CO2 emissions,Solid biomass,Solid biomass,CO2 emissions,Solid biomass,Electricity,Methane,Electricity,Hydrogen,Electricity,CO2 captured,CO2 captured,Electricity,Electricity,CO2 emissions,Centralized heat,Hydrogen,Oil,Electricity,Centralized heat,Decentralized heat,Oil,Solid biomass,CO2 emissions,Centralized heat,Methanol,Electricity,Electricity,Electricity,Hydrogen,Hydrogen,Ammonia,Solid biomass,Ammonia,Solid biomass,Methane,Electricity,Methane,Methane,Decentralized heat,Methane,Oil
sector,Industry,Industry,Shipping,Industry,Aviation,Industry,Industry,Agriculture,Agriculture,Agriculture,Industry,Industry CC,Industry emissions,Industry CC,Solid biomass methanation,Solid biomass methanation emissions,Industry,Residual electricity consumption,Storage,Compression losses,Methanol production,Methanol production,Methanol production,CO2 sequestration,Hydrogen production,Direct Air Carbon Capture,Direct Air Carbon Capture,Direct Air Carbon Capture,Transport,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Central CHP production CC,Central heat production emissions,Storage charging,Storage,Transport,Hydroelectricity,Ammonia production,Ammonia production,Storage,Hydrogen production,Decentral heat production,Storage,Central CHP production,Central CHP production CC,Battery charging,Decentral heat production,Hydrogen production CC,Storage charging,Power supply,Decentral heat production
2050-01-01 00:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329751987344,29.891922875406017,85.80633413894422,1.5063059925830995,0.5179668881009678,2.9797787275869663,145.52677870537065,28.711632693668243,1.4342571394683035,167.5656693421965,39.89485833337526,36.51693996949185,17.948184594585037,481.2051261163468,0.2975831582131654,0.541060287660301,0.7574785798670121,10.49407700443857,11.1912359662694,154.7636815436125,102.31129903508088,304.37799774369546,51.80897744512558,3.645313591455192,1.2698992266495563,58.67926811293923,29.754265470266343,83.76760740235133,12.461341913714072,8.211906897829465,38.134063410705046,121.14572357129,6.404380465127789,29.588611198876084,16.26762810722785,21.870940765700087,13.21686765481754,0.42564229262953185,23.25260289597749,0.2673189767932866,12.483321523872933,2.148060848380574e-05,3.026055278246869e-06
2050-01-01 03:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832975250936,29.89192287408947,85.8063341350266,1.5063058818566053,0.5179668636748855,2.979778730988057,111.0974639135748,,1.3523710574866825,169.9119097221736,40.453462777487715,37.02824708535848,18.353233721677185,454.88945209105714,0.2975825241580342,0.5410591348327896,0.7574776815385889,49.47951588710317,52.76661659289051,262.8352137391597,162.14473738377845,484.59430947347295,10.430743952095508,5.163382460041776,1.7987412396506006,28.740188298087286,31.81590689253807,27.174798570726225,0.0,8.388752782829139,38.95529193611395,60.474174563791394,6.40438991239154,39.01582892613089,16.982725352094974,37.73067698214752,13.21688111431839,0.08924046724623798,98.10275491004188,0.8967085663685026,7.963138228528516,2.1965294781015838e-05,3.466316565470639e-06
2050-01-01 06:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832974769152,29.8919228362575,85.80633402480915,1.5063058052826974,0.5179668460083665,2.9797788300797876,111.72604918204428,,1.3158152515411328,171.6893976337375,40.8766558378533,37.41560816963001,18.80248969978346,410.04789284946173,0.2975819712072863,0.5410581294677933,0.7574770626301724,107.09118828603955,114.2056378575708,280.0104316722096,171.35201203266334,509.92333806579256,,5.163382882327029,1.7987413835866168,19.10116287042078,33.37778552007675,68.60608984940757,0.5888940707171433,8.313348071941464,38.605131119359385,,6.40439876747945,39.52295604376553,16.677804605042795,36.81249586780912,13.21688130755713,2.1085949368749315,106.65467766419698,3.385352880981605,0.0001142052078168,1.9675497772698017e-05,0.2460556205928185
2050-01-01 09:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832974673837,29.891922826315184,85.8063339958285,1.5063057682535823,0.5179668377967906,2.9797788563497916,141.1766469496965,,1.3606358981379136,167.8151520169328,39.95425639506838,36.57130876646881,18.540737255359048,453.2271043264956,0.2975820163091629,0.5410582114712054,0.7574770335789682,87.98268826503305,93.8276920307929,268.9738241630343,152.27298994847965,453.26404227456794,0.0,5.163379542365865,1.7987402498089649,24.563785100732105,29.97348589646816,196.95395913751452,7.739688356901689,8.095935292173332,37.59551997384495,25.187804941888302,6.404397769353079,33.02653518393552,15.798659708448454,25.74500628397652,13.216870994407287,51.27617751323706,59.925343616840806,1.9089954641831255,3.2393040842920886,1.1511215911664418e-05,3.2548919360693893e-06
2050-01-01 12:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329745546466,29.891922818566957,85.80633397330529,1.5063057373205446,0.5179668287438678,2.979778876799157,148.57016761478343,0.222715355272915,1.3000897192478842,166.548829208716,39.652764035467186,36.295343921455014,18.710554662235197,443.5980443626399,0.297581622419558,0.5410574953082872,0.7574765651062557,101.36452829730788,108.0985354219116,252.72735802302105,146.07832983138096,435.2198158813675,0.0,5.1633797278034965,1.7987403058985718,27.723202895826773,28.860768045186997,128.17582889312294,6.484660479088314,7.996574726123854,37.13411409413924,6.956275509273379,6.4043982359705875,32.55923791032235,15.39687773735542,28.81590940536036,13.216870427742098,40.60638875119288,49.9690967825793,2.849296741878451,9.461131214568631,1.4202080193057304e-05,3.2555289641535e-06
2050-01-01 15:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329744222888,29.89192280469125,85.80633393281505,1.5063057345279307,0.5179668270282685,2.979778912857006,167.74688025942524,,1.315316700066068,162.7503107641179,38.748394090126645,35.46754744883074,19.901074604663147,401.3582160116045,0.2975814269822414,0.5410571399677117,0.7574763513550596,115.01809565768102,122.65915795657216,237.3994198325331,154.8136467209763,461.78525908749657,,5.163383430081592,1.7987415667788584,15.888393339006724,25.523009887814524,30.18454192192375,0.0,5.207625502071734,24.182924086450377,,6.404403336058412,38.4233836571161,4.1192777159630785,50.95933579012688,13.21689094053186,4.053368908785878e-05,76.22366386661324,3.0543030864520455,1.076024934071238e-05,2.5760341395644963e-05,0.685939389362165
2050-01-01 18:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329744031144,29.8919228020085,85.80633392497337,1.5063057360833336,0.517966826598186,2.9797789200096445,172.3791363858398,,1.3144394873741432,162.0848431349245,38.58995628543587,35.32252465530571,19.44156776428145,389.36856238237647,0.2975814574730749,0.5410571954055908,0.757476228250208,55.440254173041545,59.123347981732906,246.2842753492413,154.00179128611774,458.5928891243856,4.144816175401211,5.163383688288421,1.7987416552977578,15.054828119247066,24.9382634819746,9.340438528200831,,5.943758147301154,27.6013419181587,25.53592433369242,6.404397010822107,38.34497994240132,7.095962752149208,51.798595927503015,13.21688787517988,0.31223247180641145,75.6641000415685,0.391730870189079,1.2730290604608936e-05,2.5367110621410913e-05,3.393234368789142e-06
2050-01-01 21:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329742577022,29.89192277759933,85.80633385384712,1.5063056838583575,0.5179668076120028,2.9797789839116517,161.62953418916422,25.1501623498975,1.3285338517464453,152.7902868111412,36.37706262252412,33.29699784751117,19.98402558637213,351.90219565596095,0.2975819272559077,0.5410580495561959,0.7574773685532841,21.929268443493346,23.386107955481,163.7226491851154,109.43886465983678,324.4140486951392,39.82114447116851,5.1633798072077255,1.798740326477577,27.37196597428421,16.771136840224266,69.5087005626647,,4.862915668565798,22.582176925923832,46.12289954690733,6.404391553791726,31.62748603607268,2.725396115634823,28.400439610871384,13.216870990581782,1.143953421354665,26.825859586910916,0.3951700738818778,2.9940751409025115,2.5408654258524817e-05,3.220845190919486e-06
