countries,carrier,2023,2023_std,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
AL,gas,20.96019335143736,0.9035008140458984,28.77341263403085,1.496617844872894,28.21161963622401,0.8503827206603217,28.006612521801475,0.8216891799466961,27.76534547677375,0.2674653487690376,27.751296325500565,0.2730791322027995
AT,gas,20.852386255614885,6.651675768114089e-07,29.354759353866104,4.0310507020484646e-08,28.542779086808743,2.1597175692059541e-07,28.087838538945185,3.3742830234087374e-08,26.646166672479275,5.5183965729126105e-08,26.560317605299915,2.5185254721547933e-08
BA,gas,21.09114401527548,0.7535499940245514,29.286727614592326,1.433979743012641,28.575995957873268,0.513738352535931,28.175333495901523,0.0463002707571508,28.0814951774639,0.101718570710568,27.900007431985262,0.1012209149377217
BG,gas,20.099999082685976,5.024792568955116e-07,24.99999930610936,6.712602456108547e-08,24.99999723050273,3.3206844670509453e-07,24.99999821318278,1.8845137220315198e-07,24.999997719380396,1.635390979760884e-07,24.99999341419442,1.650917130787191e-07
BX,gas,20.15370629609641,0.0535042101311588,26.279105477654632,0.016074842094791,26.276495244187306,0.0194111862857706,26.27662941866898,0.0260769097143729,26.2763738180085,0.0343338250177579,26.27669097227285,0.0350980638693305
CH,gas,21.01068020166085,0.910378830136559,30.382651820932903,1.6497394065203674,29.46955436885757,1.383717511003209,28.881644816996747,1.3013365096947802,27.944199390617396,1.45341897940135,27.931023137280572,1.0403814759044845
CZ,gas,20.68002375022467,3.282191646567377e-07,27.10218210756535,6.477989826598239e-08,26.89460405647787,2.792876681243209e-07,26.63376305462383,1.1791274676206346e-07,26.560383810231336,1.2567525238319713e-07,26.50266325277496,7.428546090080921e-08
DE,gas,20.100000008262676,1.6331442828500493e-08,24.999999988830695,6.830551328556494e-09,24.999999966824493,1.8591016633492063e-08,24.999999972547965,1.3332258203353224e-08,24.999999952658996,1.1428353295929737e-08,24.99999991328142,1.357867906662326e-08
DK,gas,20.58526741459282,0.0178500343119359,26.30466178652256,0.1395025586747282,26.634368500370535,0.0156888105080059,25.673981802255135,4.817261663582842e-07,25.62000424048281,2.770644861866587e-07,25.68197751330171,2.13921482092576e-07
EE,gas,20.09998968482411,1.0092589780684788e-05,24.999991331949342,5.043818605283886e-06,24.99999254523215,2.569246939711607e-06,24.999995019180165,1.8683455078272731e-06,24.99998794483693,1.1824920897459894e-05,21.91554629676125,0.8625196005690241
ES,gas,20.367494412916137,0.0794040354952195,25.77587526488023,0.0900472413167829,25.77662689456706,0.1385497090717439,25.801522634632057,0.1153835232470821,25.74740836309265,0.1309009924491892,25.71107910078736,0.1241029967883642
FI,gas,20.14770172452032,0.3795502840026868,26.103270199886484,1.5091864821310832,26.24907061489266,1.5835064446254448,25.7285224576839,1.4179381340763766,25.03104543542187,0.3275857093865414,24.322276864814203,0.9014310330645788
FL,gas,20.10163802736741,0.0079806120567804,24.999999937088223,6.709007953651793e-08,24.999999709198303,2.731619799240962e-07,24.99999977847152,2.048799366393097e-07,24.99999944843413,3.66478723990068e-07,24.999998573733713,8.912147941188034e-07
FR,gas,20.10000003908636,4.5992239165353424e-08,24.999999998150216,1.5310217686782224e-08,25.00000000398123,3.386418658303189e-08,25.00000000645912,1.6708800390384912e-08,24.99999994592599,7.563722282238468e-09,24.999999768290085,1.0507599652928108e-08
GB,gas,20.31987111932864,2.02711003741683e-06,25.881389302779024,4.602787325492972e-07,25.9017492902301,8.206882098881198e-07,25.96144471363209,2.397581745810726e-07,25.723962415499138,1.5741644796973744e-07,25.680692227141797,4.8823974152822445e-08
GR,gas,20.09999978609781,9.330903910085015e-08,24.99999960742199,1.810874957705932e-07,24.999998357877963,7.196920384468704e-07,24.99999908125404,4.095972299014214e-07,24.999998540789957,6.532402798461843e-07,24.99999826664947,5.87036367725832e-07
HR,gas,20.879693525306873,0.34762640495492,27.587594357215668,1.0326725194767357,27.17599406246843,0.4922011229421631,26.803943243133823,4.459556894940646e-06,26.727578454274283,0.020447623566363,26.556002111348853,9.98883217647339e-07
HU,gas,20.14202946855809,1.9920491186371126e-06,24.99999994785522,3.834185001613012e-09,24.99999976038604,1.38227511769661e-08,24.99999986073456,7.2591197622624554e-09,24.999999668310124,4.412334736502459e-09,24.99999916593182,5.183627702893334e-09
IE,gas,20.099999837631735,1.2177963823491996e-07,24.9999998355774,4.606335226340857e-08,24.99999924287824,1.3923099714648744e-07,24.99999969747533,5.6456076237924776e-08,24.999999506057687,6.693727036796645e-08,24.9999981317263,1.0419239508796697e-07
IT,gas,20.09999912264596,1.1556046646754785e-06,24.999999466775893,5.774457012263181e-07,24.99999778908,2.152298707370829e-06,24.99999811381744,1.7947625537110833e-06,24.99999621164207,2.226839728581574e-06,24.99998267709843,9.68758017194958e-06
LT,gas,20.099999221145033,3.402643048426984e-07,24.999998797780936,5.334369046712705e-07,24.999995832062357,1.4701286113209256e-06,24.99999758871507,7.652590087431872e-07,24.999995295589606,6.086095763795671e-06,19.34659527919524,1.113694981064682
LU,gas,20.37526539205401,0.0995614579269106,28.060727477545,0.8684417233622167,27.66367395496705,0.9573947859145264,27.44665746347099,0.8507330436868744,26.990626985817084,0.7960535958157035,26.793645421535988,0.6709949458308486
LV,gas,20.10000016994419,5.7063081014470554e-08,24.999997460304687,1.4123068819389908e-08,24.9999901151028,1.3379142912539464e-08,24.999991426436004,3.4837089876986806e-09,24.999975463310907,2.568218319084816e-09,19.833564479358312,1.5119617812860676e-08
ME,gas,20.693860726191264,0.8513464950321189,29.216295600635217,1.7113114814154249,28.96990856426035,1.6943438398165858,28.535730161515072,1.2970849758521878,27.661234317503013,0.4055804379974898,26.41942472819685,0.134605751582059
MK,gas,20.66060793589077,0.8809687889120406,27.087036782642873,1.1354041646633513,26.69741593546836,0.7157794546310398,26.670030103402937,0.7827391410864087,26.439270756705785,0.1769854989718512,26.420423958410563,0.1829545547034298
NL,gas,20.10000000762087,4.781365485080019e-09,24.99999997045313,4.950715801974481e-09,24.999999860567545,1.69532951447271e-08,24.99999989082936,5.758754408354962e-09,24.99999974606388,3.926516992977534e-09,24.9999994785167,2.289656647584911e-09
NO,gas,20.099999822868572,1.1458341136026076e-07,24.99999997104184,6.069788528872397e-09,24.999999862794475,1.5398091309622696e-08,24.999999928741023,8.893435037491522e-09,24.99999992145012,1.511816176224175e-08,24.99999783228458,4.6158410332802186e-07
PL,gas,20.96047627110432,2.9119501758743216e-07,25.000000229977143,4.06831925321792e-08,25.000000305103487,1.546590729280386e-07,25.000000101807213,2.0887300269700793e-08,24.99999991846155,1.2902205223539042e-08,24.99999978274553,7.995241918566543e-09
PT,gas,20.100000302052862,2.6602760455185514e-07,24.99999958691859,1.6429655264439534e-07,24.999998478205143,4.997222688129688e-07,24.999999134312173,1.1668177667968889e-07,24.999996773195186,1.3485714431394484e-07,24.999995411926967,4.2491003369875416e-08
