country,sector,2023,2030,2035,2040,2045,2050
AL,Battery,9.450252059632152e-06,0.0970072901183291,0.1175541651375527,0.1323949516866512,1.0927114048316209,1.1571158275987126
AL,Biomass CHP,0.0058235239455475,0.0239187379937426,0.0309061657785023,0.0371075516610161,0.043760116243698,0.0486931779923703
AL,Biomass CHP CC,4.01457098741575e-07,1.9982255650410587e-07,2.798402241450211e-07,3.698094565945006e-07,4.632041816347318e-07,7.048883218255864e-07
AL,Gas,2.041648072301439e-06,3.1747488473113563e-06,4.467142579809048e-06,5.933765115597231e-06,6.475947819397617e-06,6.976384048196693e-06
AL,Gas CHP,2.564079237271384e-06,1.3320281437115748e-06,1.9688234052905787e-06,2.7210647606662585e-06,2.9799956286900757e-06,3.236835659284132e-06
AL,Gas CHP CC,7.617727021498146e-07,5.90573748177794e-07,8.363476181837113e-07,1.1236480969021715e-06,1.276226187970109e-06,1.4133703121881791e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Oil,0.0898545430580946,0.0898556639482889,0.0898561972582594,0.0898568447350133,0.0898570835391991,0.0898573139414641
AL,Solar,0.162,2.439982483639846,2.749328023893148,3.400287301861624,5.432348240747777,5.4323501873886055
AT,Battery,9.460212442736072e-06,9.781038669932895e-06,1.58837075589816e-05,3.039141183635894e-05,3.797785182841633e-05,3.635482178517521e-05
AT,Biomass CHP,0.7656783414817673,1.016311724007663,1.0163129045231212,1.016313733010207,1.0163179530980342,1.0163182774312705
AT,Biomass CHP CC,6.754371452091579e-07,1.986857091091891e-07,2.772034571322258e-07,3.663387273659044e-07,5.163179012904993e-07,0.0264646810994149
AT,Gas,2.8192019991121273,2.8192030919989,2.8192044051193896,1.317005904734099,0.8380065173266023,0.8380070652793238
AT,Gas CHP,2.4935002580471486e-06,1.3978993069347517e-06,2.0673803622634993e-06,2.836203656502865e-06,3.127733875573564e-06,3.410488585033296e-06
AT,Gas CHP CC,7.691716893049073e-07,7.18701210055552e-07,9.772505199035518e-07,1.2894452515033756e-06,1.5417590617754778e-06,1.717674686957506e-06
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Onwind,3.977236,3.9272385230656535,3.927239892479665,3.1520227016108677,2.96141511964242,1.4885187832727629
AT,Solar,6.832686,9.280547038358018,16.704831920407432,24.09386903783412,24.09387255044367,24.07187602144177
BA,Battery,9.357215647184516e-06,2.3720901831833007e-05,0.0479671044663609,0.1050449693264051,0.4059416311664892,1.2286086778596266
BA,Biomass CHP,0.010811687042406,0.0481052367864314,0.0626291646761615,0.0767917009819438,0.0889050080290312,0.0994503149377244
BA,Biomass CHP CC,4.211686971647647e-07,1.9998297149679777e-07,2.79843218175978e-07,3.700414888754072e-07,4.595787892099102e-07,8.202586452551796e-07
BA,Coal/Lignite,0.838,0.5690008572246686,0.3000011951636966,0.3000015727244421,0.3000017190866264,0.3000018472595223
BA,Gas,2.072056887694809e-06,3.1482282018362116e-06,4.4366839066013545e-06,5.909172058223406e-06,6.461894651409292e-06,6.973167509611407e-06
BA,Gas CHP,2.867635377043991e-06,1.3059153738181318e-06,1.939311923980367e-06,2.69352306463868e-06,2.96270228896257e-06,3.2365431198880256e-06
BA,Gas CHP CC,7.790094889209469e-07,5.972902792909278e-07,8.457383995835067e-07,1.1353981169819563e-06,1.314081339318624e-06,1.4741171730968615e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Onwind,0.1347,0.1347012170911276,0.1347018435485304,0.1347026992449101,0.1347031922797582,0.1347036056209516
BA,Solar,0.1237199999999999,1.4583266707478115,3.6825532229281177,4.950017650474906,5.318382324776977,8.060745984121981
BE,Battery,2.87850059053628e-05,2.7715983553436553e-05,4.430973901136841e-05,8.15401481413046e-05,0.0685646431364759,0.1863616916274468
