config,cost_segment,capital,marginal
2023_tot,Distribution,23327248556.671806,0.0
2023_tot,Energy production,265213344315.1393,439114944326.5036
2023_tot,Storage,31916838651.33498,0.0
2023_tot,Transmission,8056685674.100163,16103043.50617081
2030_tot,Distribution,40050056487.183075,0.0
2030_tot,Energy production,333169760158.50433,659146150660.2592
2030_tot,Storage,42719438996.37987,0.0
2030_tot,Transmission,13001369225.55859,639266270.1962216
2035_tot,Distribution,41590119493.413086,0.0
2035_tot,Energy production,376945263633.227,608373710942.3052
2035_tot,Storage,45127304565.35634,0.0
2035_tot,Transmission,13203618172.575554,606873996.186625
2040_tot,Distribution,45641136721.78036,0.0
2040_tot,Energy production,433782338842.27985,525995536897.375
2040_tot,Storage,45603109561.68997,0.0
2040_tot,Transmission,14292716576.323854,597586100.365519
2045_tot,Distribution,51263912515.62435,0.0
2045_tot,Energy production,548108452819.07947,395568449898.613
2045_tot,Storage,48706083045.21505,0.0
2045_tot,Transmission,17442141405.26053,1265697425.228032
2050_tot,Distribution,55177234983.78268,0.0
2050_tot,Energy production,663966726043.7194,297828262511.67773
2050_tot,Storage,51310330684.50612,0.0
2050_tot,Transmission,23358762867.52087,3987679822.2135563
2023_eu27,Distribution,19078064611.083534,0.0
2023_eu27,Energy production,221388513570.6374,118291743455.31963
2023_eu27,Storage,21880521617.16254,0.0
2030_eu27,Distribution,32443983476.63348,0.0
2030_eu27,Energy production,275928691811.4653,304820437975.0051
2030_eu27,Storage,30068492361.426033,0.0
2035_eu27,Distribution,33780532286.65237,0.0
2035_eu27,Energy production,305148039629.41125,304479728769.91626
2035_eu27,Storage,30681087137.655247,0.0
2040_eu27,Distribution,36642713089.09734,0.0
2040_eu27,Energy production,343012108005.2391,279184164892.6084
2040_eu27,Storage,32896913529.00465,0.0
2045_eu27,Distribution,41364631108.597694,0.0
2045_eu27,Energy production,440643259258.92664,209368333633.8019
2045_eu27,Storage,34911296125.70467,0.0
2050_eu27,Distribution,44785141729.20739,0.0
2050_eu27,Energy production,526147275698.72314,171832560469.0315
2050_eu27,Storage,36664018032.134155,0.0
2023_be,Distribution,608214575.0188338,0.0
2023_be,Energy production,6593718977.996938,4569147266.153669
2023_be,Storage,237110754.0317368,0.0
2030_be,Distribution,1144918039.914452,0.0
2030_be,Energy production,7470080392.281745,15899260353.232779
2030_be,Storage,496029145.18577623,0.0
2035_be,Distribution,1277838356.4684925,0.0
2035_be,Energy production,7598525094.814272,15938132004.877628
2035_be,Storage,497009619.21080154,0.0
2040_be,Distribution,1402459552.8238611,0.0
2040_be,Energy production,7328822964.259377,14659592507.535946
2040_be,Storage,498180931.45517987,0.0
2045_be,Distribution,1678984579.0216782,0.0
2045_be,Energy production,8787682829.321907,11865927614.148167
2045_be,Storage,502467482.88441306,0.0
2050_be,Distribution,1839385592.6206505,0.0
2050_be,Energy production,9706093980.545717,10516213373.290783
2050_be,Storage,512018339.07760876,0.0
2023_fl,Distribution,366959689.82068187,0.0
2023_fl,Energy production,3286284030.0027666,4316982808.098232
2023_fl,Storage,2229375.6092230906,0.0
2030_fl,Distribution,686503963.5460261,0.0
2030_fl,Energy production,5370348075.6644,11897192341.408041
2030_fl,Storage,174617864.3316915,0.0
2035_fl,Distribution,764630582.5346272,0.0
2035_fl,Energy production,5494403980.122376,11943237819.613985
2035_fl,Storage,174876630.9928339,0.0
2040_fl,Distribution,843307553.5799314,0.0
2040_fl,Energy production,5326880034.64215,11124191909.83008
2040_fl,Storage,175861139.88747936,0.0
2045_fl,Distribution,1001327202.6009934,0.0
2045_fl,Energy production,6144661925.276158,9286347398.09732
2045_fl,Storage,177329296.36105764,0.0
2050_fl,Distribution,1086428329.4489825,0.0
2050_fl,Energy production,6470449523.876254,8254535692.1119585
2050_fl,Storage,181749563.75593692,0.0
2023_fr,Distribution,3337457394.6765785,0.0
2023_fr,Energy production,57841793574.61108,13036926615.109493
2023_fr,Storage,2834271768.233366,0.0
2030_fr,Distribution,5515472808.771765,0.0
2030_fr,Energy production,61171380641.61546,46602819706.21004
2030_fr,Storage,3969600219.296809,0.0
2035_fr,Distribution,5725698745.693352,0.0
2035_fr,Energy production,66141460930.8502,47392300681.30116
2035_fr,Storage,3974015048.1935153,0.0
2040_fr,Distribution,6305654792.528268,0.0
2040_fr,Energy production,76178389692.7108,43628149628.83893
2040_fr,Storage,3981767093.391889,0.0
2045_fr,Distribution,7170177215.087339,0.0
2045_fr,Energy production,106240192372.37766,30457663333.859344
2045_fr,Storage,4112128924.385414,0.0
2050_fr,Distribution,7763971285.203756,0.0
2050_fr,Energy production,119064919094.8693,22754389430.63496
2050_fr,Storage,4259693510.831731,0.0
2023_de,Distribution,3622817850.951034,0.0
2023_de,Energy production,43046386170.04551,29341878339.312733
2023_de,Storage,1883801574.676827,0.0
2030_de,Distribution,6863053034.274812,0.0
2030_de,Energy production,57155094414.61033,66707030333.215065
2030_de,Storage,3541150254.135027,0.0
2035_de,Distribution,7145174896.394864,0.0
2035_de,Energy production,58903111517.484726,67775809043.536545
2035_de,Storage,3546793407.363833,0.0
2040_de,Distribution,7878871782.161004,0.0
2040_de,Energy production,57887361426.19808,62008247650.1459
2040_de,Storage,3554364685.3214555,0.0
2045_de,Distribution,9138652269.221998,0.0
2045_de,Energy production,70414051538.11423,45957453441.51335
