countries,carrier,2023,2023_std,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
AL,gas,20.96019335143736,0.9035008140458984,28.773332725459696,1.4964989028207796,28.319848839347813,1.0732039233348123,28.12422485241238,0.956425997547792,27.76524677585662,0.2670964613176813,27.75082536231106,0.2702009203031565
AT,gas,20.852386255614885,6.651675768114089e-07,29.354754071768863,4.8339593861567246e-08,28.51941666577403,2.983872442396029e-07,28.092610081896925,1.2538903640712957e-07,26.648433319274822,1.0677241641022893e-07,26.563773130901165,6.424567000532536e-08
BA,gas,21.09114401527548,0.7535499940245514,29.28671998065011,1.434021981065978,28.61960143330526,0.5662227863245489,28.17482972754165,0.0465131453730367,28.08135331653627,0.1018805467080499,27.904502305937157,0.1005232027254356
BG,gas,20.099999082685976,5.024792568955116e-07,24.999999021621285,1.4275748706789078e-07,24.999996944040262,2.898135674122219e-07,24.9999983400487,8.721270645327084e-08,24.999997272538415,1.632001073404213e-07,24.999989832201788,1.24568150468215e-07
BX,gas,20.15370629609641,0.0535042101311588,26.27907951040815,0.0160704904704164,26.276459603903607,0.0193920915737376,26.276665083305552,0.026075261940956,26.276417495147857,0.034339717769239,26.276551784450795,0.0350079047224643
CH,gas,21.01068020166085,0.910378830136559,30.380360808017237,1.6491808522192355,29.46117242174959,1.3812780491424397,28.8917069447033,1.2746826456081222,27.943489940846327,1.4507154082009166,27.867146061406803,1.097054834511059
CZ,gas,20.68002375022467,3.282191646567377e-07,27.10218012841044,9.93877067438799e-08,26.870546583332583,3.031574538048904e-07,26.63278017625263,3.0397782519820945e-08,26.560352993686823,1.6242340221329716e-07,26.50854763165566,6.524809612546798e-08
DE,gas,20.100000008262676,1.6331442828500493e-08,24.999999992296225,1.0381458914854267e-08,24.999999958684437,2.3296000711727642e-08,24.999999977606695,8.335685324385203e-09,24.999999931727967,2.34423208087236e-08,24.999999899156517,1.963710248518223e-08
DK,gas,20.58526741459282,0.0178500343119359,26.30487320009061,0.1394821423817536,26.63570922221046,0.0157339180920012,25.67399836293982,2.307196418556143e-07,25.620009346700233,4.273261112125232e-07,25.68235906450535,2.0248177703971757e-07
EE,gas,20.09998968482411,1.0092589780684788e-05,24.999988796818883,6.4626102438819084e-06,24.999991638685596,2.754272854961993e-06,24.999995042074342,1.9056943761135216e-06,24.99998548586121,1.411453036794557e-05,22.34186919100419,0.7867159041852357
ES,gas,20.367494412916137,0.0794040354952195,25.77583367285601,0.0900423396609101,25.776626073571883,0.1385232265046413,25.801584000755355,0.11539157412229,25.747399156744365,0.1308775807262874,25.710083029852008,0.1236116914002969
FI,gas,20.14770172452032,0.3795502840026868,26.103633737864087,1.5092596048772948,26.24906864647224,1.5835047611211768,25.728527695933128,1.4179490356199762,25.03104810206604,0.327616169502036,24.731209623187116,0.3745120156601974
FL,gas,20.10163802736741,0.0079806120567804,24.99999990408605,1.126052506501803e-07,24.999999642260654,3.066801580872947e-07,24.999999776858,1.8003658403151914e-07,24.99999930052489,4.505040545609603e-07,24.999998361272965,1.021994274439802e-06
FR,gas,20.10000003908636,4.5992239165353424e-08,25.000000001890275,2.5896466537030835e-08,24.999999992311185,4.911795845489804e-08,24.99999999560217,9.500409216892264e-09,24.999999918401265,2.0139380339974426e-08,24.999999728309465,1.1863966373912535e-08
GB,gas,20.31987111932864,2.02711003741683e-06,25.881387442973693,7.260739749521773e-07,25.901897685354392,1.4044070097608602e-06,25.96144002674061,8.757951020650969e-08,25.723960795307427,1.2846946030972513e-07,25.680582424497445,5.0078581590050136e-08
GR,gas,20.09999978609781,9.330903910085015e-08,24.999999274481077,3.413002022459007e-07,24.999998155217167,8.113137920218746e-07,24.99999919931071,3.409323701364144e-07,24.99999826667092,7.099623821927529e-07,24.99999801543097,6.001387113960619e-07
HR,gas,20.879693525306873,0.34762640495492,27.587593600259723,1.0327257999255808,27.224584775759094,0.5507854963423267,26.803942491520587,3.5434407160152014e-06,26.72744829465124,0.0205863247476894,26.560790883427543,7.864233663411096e-07
HU,gas,20.14202946855809,1.9920491186371126e-06,24.99999991664071,8.395867249355478e-09,24.999999720843157,1.5506448723952046e-08,24.999999860132487,4.962411322447595e-09,24.99999956395309,8.982495092218341e-09,24.99999903668149,1.2794133886937189e-08
IE,gas,20.099999837631735,1.2177963823491996e-07,24.99999974475831,6.710388043718162e-08,24.999999016104734,1.7715192623147258e-07,24.99999965191232,3.9547567594447175e-08,24.999999354096868,5.4100688555246464e-08,24.999997876437437,8.488651831122936e-08
IT,gas,20.09999912264596,1.1556046646754785e-06,24.999999221295944,8.339277980881738e-07,24.999997273385222,2.6213741061410936e-06,24.999998210282733,1.6511605342494044e-06,24.999995588523007,2.477224738432936e-06,24.999979587959356,1.1245206452877956e-05
LT,gas,20.099999221145033,3.402643048426984e-07,24.999997988552,8.746732285764512e-07,24.99999533531164,1.6478986143037483e-06,24.999997656072516,7.599853271438708e-07,24.99999416713075,7.423668483731424e-06,20.021187944680577,1.204063939468347
LU,gas,20.37526539205401,0.0995614579269106,28.058442833757496,0.8669468754440018,27.657980333147623,0.9555583887329384,27.453842506254055,0.8592231025534065,26.98959889670356,0.7948511150380013,26.80029634759573,0.6629784593619862
LV,gas,20.10000016994419,5.7063081014470554e-08,24.999996550012938,1.0835167165435328e-08,24.99998843995539,5.584725637975733e-09,24.999991235154628,2.475428334928679e-09,24.999971360353832,5.421287642707323e-09,20.258889799759583,1.958596598953073e-08
ME,gas,20.693860726191264,0.8513464950321189,29.21113502579752,1.7112814325486445,28.971871871001586,1.6945159630810602,28.28578941655512,1.0404153935559568,27.661022335800816,0.4060657478040177,26.719314493474105,0.2202052960174033
MK,gas,20.66060793589077,0.8809687889120406,27.08723739441233,1.13495114673341,26.95064423300591,1.034950081497477,26.787570381817385,0.91311934307658,26.43900788658563,0.1766029965034644,26.41990964312801,0.180217249990549
NL,gas,20.10000000762087,4.781365485080019e-09,24.99999995995917,8.994263784592074e-09,24.999999831927383,1.769502921108874e-08,24.999999898337656,3.012469230509379e-09,24.999999675968244,9.607527867582855e-09,24.99999939205115,4.986583201302216e-09
NO,gas,20.099999822868572,1.1458341136026076e-07,24.99999995285452,1.1706354322183534e-08,24.99999986914293,1.7470741212477674e-08,24.99999994095839,6.456082658635797e-09,24.99999989473455,1.84351974880404e-08,24.999997478799955,5.424365609056684e-07
PL,gas,20.96047627110432,2.9119501758743216e-07,25.000000378713025,6.4410431625216e-08,25.000000299551065,6.407593240787646e-08,25.00000006041078,1.0121306092138858e-08,24.999999877558263,2.6104780639366026e-08,24.99999973707626,1.8160693525831503e-08
PT,gas,20.100000302052862,2.6602760455185514e-07,24.999999390749338,2.636604730665306e-07,24.99999808550984,6.122719763524287e-07,24.99999906442884,7.636987842448694e-08,24.999995958207,1.0703553149125789e-07,24.999994772898436,2.7461529358018463e-08
RO,gas,20.09999976866797,5.1646360889337e-08,24.99999955880512,1.4087472325936391e-08,24.999998970077115,3.2958441686329735e-08,24.999999351322504,2.9896338684910767e-10,24.99999914148264,2.004824949440364e-09,24.999996973691324,8.380603126485961e-10
RS,gas,20.796149972939908,0.4555888197407993,31.056406220757555,1.7095608846142891,30.810659603261968,1.3944167266136454,30.115632915657965,0.6086451018262564,29.50201911820517,0.0936942434653303,28.55457038780896,1.0321800129498576e-06
SE,gas,20.63847424896233,0.647791735561661,27.218513692522947,1.0944005753425747,26.471739702511485,1.408792945964307e-05,26.48765421376185,3.3458745010779496e-06,25.289068741445625,2.395738073514147e-06,24.99999649024376,6.21027214104505e-07
