snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Coal,Oil,Methanol,Decentralized heat,Electricity,Centralized heat,Methane,Centralized heat,Ammonia,Electricity,Electricity,Electricity,Hydrogen,CO2 emissions,Methane,Decentralized heat,Electricity,Centralized heat,Electricity,Centralized heat,Centralized heat,Oil,Hydrogen,Decentralized heat,CO2 emissions,Decentralized heat,CO2 emissions,Electricity,Electricity,Ammonia,Centralized heat,Methanol,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Imports,Imports,Methanol production,Heat Pump,Nuclear,Waste Heat,Imports,Heat Pump,Haber-Bosch,Offwind,Onwind,Hydroelectricity,Electrolysis,Transport emissions,Storage,Biomass boiler,Biomass CHP,Biomass CHP,Solar,Storage,Solar thermal,Storage,Storage,Gas Boiler,Decentral heat production emissions,Resistive heater,Power supply emissions,Gas,Battery,Storage,Gas Boiler,Storage,Resistive heater,Storage,Oil Boiler
2035-01-01 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547616530849126,19.323359009208982,61.00603824833888,15.788501461334302,7.23639802817395,20.936740577555952,54.57276740677638,428.0052923086473,52.82017009520129,110.23760537062515,107.84220700774883,14.250660497977048,563.1963521156408,10.819076458926906,6.758628680672876,229.79740507994023,125.42665574048448,21.696920839990188,13.243651519903649,9.087760608111452,,30.137627965714003,17.665656493639258,54.004507244586726,,0.1299291416388124,,,,261.0111901730606,55.187647727401476,37.36582897540659,5.24958526394693,16.96835413370251,1.3460320853496095,,12.873278686576398,,2.063416270198421,0.3950018332983834,0.0065025729601213
2035-01-01 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54755716579463,19.323425419907032,61.009544018688864,15.789410753787784,7.2365009956889965,20.93674798515138,51.573906217143126,428.8360055464862,52.34252420253006,109.44583913266496,106.22757025137737,12.093194379166116,566.6415295109864,10.712703018968522,4.481785976515814,212.78396881956473,114.38032442347831,23.867600802504626,13.243705286399631,42.848741742317394,94.49280125046228,30.787508195884705,29.53153662173501,90.30414277640774,,4.419596378607582,,0.0,,406.4715610118459,95.02536898004207,60.48922656135555,5.238524257307278,16.932601294557763,1.4360950935460848,0.7807968518062044,19.543411142221142,,0.645224215919692,15.5132603437653,32.127965005758234
2035-01-01 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54752703511923,19.32345912849597,61.02155523747809,15.792528412199616,7.23684843253441,20.93675193291944,51.61727416522028,429.0817000689703,52.09520873020295,109.15051795085135,104.66762410652147,12.849277089399024,567.212047967461,10.704367309791255,5.336151545906288,206.02855995548308,97.34524821986489,33.13717869727738,13.191740515756916,92.73984572153364,105.29409514316212,30.91163272523362,29.858120543918165,91.30187535793937,45.47859377123082,4.025321823771467,0.016136577939011,193.14377239608768,12.339280875540531,437.74794004120656,107.35019088821836,61.52366848543296,0.41598492271068493,1.3445935741470754,1.9701534559929896,0.0,23.491218727006668,0.0,0.8242000531686094,0.2110425536810974,50.517031476707814
2035-01-01 09:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547512384723305,19.32347551967815,61.02155521862531,15.792528407323417,7.236848423290044,20.9367518996174,50.73858348548731,428.8767889339262,52.33498337966047,112.43567295975387,102.48093253896627,14.202134532997116,565.8300492258996,10.859582015809185,6.758609297551691,216.054854266718,80.69317577698273,16.82152389250981,13.24371325046238,76.19208514219982,43.25071585080919,30.4848900170328,25.6218176807381,78.33155204212575,200.48777291360346,2.6463768609612415,5.889695130570843,88.39332671833037,7.779689241736201,386.2430015428192,84.76784707305754,70.84003770626725,6.956912589402593e-06,1.4098810700212426e-05,7.974613486410516e-05,0.0,14.372082154326629,,2.229846437029132,1.984926040178614e-05,13.984026991070628
2035-01-01 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54750370790458,19.32348522714555,61.02155518669259,15.792528399047953,7.236848410240601,20.93675185321773,50.50767044701334,428.76149174821546,52.23242184715164,116.39888226980109,103.25545373504264,14.106799636100995,566.1695268789042,11.041838744950908,6.666791154054852,230.3030780292499,79.24639991108204,20.484108428546673,13.24371229763156,87.7806182411601,22.485100906708045,30.40130754407492,25.74496802155568,78.69876878347063,149.9892030365829,1.3068733741331315,6.352659739202879,129.71409425878522,12.04933345151454,369.21110658817383,79.72886362632168,63.25537174945591,7.164280084062492e-06,1.4775026658723372e-05,8.852200425820583e-05,,11.203554976644448,0.0,1.2562114366617056,1.791595513835299e-05,10.502323316835342
2035-01-01 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54749786102348,19.323491767172197,61.02155540699463,15.792528456095642,7.236848485005966,20.936752115103033,50.06900990925211,428.87332097688346,51.99280140416198,114.44447333713289,106.24076610024028,10.85506599012095,568.0680802679258,10.784073510958466,3.2903591375708263,233.57420515914816,79.11591916864433,32.139839112813334,12.759295920723956,99.6044643560464,95.14956219056188,30.59483014713334,28.681764406551707,87.70553620674595,13.946612129228537,2.3872714568730182,0.2460168240723791,203.3392642798424,12.966573001600375,400.2761939693358,94.51031743847494,43.89577372587597,7.118015695005937,23.007725888576115,1.5795687570092207,1.972225774249535,18.394500715418634,0.0,0.6492639625174929,0.1596970419285507,35.4752626325422
2035-01-01 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.547493558048444,19.323496580403013,61.0215536855221,15.792528010352491,7.2368479088652,20.936750099388867,49.454129324352216,428.70533465240914,52.480821905071544,111.08887878503745,109.31041551185126,10.87637775031071,567.3875305890258,10.554106125472096,3.260688816827125,230.59997390534988,76.46528000026593,44.46772019469013,12.759296041300932,48.01067857270178,101.11403919656732,30.47191117354688,28.587075171561207,87.41461875588186,,1.7742204809556412,,0.0859465379714965,0.0,403.78816495256854,94.5421304886197,42.87813496089758,7.426531809839292,24.004949282495613,1.9714361387590258,2.0018932374815197,18.542311608708705,0.0,0.6452242706732991,0.0006782471690601,33.0044409374274
2035-01-01 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.54748981629234,19.323500766082432,61.00931291958542,15.789350769235536,7.236493672219066,20.936745464809604,49.22952314223316,428.3386728083944,52.53992507570458,109.6361453396739,112.23553789525829,10.744720618965058,564.4433359746494,10.42962114535949,3.1122235365775537,220.54953483799426,72.15090934371669,55.05686152671017,12.759293890744503,18.99051644477381,0.0,29.102632477784667,22.38220754069788,68.41989263838262,,0.1002123077411059,,,,269.95169915673205,56.27967792992984,33.141751582905734,6.297482629445104,20.35549708503977,1.4346136984868705,2.1503574231628813,8.298848647877584,0.0,0.645165559939858,1.6669111213825075e-05,0.5546367323920751
