country,sector,year,cfs
AL,Ammonia production,2023,0.6188021750863942
AL,Ammonia production,2030,0.2615263430660046
AL,Ammonia production,2035,0.3746182382587284
AL,Ammonia production,2040,0.3301070610445413
AL,Ammonia production,2045,0.132005433833541
AL,Ammonia production,2050,0.1100591996964892
AL,Battery,2023,0.3061796720218901
AL,Battery,2030,0.1927784586094458
AL,Battery,2035,0.1562861295876062
AL,Battery,2040,0.1930831832819216
AL,Battery,2045,0.1964349780898235
AL,Battery,2050,0.2186335413574854
AL,Battery charging,2023,0.322292687340497
AL,Battery charging,2030,0.2141982775647224
AL,Battery charging,2035,0.1736512311453812
AL,Battery charging,2040,0.2145368371223711
AL,Battery charging,2045,0.2182610708108502
AL,Battery charging,2050,0.2429261385810482
AL,Biomass CHP,2023,0.9951973462427968
AL,Biomass CHP,2030,0.4763036723136123
AL,Biomass CHP,2035,0.4162391859107346
AL,Biomass CHP,2040,0.3713525456600024
AL,Biomass CHP,2045,0.3089175542019932
AL,Biomass CHP,2050,0.2749132858065399
AL,Biomass CHP CC,2023,0.7847575635656179
AL,Biomass CHP CC,2030,0.3503900276933263
AL,Biomass CHP CC,2035,0.1402215964178397
AL,Biomass CHP CC,2040,0.1028502207984386
AL,Biomass CHP CC,2045,0.418484574691113
AL,Biomass CHP CC,2050,0.3958120261743797
AL,Central heat production,2023,0.1816974074602157
AL,Central heat production,2030,0.2795395055008144
AL,Central heat production,2035,0.3705237512754784
AL,Central heat production,2040,0.435291751012086
AL,Central heat production,2045,0.4134096920968292
AL,Central heat production,2050,0.3548796481130536
AL,Compression losses,2023,0.0114089895255809
AL,Compression losses,2030,0.1498391362802226
AL,Compression losses,2035,0.1280967965846056
AL,Compression losses,2040,0.1046924094671446
AL,Compression losses,2045,0.1435176608407291
AL,Compression losses,2050,0.0929367138779311
AL,Decentral heat production,2023,0.4825036375367267
AL,Decentral heat production,2030,0.5131782686984163
AL,Decentral heat production,2035,0.5052607426990987
AL,Decentral heat production,2040,0.5027125142552362
AL,Decentral heat production,2045,0.4217237002004493
AL,Decentral heat production,2050,0.3901312481953887
AL,Direct Air Carbon Capture,2030,0.2383229234397945
AL,Direct Air Carbon Capture,2035,0.1449994860426709
AL,Direct Air Carbon Capture,2040,0.0881017421366038
AL,Direct Air Carbon Capture,2045,0.2456650184892471
AL,Direct Air Carbon Capture,2050,0.4010636276513109
AL,Fuel Cell,2030,0.3556982233584319
AL,Fuel Cell,2035,0.185931675237788
AL,Fuel Cell,2040,0.1038578336152057
AL,Fuel Cell,2045,0.0888059676021146
AL,Fuel Cell,2050,0.0897059689385246
AL,Gas,2023,0.2245150830200022
AL,Gas,2030,0.3331047784511738
AL,Gas,2035,0.1618640515587757
AL,Gas,2040,0.1257285488282722
AL,Gas,2045,0.1050092042929849
AL,Gas,2050,0.0457852429414144
AL,Gas CC,2030,0.3155152388426075
AL,Gas CC,2035,0.1339499327912053
AL,Gas CC,2040,0.1097194706427016
AL,Gas CC,2045,0.1245300187601851
AL,Gas CC,2050,0.0685875492360426
AL,Gas CHP,2023,0.4104146113604877
AL,Gas CHP,2030,0.1533149699131267
AL,Gas CHP,2035,0.0947145263086776
AL,Gas CHP,2040,0.0768715853041425
AL,Gas CHP,2045,0.0393280609381118
AL,Gas CHP,2050,0.0177660059543288
AL,Gas CHP CC,2023,0.5798687296491543
AL,Gas CHP CC,2030,0.3903214114492098
AL,Gas CHP CC,2035,0.205247762857033
AL,Gas CHP CC,2040,0.1825703604414725
AL,Gas CHP CC,2045,0.2484638957386015
AL,Gas CHP CC,2050,0.1269360021063312
AL,Hydroelectricity,2023,0.3775546841061044
AL,Hydroelectricity,2030,0.3775456144028399
AL,Hydroelectricity,2035,0.377545536023212
AL,Hydroelectricity,2040,0.3773757459834628
AL,Hydroelectricity,2045,0.3775270637400798
AL,Hydroelectricity,2050,0.3775357088301189
AL,Hydrogen production,2023,0.1263985639806601
AL,Hydrogen production,2030,0.3568358570918961
AL,Hydrogen production,2035,0.4252157408547255
AL,Hydrogen production,2040,0.5099707646626661
AL,Hydrogen production,2045,0.5783441155287206
AL,Hydrogen production,2050,0.5594675460705941
AL,Hydrogen turbines,2030,0.1818439574328917
AL,Hydrogen turbines,2035,0.065233097122957
