snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
carrier,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Oil,Electricity,Oil,Oil,Hydrogen,Methanol,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Electricity,Oil,Hydrogen,Decentralized heat,Centralized heat,Electricity,Hydrogen,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Industry,Agriculture,Shipping,Industry,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Ammonia production,Ammonia production,Transport,Storage,Decentral heat production,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-01-01 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409719822839,1.8188728386668869,0.6787251787074178,0.6272568817627933,1.8626157723219037,0.0936751408503104,2.103082662378085,0.38273019594,0.0429497726117241,5.258221242122501,1.2982871426359437,0.0777570539571645,0.3610845158285795,1.191817412399809,3.467138103753139,2.577365645174486,1.3845008307129448e-06,5.898517695169858e-07,5.323995247061097e-07,3.8928255680536026e-07,1.0578712212562825e-06
2040-01-01 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409719479001,1.8188728386593704,0.6787251974008309,0.6272603187426156,1.4994212225210406,0.0936779950584401,2.2881271499914706,1.90654654609,0.2139516074161455,8.53054444767372,2.106243854362567,0.0777570385904045,0.361084444469149,1.369964208196171,0.0,6.5182865816733875,4.127623565303118e-06,7.876766704571165e-07,4.692303963525246e-07,3.913409471023002e-07,1.0485963240170114e-06
2040-01-01 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409718889725,1.8188728386606368,0.6787252007620993,0.6272600549681898,1.474915970853203,0.0936781976041355,2.27377685742877,4.04537289797,0.4539695272035208,8.820073003562863,2.1777302343052076,0.0777570364271519,0.3610844344235396,1.422720416742382,0.0,6.911242946186354,5.2196080450229345e-06,8.192886902954751e-07,4.6277496454612276e-07,3.923111210088364e-07,1.046785885063924e-06
2040-01-01 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.839040971846897,1.8188728386700117,0.6787251954110077,0.6272584208888059,1.806427635720143,0.0936774062014401,2.384459464496478,3.3418967282,0.3750258173785692,7.792271464277009,1.9239597172058491,0.0777570424560507,0.3610844624202534,2.0696887412324445,0.3778456780621054,5.562724575284751,2.764759553128251e-06,7.30411929753888e-07,4.773392921048117e-07,3.925609715284521e-07,1.0496234204553462e-06
2040-01-01 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409718337258,1.8188728386633397,0.6787251940370632,0.6272591016411914,1.843249845646096,0.0936771302600824,2.369847996182114,3.936835638909999,0.4417895355389351,7.4644301547767,1.8430136829196664,0.077757042890302,0.3610844644368091,2.801832058206596,0.0,5.190511209856088,2.6438977460707496e-06,7.243936603795536e-07,5.007175102019546e-07,3.924622774912346e-07,1.053010227818335e-06
2040-01-01 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409718590797,1.8188728386253097,0.6787251988243932,0.6272596240143908,2.0196873714717936,0.0936778865202485,1.9252892584257069,4.490577053490001,0.5039300932843437,7.919000334141712,1.955249854073448,0.0777570376005013,0.3610844398722837,1.2387622157360911,0.0,6.269943881759419,4.504228607280239e-06,8.045037637317812e-07,4.5442658303164395e-07,3.920676480563362e-07,1.0485243235421996e-06
2040-01-01 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409718714024,1.8188728386043285,0.6787251985336312,0.627259149244512,2.084015894170525,0.0936780281436044,1.9215878610991397,2.0626536659499997,0.2314698627619243,7.833828989435341,1.9342205255873264,0.0777570373606806,0.3610844387586158,1.1519059971597407,0.0,6.255995489443771,4.592154591556968e-06,8.076170759288459e-07,4.5209549661367987e-07,3.9182251674221833e-07,1.047574620348115e-06
2040-01-01 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409718748313,1.818872838589372,0.6787251992924245,0.6272589124990932,2.2248110003610213,0.0936781447331781,1.8937427547963184,0.817025021837,0.0916860997073529,5.477544445396022,1.3524393895232962,0.0777570367758714,0.3610844360429064,1.0389495869728538,2.5519371751616564,3.3376167253447386,4.8312324834150044e-06,8.151884839112677e-07,5.056582846993812e-07,3.9040262155881033e-07,1.055022634672646e-06
