snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,CO2 emissions,Hydrogen,CO2 captured,Hydrogen,Coal,Oil,Methanol,Electricity,Decentralized heat,Centralized heat,Methane,Centralized heat,Ammonia,Electricity,Electricity,Electricity,Hydrogen,CO2 emissions,Methane,Electricity,Centralized heat,Decentralized heat,Electricity,Centralized heat,Centralized heat,Oil,Decentralized heat,CO2 emissions,Hydrogen,Ammonia,Decentralized heat,Electricity,CO2 emissions,Electricity,Methanol,Centralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Methane production emissions,Steam Methane Reforming CC,Hydrogen production CC,Steam Methane Reforming,Imports,Imports,Methanol production,Nuclear,Heat Pump,Waste Heat,Imports,Heat Pump,Haber-Bosch,Offwind,Onwind,Hydroelectricity,Electrolysis,Transport emissions,Storage,Biomass CHP,Biomass CHP,Biomass boiler,Solar,Solar thermal,Storage,Storage,Gas Boiler,Decentral heat production emissions,Storage,Storage,Resistive heater,Battery,Power supply emissions,Gas,Storage,Gas Boiler,Resistive heater,Storage,Oil Boiler
2035-01-01 00:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.29916152481013,19.974440937125088,3.3515682420898973,45.33205796897993,11.723784982409246,7.825042412548728,51.921482719316714,428.4385311154781,38.95647780311134,108.92629548541998,142.8044416736968,13.040043094371159,494.9250892069636,11.690115314720424,6.857192698900762,233.93244822071966,127.9665014542303,21.06465254360957,13.658003935274984,9.292156607952432,,16.50534832280482,50.43397649846666,30.669426833308226,,,0.0252059977504038,,236.39497009803745,50.62681296329005,,,30.321332980074775,1.1884888170072943,4.801999496690522,15.521611627820818,,15.05036240436514,4.03246039899086,0.3760181938107887,7.349569747200092e-05
2035-01-01 03:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.29916158914013,19.974440865524706,3.351654365241961,45.33497812505309,11.724542366131084,7.825049948040519,49.758761561843656,429.8470184772421,38.85637454768851,107.33587242935491,141.9829511696331,11.222462824124767,497.9570569910786,11.580736145635983,4.906421912935841,216.88184749424232,116.634628646448,21.314004151205342,13.658027715804549,43.812467767700035,97.60686128126606,29.55936275189409,90.38758635845866,31.63412204266652,,,4.331625146387914,,380.83803852070025,89.55860915249588,,0.3561585147500082,52.64782639573334,1.3849813531116428,4.682715417471127,15.136046745393898,,19.068744294028463,1.3107976923472215,16.39322540640151,31.437193646255977
2035-01-01 06:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.29916147234702,19.974440996733712,3.3518119073369457,45.34042240899886,11.7259554904334,7.825051969993217,50.43675514653245,429.82378822563845,38.796949116960754,105.82492104668209,141.64217803426703,12.024370788921141,498.46988911169007,11.563864776736578,5.784127960587964,210.25920183290899,99.51475066476874,31.297705146878293,13.631683215390249,94.82569000249823,110.6665342228065,29.898535795924897,91.42371946236206,31.68161461990592,46.60948335583304,0.0181248636071116,3.9943007565250417,212.90201289367675,411.9543341251367,101.9594093467398,5.010108879356084,,54.307016183838606,1.7097624475883315,0.3315750880593752,1.0717529946032494,,23.009042390669872,1.43765398193802,0.2667504518059318,50.212227039358424
2035-01-01 09:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.299161340938696,19.974441144058446,3.3518116159427773,45.34041259403151,11.725952955597531,7.825051932708333,49.81178579812504,429.401821840616,38.77145286410508,103.43676715953464,144.52824833802742,13.026562357429755,497.0451017605363,11.736467173980616,6.862606404762891,220.14775523298746,82.65153269062286,16.94678802306067,13.658035600885484,77.90574795678579,49.83864005187888,26.582317269804584,81.26710797235415,31.023506412764107,203.92572116663655,5.8896951495080545,1.8283178307567056,106.6114305946827,362.1347396079557,79.44580961168386,3.453943208151864,,62.90283421256006,7.590072602426893e-05,7.01372097806968e-06,1.4213533472880999e-05,,12.877637331770725,2.08412304152375,2.2054855575981992e-05,13.400602130389553
2035-01-01 12:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.299161220236996,19.974441279140734,3.3518113904653046,45.34040463941048,11.725950901232094,7.825051943375089,49.93114400796311,429.214920422788,38.75868193111834,104.63944086765765,148.4439938744514,12.971317760710836,497.3751614806609,11.938087378460706,6.8043637440738545,234.01989025410614,81.15602706063805,20.61763012794462,13.658034899899487,89.75492280369811,30.147026914504853,25.9385444681588,79.29255803863938,30.8928105228759,151.88060735964268,6.315217499560191,1.1986802610609046,149.3058612189293,345.25623814130034,74.69173474388292,5.2909079763236,,54.99365326535521,8.437143142755775e-05,7.1930021372013245e-06,1.4790786303708724e-05,,10.653510275772504,1.9889549648760392,2.000698152341624e-05,10.178353239722078
2035-01-01 15:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.29916113342773,19.974441375823716,3.3518112221393963,45.34039717044556,11.72594897238799,7.825052119302883,49.70958774341249,429.458543612561,38.77045936741234,107.48856839094967,146.72952396980838,10.524739293362957,499.3112082315511,11.662386539652118,4.259153170695186,236.42363051944722,81.05450748460778,32.2921799663621,13.220778115770536,101.84470317373388,98.68701599459791,28.570084285166292,87.36064363821883,31.19732371915163,14.084077400558122,0.2360999078465469,2.20429911448032,223.1717234833241,374.18177597605825,88.89179627736445,4.775986452899407,1.0034292488823449,38.03066046921173,1.5654133889096602,6.720109946350982,21.721565344780533,0.0,17.954569298943404,1.3111827250850716,0.1536303459578938,34.55560510216069
2035-01-01 18:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.299161051729456,19.97444146688583,3.3518103008362106,45.34038793665236,11.72594658608651,7.825049609123768,49.26506906159857,429.3021902195512,38.94196232916328,110.55524965590716,143.52000352175705,10.338415237331203,498.7226497907099,11.410751062244024,4.039558660279011,233.423767380178,78.28191474488455,44.31737284913667,13.22077819469019,49.0905035233079,105.05819696671928,28.506778055885295,87.16658671019688,30.971447767490357,,,1.7921368671197295,15.04817759013176,377.3488542824234,88.74409285183704,0.0,1.22302111977413,37.619976665198216,1.670232534856225,7.218172951841281,23.33146559086684,0.0,17.991444923595612,1.3107973667100588,4.150777195006881e-05,31.774173246566832
2035-01-01 21:00:00,15.512561252714995,2.698889859646953,21.56339385039261,45.29916098038228,19.974441546491697,3.3517153823918218,45.3371168918496,11.725097585822498,7.825047369824537,49.27138121193301,428.9542554290508,38.95641127996906,114.01244103139229,142.13755025425013,10.29637374251953,495.96925410884654,11.279675081950192,3.9926276815142985,224.164598439327,73.38289650233165,55.27373734395324,13.220776141229306,19.417638786944742,0.0,22.356620850226,68.33955072183825,29.199090245777004,,,1.5832834385346165e-05,,242.963609988443,50.67668258176325,0.0,1.2699506532839917,27.454315102254235,1.1979381705886032,5.912163116616755,19.110019445612185,0.0,7.578901182110917,1.310754300054059,1.916087132309153e-05,0.5083146344637876
