country,sector,year,cfs
AL,Ammonia production,2023,0.6188021750863942
AL,Ammonia production,2030,0.2797048750012615
AL,Ammonia production,2035,0.38522521880724
AL,Ammonia production,2040,0.3174255927957507
AL,Ammonia production,2045,0.0965119248697506
AL,Ammonia production,2050,0.1239350176505116
AL,Battery,2023,0.3061796720218901
AL,Battery,2030,0.1865064786361686
AL,Battery,2035,0.1699912524500847
AL,Battery,2040,0.198725455627174
AL,Battery,2045,0.2070455450220054
AL,Battery,2050,0.2343929075478954
AL,Battery charging,2023,0.322292687340497
AL,Battery charging,2030,0.2072293978774503
AL,Battery charging,2035,0.1888791389375864
AL,Battery charging,2040,0.2208060376672461
AL,Battery charging,2045,0.2300505931043977
AL,Battery charging,2050,0.2604365494365229
AL,Biomass CHP,2023,0.9951973462427968
AL,Biomass CHP,2030,0.4766626545484658
AL,Biomass CHP,2035,0.4147082942830181
AL,Biomass CHP,2040,0.3695757879046913
AL,Biomass CHP,2045,0.3084737965476897
AL,Biomass CHP,2050,0.2702916923570073
AL,Biomass CHP CC,2023,0.7847575635656179
AL,Biomass CHP CC,2030,0.3283741626942522
AL,Biomass CHP CC,2035,0.1556361385551905
AL,Biomass CHP CC,2040,0.1165400250254894
AL,Biomass CHP CC,2045,0.419213933344344
AL,Biomass CHP CC,2050,0.4174543068581089
AL,Central heat production,2023,0.1816974074602157
AL,Central heat production,2030,0.2707962920422523
AL,Central heat production,2035,0.3682428268503727
AL,Central heat production,2040,0.4202219043871091
AL,Central heat production,2045,0.4212074550550989
AL,Central heat production,2050,0.370523814002079
AL,Compression losses,2023,0.0114089895255809
AL,Compression losses,2030,0.149870498450724
AL,Compression losses,2035,0.1276383209657203
AL,Compression losses,2040,0.1047365730019252
AL,Compression losses,2045,0.1003851606475454
AL,Compression losses,2050,0.0938327428867522
AL,Decentral heat production,2023,0.4825036375367267
AL,Decentral heat production,2030,0.513397911504394
AL,Decentral heat production,2035,0.5040954533901795
AL,Decentral heat production,2040,0.5024633916362203
AL,Decentral heat production,2045,0.4158110807594194
AL,Decentral heat production,2050,0.3722781664028207
AL,Direct Air Carbon Capture,2030,0.2557501034065781
AL,Direct Air Carbon Capture,2035,0.1527623174721909
AL,Direct Air Carbon Capture,2040,0.0805027505037369
AL,Direct Air Carbon Capture,2045,0.2303302144245548
AL,Direct Air Carbon Capture,2050,0.382854755742508
AL,Fuel Cell,2030,0.3409014102499198
AL,Fuel Cell,2035,0.2088290872337279
AL,Fuel Cell,2040,0.1146995971995996
AL,Fuel Cell,2045,0.0828076468957429
AL,Fuel Cell,2050,0.1051292709508598
AL,Gas,2023,0.2245150830200022
AL,Gas,2030,0.3289732960040235
AL,Gas,2035,0.1882484964589439
AL,Gas,2040,0.1504038011838433
AL,Gas,2045,0.1097028648833385
AL,Gas,2050,0.0592731778717314
AL,Gas CC,2030,0.2966548393995567
AL,Gas CC,2035,0.1558377350190475
AL,Gas CC,2040,0.1288607859382115
AL,Gas CC,2045,0.1257665158225198
AL,Gas CC,2050,0.0798657027321638
AL,Gas CHP,2023,0.4104146113604877
AL,Gas CHP,2030,0.1564549624459801
AL,Gas CHP,2035,0.1086849400541334
AL,Gas CHP,2040,0.0943262526590561
AL,Gas CHP,2045,0.0385404635819645
AL,Gas CHP,2050,0.0294553540860859
AL,Gas CHP CC,2023,0.5798687296491543
AL,Gas CHP CC,2030,0.3692129494127614
AL,Gas CHP CC,2035,0.2277340276783613
AL,Gas CHP CC,2040,0.2058624268283848
AL,Gas CHP CC,2045,0.2567685062420647
AL,Gas CHP CC,2050,0.142482953976156
AL,Hydroelectricity,2023,0.3775546841061044
AL,Hydroelectricity,2030,0.377548783377801
AL,Hydroelectricity,2035,0.3774784772216683
AL,Hydroelectricity,2040,0.3773947111455141
AL,Hydroelectricity,2045,0.3775234321199578
AL,Hydroelectricity,2050,0.3775275539019651
AL,Hydrogen production,2023,0.1263985639806601
AL,Hydrogen production,2030,0.3049615016360156
AL,Hydrogen production,2035,0.4320181346515631
AL,Hydrogen production,2040,0.4906196078175902
AL,Hydrogen production,2045,0.5068381480536294
AL,Hydrogen production,2050,0.5237162897812722
AL,Hydrogen turbines,2030,0.181368110631461
AL,Hydrogen turbines,2035,0.0771044361263452
AL,Hydrogen turbines,2040,0.0631565735616715
AL,Hydrogen turbines,2045,0.0543051696014512
AL,Hydrogen turbines,2050,0.0668205125365252
AL,Methanol production,2023,0.8005844991533292
AL,Methanol production,2030,0.6967153186507159
AL,Methanol production,2035,0.7707278138546626
AL,Methanol production,2040,0.7371830365000603
AL,Methanol production,2045,0.6077182163538833
AL,Methanol production,2050,0.6452368302607218
AL,Micro gas CHP,2030,0.503604954775247
AL,Micro gas CHP,2035,0.5155966284895152
AL,Micro gas CHP,2040,0.4774919898318366
AL,Micro gas CHP,2045,0.3513600383940129
AL,Micro gas CHP,2050,0.2341213756797349
AL,Offwind,2023,
AL,Offwind,2030,0.1141009380903211
AL,Offwind,2035,0.1281428418448498
AL,Offwind,2040,0.1341682596817388
AL,Offwind,2045,0.1423803016634102
AL,Offwind,2050,0.1452999471924571
AL,Onwind,2023,
AL,Onwind,2030,0.023856059466366
AL,Onwind,2035,0.0223426766738701
AL,Onwind,2040,0.0245850002612798
AL,Onwind,2045,0.0301949887758434
AL,Onwind,2050,0.0332076245522299
AL,Solar,2023,0.1500765900083095
AL,Solar,2030,0.1498423300371985
AL,Solar,2035,0.1496533402559249
AL,Solar,2040,0.1487694614317211
AL,Solar,2045,0.1470053642684425
AL,Solar,2050,0.1470832611628277
AL,Transport,2023,0.019081589517359
AL,Transport,2030,0.0190815890176986
AL,Transport,2035,0.0190815890136105
AL,Transport,2040,0.0190815890126951
AL,Transport,2045,0.0190815890119823
AL,Transport,2050,0.0190815890117462
AT,Ammonia production,2023,0.8736201478569847
AT,Ammonia production,2030,0.6625408188825083
AT,Ammonia production,2035,0.6032045791490392
AT,Ammonia production,2040,0.4725254169802684
AT,Ammonia production,2045,0.3096137230738204
AT,Ammonia production,2050,0.3426934034611817
AT,Battery,2023,0.3042788396793033
AT,Battery,2030,0.266977495372938
AT,Battery,2035,0.2017240759820341
AT,Battery,2040,0.1619510393618473
AT,Battery,2045,0.1468950474528382
AT,Battery,2050,0.1772500467190253
AT,Battery charging,2023,0.3202916145235641
AT,Battery charging,2030,0.2966414478051978
AT,Battery charging,2035,0.2241377339056504
AT,Battery charging,2040,0.1799454842951922
AT,Battery charging,2045,0.1632166568136364
AT,Battery charging,2050,0.1969444330513892
AT,Biomass CHP,2023,0.8288766614713472
AT,Biomass CHP,2030,0.5631538910560706
AT,Biomass CHP,2035,0.4879224224089752
AT,Biomass CHP,2040,0.4090355476191727
AT,Biomass CHP,2045,0.364576538782611
AT,Biomass CHP,2050,0.240047613946861
AT,Biomass CHP CC,2023,0.8803963019963306
AT,Biomass CHP CC,2030,0.338478198595131
AT,Biomass CHP CC,2035,0.1429926371081188
AT,Biomass CHP CC,2040,0.1081292482463643
AT,Biomass CHP CC,2045,0.4969214021122854
AT,Biomass CHP CC,2050,0.4691120182781384
AT,Central heat production,2023,0.174066848106343
AT,Central heat production,2030,0.4761352257353015
AT,Central heat production,2035,0.4816252572979206
AT,Central heat production,2040,0.4871706374721505
AT,Central heat production,2045,0.4322877012600905
AT,Central heat production,2050,0.4111268515496506
AT,Compression losses,2023,0.2036024352487797
AT,Compression losses,2030,0.0527036622175805
AT,Compression losses,2035,0.0903983932035475
AT,Compression losses,2040,0.0627840464012317
AT,Compression losses,2045,0.0850485114698125
AT,Compression losses,2050,0.1070426089942087
AT,Decentral heat production,2023,0.5255946502965135
AT,Decentral heat production,2030,0.5474210766278479
AT,Decentral heat production,2035,0.5512142702145446
AT,Decentral heat production,2040,0.5300153593108787
AT,Decentral heat production,2045,0.4577467110473271
AT,Decentral heat production,2050,0.4142963382640952
AT,Direct Air Carbon Capture,2030,0.2522298929568821
AT,Direct Air Carbon Capture,2035,0.1418462910448679
AT,Direct Air Carbon Capture,2040,0.0779313430998996
AT,Direct Air Carbon Capture,2045,0.1923494405708802
AT,Direct Air Carbon Capture,2050,0.3770506548833205
AT,Fuel Cell,2030,0.3709734945034315
AT,Fuel Cell,2035,0.2173251624026147
AT,Fuel Cell,2040,0.1286251502478379
AT,Fuel Cell,2045,0.1510599112063207
AT,Fuel Cell,2050,0.1539759266483822
AT,Gas,2023,0.5429999602505872
AT,Gas,2030,0.2049627802470299
AT,Gas,2035,0.1182144610426795
AT,Gas,2040,0.1203293644729577
AT,Gas,2045,0.1255166342499303
AT,Gas,2050,0.0706261434487816
AT,Gas CC,2030,0.2881749330010599
AT,Gas CC,2035,0.1605314835110704
AT,Gas CC,2040,0.1441960422719468
AT,Gas CC,2045,0.1594442127638766
AT,Gas CC,2050,0.10267728055386
AT,Gas CHP,2023,0.4074054390902676
AT,Gas CHP,2030,0.2148222315060448
AT,Gas CHP,2035,0.1222709070228237
AT,Gas CHP,2040,0.1080977503658414
AT,Gas CHP,2045,0.0527243959026572
AT,Gas CHP,2050,0.0407918057060162
AT,Gas CHP CC,2023,0.5857853333839993
AT,Gas CHP CC,2030,0.4828696141228439
AT,Gas CHP CC,2035,0.2685113489444892
AT,Gas CHP CC,2040,0.2633091505586146
AT,Gas CHP CC,2045,0.3753333795294996
AT,Gas CHP CC,2050,0.2200637170915209
AT,Hydroelectricity,2023,0.3393150887385943
AT,Hydroelectricity,2030,0.4929860269179388
AT,Hydroelectricity,2035,0.5580891642329835
AT,Hydroelectricity,2040,0.5462654803884361
AT,Hydroelectricity,2045,0.5380984249409928
AT,Hydroelectricity,2050,0.5183350487607101
AT,Hydrogen production,2023,0.0231726838911701
AT,Hydrogen production,2030,0.3406824654112343
AT,Hydrogen production,2035,0.4584926764655883
AT,Hydrogen production,2040,0.4909333651600602
AT,Hydrogen production,2045,0.4412262135628749
AT,Hydrogen production,2050,0.4846823878186219
AT,Hydrogen turbines,2030,0.170487501749267
AT,Hydrogen turbines,2035,0.0757680372756818
AT,Hydrogen turbines,2040,0.0664763008351245
AT,Hydrogen turbines,2045,0.0788212353106629
AT,Hydrogen turbines,2050,0.0842860600983267
AT,Methanol production,2023,0.989994237500104
AT,Methanol production,2030,0.6832678648698849
AT,Methanol production,2035,0.7398674522533452
AT,Methanol production,2040,0.6910576640752037
AT,Methanol production,2045,0.6446865571253175
AT,Methanol production,2050,0.6155926775975813
AT,Micro gas CHP,2030,0.5167060618384252
AT,Micro gas CHP,2035,0.5452495004441629
AT,Micro gas CHP,2040,0.5157083543566743
AT,Micro gas CHP,2045,0.4022161407094305
AT,Micro gas CHP,2050,0.2926000628728482
AT,Onwind,2023,0.0659113788837557
AT,Onwind,2030,0.0659113575521861
AT,Onwind,2035,0.0659113784813866
AT,Onwind,2040,0.0659114136284022
AT,Onwind,2045,0.0659112183914157
AT,Onwind,2050,0.0659111999888269
AT,Solar,2023,0.1195169449369708
AT,Solar,2030,0.119731382225765
AT,Solar,2035,0.1195631467099918
AT,Solar,2040,0.1193209961586736
AT,Solar,2045,0.1191875710789529
AT,Solar,2050,0.1192177917144809
AT,Transport,2023,0.0594264894366531
AT,Transport,2030,0.0594264893084221
AT,Transport,2035,0.0594264893067487
AT,Transport,2040,0.0594264893065552
AT,Transport,2045,0.0594264893063316
AT,Transport,2050,0.05942648930625
BA,Ammonia production,2023,0.6780244179509821
BA,Ammonia production,2030,0.270776911576867
BA,Ammonia production,2035,0.3826697175338275
BA,Ammonia production,2040,0.2990575213485568
BA,Ammonia production,2045,0.1568585047691434
BA,Ammonia production,2050,0.1988311477157238
