config,cost_segment,capital,marginal
2023_tot,Distribution,23327248556.671806,0.0
2023_tot,Energy production,265213344236.8588,439114944170.7701
2023_tot,Storage,31916836948.42503,0.0
2023_tot,Transmission,8056685674.100163,16103043.50617081
2030_tot,Distribution,40162998836.42023,0.0
2030_tot,Energy production,338405517392.8474,651705905450.4779
2030_tot,Storage,43333012689.67088,0.0
2030_tot,Transmission,12975660867.381983,566140005.4491316
2035_tot,Distribution,42100088793.819786,0.0
2035_tot,Energy production,379617207486.06244,594314638439.4817
2035_tot,Storage,44918074238.90753,0.0
2035_tot,Transmission,13178329477.290186,521028023.12091804
2040_tot,Distribution,46398199113.74974,0.0
2040_tot,Energy production,431215732662.8337,510183977549.058
2040_tot,Storage,45636770369.373,0.0
2040_tot,Transmission,14254148565.544182,504679964.60639477
2045_tot,Distribution,52311794050.46173,0.0
2045_tot,Energy production,517833811238.8317,398614997663.963
2045_tot,Storage,47404821366.3244,0.0
2045_tot,Transmission,17084444991.553993,1094210901.7923563
2050_tot,Distribution,56072795644.6755,0.0
2050_tot,Energy production,644656275211.473,297541615909.7848
2050_tot,Storage,50275691202.34034,0.0
2050_tot,Transmission,22581885865.077286,4034018383.10336
2023_eu27,Distribution,19078064611.083534,0.0
2023_eu27,Energy production,221388514313.15152,118291743220.04343
2023_eu27,Storage,21880520318.180126,0.0
2030_eu27,Distribution,32526533680.075043,0.0
2030_eu27,Energy production,280509926437.3378,297651753203.2112
2030_eu27,Storage,30054165701.770424,0.0
2035_eu27,Distribution,34148390147.41258,0.0
2035_eu27,Energy production,309218049786.5804,290132838615.9464
2035_eu27,Storage,30568159111.573376,0.0
2040_eu27,Distribution,37344353684.67852,0.0
2040_eu27,Energy production,345454333869.81,259923573116.32053
2040_eu27,Storage,32785289952.06497,0.0
2045_eu27,Distribution,42339614451.17833,0.0
2045_eu27,Energy production,418258610773.3479,203866258323.43954
2045_eu27,Storage,34124723651.855198,0.0
2050_eu27,Distribution,45630119641.24553,0.0
2050_eu27,Energy production,517920538415.08636,174334399402.9093
2050_eu27,Storage,35779523297.0252,0.0
2023_be,Distribution,608214575.0188338,0.0
2023_be,Energy production,6593719327.20583,4569147266.153669
2023_be,Storage,237109918.2919007,0.0
2030_be,Distribution,1166210382.2650352,0.0
2030_be,Energy production,7658065740.133571,15432317883.460562
2030_be,Storage,497812695.13331306,0.0
2035_be,Distribution,1308502277.1314423,0.0
2035_be,Energy production,7703657028.770754,15345041543.83698
2035_be,Storage,498683602.32364637,0.0
2040_be,Distribution,1445173275.8139253,0.0
2040_be,Energy production,8422144171.492919,14374297345.669512
2040_be,Storage,500461459.3070349,0.0
2045_be,Distribution,1726603333.3605134,0.0
2045_be,Energy production,9926616874.09315,12043076961.287611
2045_be,Storage,503054100.2419427,0.0
2050_be,Distribution,1847365586.8535252,0.0
2050_be,Energy production,10711539293.672867,10847862183.886753
2050_be,Storage,503882004.04023564,0.0
2023_fl,Distribution,366959689.82068187,0.0
2023_fl,Energy production,3286283803.799794,4316982808.098232
2023_fl,Storage,2228971.681691259,0.0
2030_fl,Distribution,700060351.1105742,0.0
2030_fl,Energy production,5471725822.760642,11510008901.077627
2030_fl,Storage,176780902.0172332,0.0
2035_fl,Distribution,783465788.9272614,0.0
2035_fl,Energy production,5515517146.096977,11417202623.140017
2035_fl,Storage,177066803.7294163,0.0
2040_fl,Distribution,868772822.1397159,0.0
2040_fl,Energy production,5296849317.698594,10680931407.118052
2040_fl,Storage,178213603.77072126,0.0
2045_fl,Distribution,1028302088.7375891,0.0
2045_fl,Energy production,6119682773.67236,9317035842.09201
