snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Centralized heat,Decentralized heat,Electricity,Methane,CO2 emissions,Electricity,Electricity,Electricity,Centralized heat,Electricity,Decentralized heat,CO2 emissions,Methane,Centralized heat,Decentralized heat,CO2 emissions,Electricity,Decentralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Heat Pump,Heat Pump,Nuclear,Imports,Transport emissions,Offwind,Onwind,Solar,Biomass CHP,Biomass CHP,Gas Boiler,Decentral heat production emissions,Storage,Gas Boiler,Resistive heater,Power supply emissions,Gas,Oil Boiler,Storage
2030-01-01 00:00:00,2.6938934751679593,0.325259039312778,1.7250714839732546,0.5183380831441387,0.4682090056747596,0.1209200649438292,0.3764720641269403,2.8877738104331963,1.0259999980762657,17.709178637052183,0.1914013666669169,7.083999008087895,3.3162676794929697,,1.3016750889060268e-05,4.261032219475277e-06,3.331996659499322,0.7957273227749375,0.0,0.643580037095988,0.6221891853546943,2.704128164790171e-07,6.585627965504565e-07,8.126391065261161e-07,1.493840378142591e-06
2030-01-01 03:00:00,2.6938934751679593,0.325259039312778,1.7250714838899526,0.5183380833663223,0.4682090711166753,0.1209200818449152,0.3752194567376813,2.879554117661399,1.026000141828438,18.07640407961219,0.953453943290205,6.635077159506729,2.4987561613408475,,0.8187178409965311,0.268007210776184,7.393487604261576,1.5504078009888138,0.9196877432008042,0.2974046302918771,0.6308699933238506,3.048839316380859e-07,7.987732920887051e-07,8.262330466418746e-07,1.5515710401439423e-06
2030-01-01 06:00:00,2.6938934751679593,0.325259039312778,1.7250714838053312,0.5183380835861794,0.468209071035833,0.1209200818240368,0.3732409172670469,2.8665877204579844,1.0260001573463395,18.34432986525544,2.0230698010286496,6.880576190052263,1.8355465301451563,0.014918703616804758,0.8187177536769537,0.2680071821921283,7.81664409059131,1.6442179298156492,1.1255278069110353,0.3410806691285474,0.5800732267526715,3.062894641927824e-07,8.04485780591857e-07,8.298262369495039e-07,1.5497966724286717e-06
2030-01-01 09:00:00,2.6938934751679593,0.325259039312778,1.7250714836097942,0.5183380839263849,0.4682090710695427,0.1209200818327428,0.3686121595910004,2.8363409286940326,1.0260001495665239,18.453612221902976,1.671265052566233,7.05980252020731,1.5933040307242952,0.8186510040882923,0.8187154263226333,0.2680064203329032,6.543824632053913,1.359756901382555,0.0,0.1976891090331269,0.6073239880254886,3.04408749581956e-07,7.886054756999638e-07,8.336386295853215e-07,1.5440328084195949e-06
2030-01-01 12:00:00,2.6938934751679593,0.325259039312778,1.7250714835208703,0.5183380840904699,0.4682090710038066,0.1209200818157657,0.3657138241129239,2.8173923985594547,1.0260000993100216,18.521777907060997,1.968790886174457,7.069076851259758,1.393367308476246,1.3749190341652517,0.8187000716114747,0.2680013939696022,6.322750613113502,1.3066564372223743,0.2363162138325279,0.1533867426391683,0.4403952971372029,2.903627457598364e-07,7.280972460757676e-07,8.337583984833273e-07,1.5196088472383704e-06
2030-01-01 15:00:00,2.6938934751679593,0.325259039312778,1.7250714835889007,0.5183380839837595,0.4682090717958829,0.120920082020328,0.3537357597436162,2.7390086969223764,1.026000187339057,18.4456676785363,2.2457140677135605,7.045786342238255,1.280968941600878,0.004100811864485359,0.818718733617724,0.2680075029756503,7.405780209097546,1.5402189008771299,0.6719001969939563,0.2308419536013769,9.832975757438277e-06,3.1736002189725274e-07,8.528034336318995e-07,8.313146490630581e-07,1.542532154081649e-06
2030-01-01 18:00:00,2.6938934751679593,0.325259039312778,1.7250714835875411,0.5183380839864478,0.4682090720014465,0.120920082073417,0.343427136198935,2.671546618464107,1.0260001878840952,18.335272096622287,1.031522296411377,7.081824526240475,1.5554826578088743,,0.8187187043498784,0.2680074933948237,7.367518583868255,1.5321157928306224,0.830814443810028,0.2288843511385952,9.86213052953152e-06,3.1798196156090677e-07,8.563843550197229e-07,8.28994940878199e-07,1.5517952220980192e-06
2030-01-01 21:00:00,2.6938934751679593,0.325259039312778,1.7250714835476022,0.5183380840450976,0.4682090054562171,0.1209200648873883,0.3425356314806116,2.665691137454696,1.026000189578695,18.142708875909776,0.408589934735646,7.083896843212491,1.8469834065625912,,0.7091545245414974,0.2321416691009704,4.448506114221784,0.8987804995502976,0.0,2.262315420250339e-06,9.469815252169018e-06,3.1891174472699664e-07,8.602258897249384e-07,8.199888977106988e-07,1.4736675448628555e-06
2030-01-02 00:00:00,2.6938934751679593,0.325259039312778,1.7250714834983785,0.5183380841140907,0.4682090059148538,0.1209200650058362,0.3442254449377024,2.6767250981396686,1.0260001941414423,18.307814856673787,0.1960998592361723,7.080645066270527,1.5580597710794004,,0.7258725339411567,0.2376143079572081,4.5961313185722465,0.9286068202244134,0.0,2.281355654844835e-06,9.508015552251232e-06,3.199342838059765e-07,8.647185508461624e-07,8.208634803851428e-07,1.4617973543640017e-06
2030-01-02 03:00:00,2.6938934751679593,0.325259039312778,1.7250714834086176,0.5183380842451221,0.4682090743087507,0.1209200826693034,0.3463611011154934,2.690668367781001,1.0260002018482324,18.81230667957468,0.96250817931789,7.0286865246290455,1.267187877502233,,0.8187185757437407,0.2680074512956162,8.97451950316406,1.8921569358131336,1.946855176765326,0.4146208176522455,8.256141597769126e-06,3.2325627946953694e-07,8.762832712941264e-07,8.278223497149098e-07,1.4797519303200312e-06
2030-01-02 06:00:00,2.6938934751679593,0.325259039312778,1.7250714832911338,0.5183380844173932,0.468209073510934,0.1209200824632586,0.344194608263643,2.6764728676218295,1.0260002091780631,19.07367663543758,2.0797998993898705,4.374990992455641,0.7625539082294134,0.01925652868891519,0.8187185851994008,0.2680074543909256,9.160159358729942,1.9386604966455612,1.9154872710362545,0.4618763091961217,0.2171875254871545,3.238279307317204e-07,8.786125321776263e-07,8.773173542183285e-07,1.6776434259699217e-06
2030-01-02 09:00:00,2.6938934751679593,0.325259039312778,1.7250714831083267,0.5183380846776487,0.468209073516246,0.1209200824646305,0.3544931981860392,2.74378505721816,1.026000150069797,19.08708927496849,1.7473209700098329,2.1359149202245007,0.4690025752687411,2.0368121917210495,0.8187155071149796,0.2680064467802704,7.930436484440455,1.6577670549284726,1.3435035094749477,0.2914885046009484,1.5334138121243673e-05,3.0348657029190314e-07,7.77078074045253e-07,8.372173361594519e-07,1.4953014296181417e-06
2030-01-02 12:00:00,2.6938934751679593,0.325259039312778,1.7250714830678064,0.5183380847287136,0.468209073771776,0.1209200825306239,0.367286752062602,2.8274393589192925,1.026000152011688,18.835644136645985,2.048805680997458,3.8792072307840675,0.6581638732787163,1.0298541438731241,0.8187137289593633,0.2680058647011912,7.406731300174449,1.5398017352783961,0.5479124051416875,0.2276414571102892,1.5765193659785256e-05,3.024752959489073e-07,7.754877554420797e-07,8.334475986137229e-07,1.4948154697850477e-06
2030-01-02 15:00:00,2.6938934751679593,0.325259039312778,1.7250714831508185,0.518338084583693,0.4682090741071595,0.1209200826172404,0.3640922359295436,2.8065099521747694,1.0260001939371812,18.42684122061738,2.289468866683737,6.704015277315733,0.982331539392462,,0.8187185578054433,0.2680074454235162,8.037821821762861,1.6813982484020829,1.2365074047907256,0.3016520046264316,8.933836712040553e-06,3.1928443627955024e-07,8.605429595688279e-07,8.306459311631769e-07,1.5388964865134813e-06
2030-01-02 18:00:00,2.6938934751679593,0.325259039312778,1.72507148314625,0.5183380845710778,0.4682090738437649,0.1209200825492158,0.3634660625672951,2.8023827059943978,1.0260001890811734,17.929095583631142,1.0846783521496648,7.082795171124937,1.8981320244192972,,0.8187185035605531,0.2680074276664564,7.927626136642766,1.6567280834458027,1.6098514239791113,0.2890137036124424,9.161758864870798e-06,3.195245056578972e-07,8.588289922091507e-07,8.28276802848108e-07,1.568424178525312e-06
2030-01-02 21:00:00,2.6938934751679593,0.325259039312778,1.7250714831228844,0.5183380845895433,0.4682090088037869,0.1209200657519345,0.367163247263565,2.8265359932919765,1.0260001721437422,17.27649613990695,0.433494066635385,7.083960632468855,2.4549597343521894,,0.7370887865948482,0.2412859472431164,4.740704549178831,0.9578165416209646,,2.4361339814083184e-06,1.5536512522616915e-05,3.138401810451241e-07,8.343561734276295e-07,8.155296833587984e-07,1.5258177554297303e-06
2030-01-03 00:00:00,2.6938934751679593,0.325259039312778,1.7250714830804836,0.5183380846392152,0.4682090092860368,0.1209200658764808,0.3724032535728583,2.8607827077740375,1.0260001708521873,16.787733074938195,0.1972725118436349,7.074669444588067,1.854831376310701,,0.4421613567238444,0.1447414799026871,2.2096177718240044,0.44643365603549706,0.0,2.203991119756237e-06,1.820911956407093e-05,3.131144129835404e-07,8.313801727161814e-07,8.061793550974527e-07,1.4991599952883828e-06
2030-01-03 03:00:00,2.6938934751679593,0.325259039312778,1.7250714830128837,0.5183380847309864,0.46820901627681,0.1209200676819239,0.3781973177804484,2.8986598125295515,1.0260000272259475,16.727044016159734,0.9079110149872618,7.081658010393584,1.6963953237997471,,1.243774136199556e-05,4.071493503459795e-06,4.875442855195825,1.1278289842502636,0.4774324555704661,0.7500095021005233,1.825575793592941e-05,2.7610137054594427e-07,6.710072623718366e-07,8.103792006069527e-07,1.5460389711777517e-06
2030-01-03 06:00:00,2.6938934751679593,0.325259039312778,1.7250714829285365,0.5183380848529656,0.4682090744287926,0.1209200827003056,0.3833419611027351,2.932280417588228,1.0260000380983691,16.642782102528745,1.9686974229379743,7.075048970912682,1.451934107303684,0.0,1.2343793775112406e-05,4.0407397694394634e-06,5.081040009503528,1.173672691064985,0.5628358087711968,0.7726199906456895,1.8592422375204003e-05,2.757438787174987e-07,6.707938667748369e-07,8.130489041342048e-07,1.5556411281597982e-06
2030-01-03 09:00:00,2.6938934751679593,0.325259039312778,1.7250714828116729,0.5183380850158446,0.4682090752725327,0.1209200829182106,0.3893677432117767,2.971645567345551,1.0260000283947168,16.487705525569012,1.728246758387031,6.934039446478718,1.2945578535903997,0.33649120209737127,1.0494906078536746e-05,3.435506550148051e-06,4.192474125962298,0.9742415301853288,0.3030743251023523,0.6680706559511107,1.547799586236375e-05,2.759380576606778e-07,6.618558742379051e-07,8.148561969162168e-07,1.5604625154687078e-06
2030-01-03 12:00:00,2.6938934751679593,0.325259039312778,1.725071482765882,0.5183380850668424,0.4682090760496384,0.1209200831189066,0.3957732031266157,3.01350615712559,1.0260000314811422,16.23288669924057,2.032093218214521,7.049859457761211,1.4866949172164423,0.49743672275138007,1.052656066249336e-05,3.4458686753268127e-06,3.879740227498101,0.9038537482380808,0.0,0.630237928544709,1.5412140093542016e-05,2.7674068511413697e-07,6.636190549167386e-07,8.129586792298244e-07,1.5544702232529712e-06
2030-01-03 15:00:00,2.6938934751679593,0.325259039312778,1.7250714827750455,0.5183380850293734,0.468209076984643,0.1209200833603817,0.3948534595755399,3.007460083181933,1.0260001737404774,15.92593342901545,2.251422062354538,6.945998827617336,1.3157795742503648,0.0037038256959766942,0.6747958326249694,0.2208943544275066,4.261366059628092,0.8609706655187249,0.0,2.7823023960521144e-06,1.6639857218326732e-05,3.1053782749380933e-07,8.170766959388157e-07,8.076764575721189e-07,1.5624591575352306e-06
2030-01-03 18:00:00,2.6938934751679593,0.325259039312778,1.7250714827463631,0.5183380850525153,0.4682090703616464,0.1209200816499208,0.3925069482983108,2.99207773940131,1.026000181086723,15.684447675435118,1.126115978481087,6.647897659784469,1.1597181027445007,,0.6726381063423562,0.2201880229251691,4.206377116233474,0.8498605651200898,,2.3184435822777222e-06,1.6530077387306943e-05,3.158723046995335e-07,8.40737042984826e-07,8.039064733837652e-07,1.5636351342799252e-06
2030-01-03 21:00:00,2.6938934751679593,0.325259039312778,1.7250714827174847,0.518338085076873,0.4682090139742403,0.1209200670872603,0.3913698319028942,2.9846040349121097,1.0260001891694315,15.47520941667513,0.453226219718712,6.906745826720549,1.1060447007349936,,0.4442210224499778,0.145415711290781,2.26701814917722,0.45803085206044164,,2.0929606995788043e-06,8.52799943839749e-06,3.20504521858187e-07,8.617965614933123e-07,7.993195860557418e-07,1.5472618359814166e-06
2030-01-04 00:00:00,2.6938934751679593,0.325259039312778,1.7250714826793265,0.5183380851200938,0.4682090152985606,0.1209200674292804,0.3891084159791599,2.969778286352905,1.0260001790915525,15.528047411987576,0.2048684924665154,6.918307239059739,1.0110383300627084,,0.4617944048407698,0.1511683564178578,2.4138269507154435,0.4876922487692937,0.0,2.230475872303436e-06,1.6272978280275895e-05,3.160167850019644e-07,8.426447667481206e-07,8.009184305276847e-07,1.5361379840359702e-06
2030-01-04 03:00:00,2.6938934751679593,0.325259039312778,1.7250714826057616,0.5183380852200071,0.4682090173559788,0.1209200679606311,0.3870426824124879,2.9562381364743455,1.0260001837991637,15.839701545365235,0.8608655104645769,6.912479488491796,1.041519065988445,,0.8054089492222763,0.2636505462645146,5.371203559340533,1.0852030816867078,0.8618132790511591,2.470961462323835e-06,1.6423584165792038e-05,3.1729479505054927e-07,8.468637479327611e-07,8.111757908780461e-07,1.556409818013455e-06
2030-01-04 06:00:00,2.6938934751679593,0.325259039312778,1.7250714825244295,0.518338085335383,0.4682090816636995,0.1209200845687989,0.3857384096362501,2.9476755928211062,1.0260001916781771,16.074891525232115,1.8468124511104889,5.745533817023091,0.8002802823342181,,0.8187186146456605,0.2680074640301562,5.640232307969428,1.1430197440173209,0.8861028755324077,0.0181860454226473,1.4929464662189226e-05,3.172124541042838e-07,8.502166811275758e-07,8.164333870131272e-07,1.5538153348196257e-06
2030-01-04 09:00:00,2.6938934751679593,0.325259039312778,1.725071482418665,0.5183380854840469,0.4682090828084153,0.1209200848644342,0.3859712136705668,2.9491427801362735,1.0260001454562864,16.212842272321183,1.970345589072114,4.009868659366621,0.6461925812631472,0.22108153247069695,0.7294146871360513,0.2387738314833477,4.71414656052898,0.9524523180189113,0.6879264496819233,1.0698866788414665e-05,6.051427222349674e-06,2.9955178241766306e-07,7.607272792269652e-07,8.190333765796792e-07,1.5535224413248871e-06
2030-01-04 12:00:00,2.6938934751679593,0.325259039312778,1.725071482397743,0.5183380854972435,0.4682090843415206,0.1209200852603753,0.3841620906294248,2.9372701539161112,1.0260001796570686,16.196717428543096,2.460274775096364,3.251494637878572,0.5431706366911944,0.2246555413264694,0.6970206442019563,0.2281696444755706,4.431087808548524,0.8952615112334938,0.0,3.4233436089198898e-06,5.917862692493028e-06,3.104829134091596e-07,8.111031466765176e-07,8.179046517386624e-07,1.5469596285455731e-06
2030-01-04 15:00:00,2.6938934751679593,0.325259039312778,1.7250714824205473,0.5183380854371208,0.4682090856760896,0.1209200856050423,0.3798472435594698,2.909014622875089,1.0260002038263822,16.137670148976127,2.300157591914859,2.7252301586584338,0.4359673577195326,,0.7566302094798768,0.2476828302469602,4.868281624077824,0.9835922635592798,0.1399453812724095,2.150699356121733e-06,6.535798277225909e-06,3.2352416111704495e-07,8.840816864744741e-07,8.151030408652871e-07,1.5549225592219026e-06
2030-01-04 18:00:00,2.6938934751679593,0.325259039312778,1.7250714823841315,0.5183380854671473,0.468208983920454,0.1209200593255433,0.3756722064141503,2.881677747209283,1.026000202855829,16.110983286755264,1.259455803279024,3.0967744403282738,0.5328045956646603,,0.7440602664089426,0.243568060526105,4.818996973653368,0.9736347516694324,0.2146026047821506,2.1498394961777243e-06,6.488462824409006e-06,3.243301330613531e-07,8.871757157278415e-07,8.125595645367732e-07,1.5593522451045268e-06
