country,sector,year,cfs
AL,Ammonia production,2023,0.6188021750863942
AL,Ammonia production,2030,0.3685918682563882
AL,Ammonia production,2035,0.3685918682563882
AL,Ammonia production,2040,0.2558772669796565
AL,Ammonia production,2045,0.1124203562068256
AL,Ammonia production,2050,0.1139714119150363
AL,Battery,2023,0.3061796720218901
AL,Battery,2030,0.1800625139769451
AL,Battery,2035,0.1800625139769451
AL,Battery,2040,0.2120825166537023
AL,Battery,2045,0.2250189625835481
AL,Battery,2050,0.2339735692537455
AL,Battery charging,2023,0.322292687340497
AL,Battery charging,2030,0.2000694346703447
AL,Battery charging,2035,0.2000694346703447
AL,Battery charging,2040,0.2356472151916857
AL,Battery charging,2045,0.2500210514222842
AL,Battery charging,2050,0.2599706077828665
AL,Biomass CHP,2023,0.9951973462427968
AL,Biomass CHP,2030,0.4083731208291596
AL,Biomass CHP,2035,0.4083731208291596
AL,Biomass CHP,2040,0.3709790426303037
AL,Biomass CHP,2045,0.3015115886098956
AL,Biomass CHP,2050,0.2641499099475957
AL,Biomass CHP CC,2023,0.7847575635656179
AL,Biomass CHP CC,2030,0.1701356908949146
AL,Biomass CHP CC,2035,0.1701356908949146
AL,Biomass CHP CC,2040,0.1337807449772817
AL,Biomass CHP CC,2045,0.411177282955645
AL,Biomass CHP CC,2050,0.4225995162916064
AL,Central heat production,2023,0.1816974074602157
AL,Central heat production,2030,0.3478016023225981
AL,Central heat production,2035,0.3478016023225981
AL,Central heat production,2040,0.3501429468415141
AL,Central heat production,2045,0.4164696769723581
AL,Central heat production,2050,0.3800296831860005
AL,Compression losses,2023,0.0114089895255809
AL,Compression losses,2030,0.1270403043054763
AL,Compression losses,2035,0.1270403043054763
AL,Compression losses,2040,0.1088070660050452
AL,Compression losses,2045,0.0901349910397843
AL,Compression losses,2050,0.0629042565413424
AL,Decentral heat production,2023,0.4825036375367267
AL,Decentral heat production,2030,0.4974479667183391
AL,Decentral heat production,2035,0.4974479667183391
AL,Decentral heat production,2040,0.4985257634416226
AL,Decentral heat production,2045,0.3937717095327419
AL,Decentral heat production,2050,0.3609058563204501
AL,Direct Air Carbon Capture,2030,0.1692303760914731
AL,Direct Air Carbon Capture,2035,0.1692303760914731
AL,Direct Air Carbon Capture,2040,0.1066778541434268
AL,Direct Air Carbon Capture,2045,0.2562779561386991
AL,Direct Air Carbon Capture,2050,0.3858472209731672
AL,Fuel Cell,2030,0.2386172008734271
AL,Fuel Cell,2035,0.2386172008734271
AL,Fuel Cell,2040,0.1510315132697471
AL,Fuel Cell,2045,0.128281146736656
AL,Fuel Cell,2050,0.1239603989015391
AL,Gas,2023,0.2245150830200022
AL,Gas,2030,0.2225169899909795
AL,Gas,2035,0.2225169899909795
AL,Gas,2040,0.2014069087351115
AL,Gas,2045,0.1431937863499218
AL,Gas,2050,0.0642238403116255
AL,Gas CC,2030,0.1803203296556599
AL,Gas CC,2035,0.1803203296556599
AL,Gas CC,2040,0.1642012331897002
AL,Gas CC,2045,0.1675449782567447
AL,Gas CC,2050,0.0892859256709956
AL,Gas CHP,2023,0.4104146113604877
AL,Gas CHP,2030,0.1288592528780227
AL,Gas CHP,2035,0.1288592528780227
AL,Gas CHP,2040,0.1243966023146481
AL,Gas CHP,2045,0.0566059023794254
AL,Gas CHP,2050,0.0331464726738025
AL,Gas CHP CC,2023,0.5798687296491543
AL,Gas CHP CC,2030,0.2591016788672608
AL,Gas CHP CC,2035,0.2591016788672608
AL,Gas CHP CC,2040,0.2293993074050595
AL,Gas CHP CC,2045,0.296300709294571
AL,Gas CHP CC,2050,0.1548809778024943
AL,Hydroelectricity,2023,0.3775546841061044
AL,Hydroelectricity,2030,0.3769599148389384
AL,Hydroelectricity,2035,0.3769599148389384
AL,Hydroelectricity,2040,0.3774712270839221
AL,Hydroelectricity,2045,0.3775147103476961
AL,Hydroelectricity,2050,0.3774934353537608
AL,Hydrogen production,2023,0.1263985639806601
AL,Hydrogen production,2030,0.3760994296300204
AL,Hydrogen production,2035,0.3760994296300204
AL,Hydrogen production,2040,0.4279598874265569
AL,Hydrogen production,2045,0.4654670654861704
AL,Hydrogen production,2050,0.542865715003426
AL,Hydrogen turbines,2030,0.0905633779711701
AL,Hydrogen turbines,2035,0.0905633779711701
AL,Hydrogen turbines,2040,0.0837856045130924
AL,Hydrogen turbines,2045,0.0821401365388171
AL,Hydrogen turbines,2050,0.0775395840642178
AL,Methanol production,2023,0.8005844991533292
AL,Methanol production,2030,0.7979009578658607
AL,Methanol production,2035,0.7979009578658607
AL,Methanol production,2040,0.7493033110156286
AL,Methanol production,2045,0.5759412971960503
AL,Methanol production,2050,0.6242286113355435
AL,Micro gas CHP,2030,0.5119008876180258
AL,Micro gas CHP,2035,0.5119008876180258
AL,Micro gas CHP,2040,0.4908899685951697
AL,Micro gas CHP,2045,0.3811493250908897
AL,Micro gas CHP,2050,0.2621992413786954
AL,Offwind,2023,
AL,Offwind,2030,0.1307020998771997
AL,Offwind,2035,0.1307020998771997
AL,Offwind,2040,0.132976308145536
AL,Offwind,2045,0.1448521319939003
AL,Offwind,2050,0.1399786816409239
AL,Onwind,2023,
AL,Onwind,2030,0.0174991056294412
AL,Onwind,2035,0.0174991056294412
AL,Onwind,2040,0.0194541080371828
AL,Onwind,2045,0.0303980236854495
AL,Onwind,2050,0.0273130040725533
AL,Solar,2023,0.1500765900083095
AL,Solar,2030,0.148744355392964
AL,Solar,2035,0.148744355392964
AL,Solar,2040,0.1474568437641227
AL,Solar,2045,0.1458227667201798
AL,Solar,2050,0.1460993159222891
AL,Transport,2023,0.019081589517359
AL,Transport,2030,0.0190815890128146
AL,Transport,2035,0.0190815890128146
AL,Transport,2040,0.0190815890125254
AL,Transport,2045,0.0190815890121281
AL,Transport,2050,0.0190815890119851
AT,Ammonia production,2023,0.8736201478569847
AT,Ammonia production,2030,0.6322088608238815
AT,Ammonia production,2035,0.6322088608238815
AT,Ammonia production,2040,0.5023962335415164
AT,Ammonia production,2045,0.3139980263409181
AT,Ammonia production,2050,0.315629467054686
AT,Battery,2023,0.3042788396793033
AT,Battery,2030,0.2246891487768111
AT,Battery,2035,0.2246891487768111
AT,Battery,2040,0.1879243474077397
AT,Battery,2045,0.1852083436628168
AT,Battery,2050,0.1882083326633313
AT,Battery charging,2023,0.3202916145235641
AT,Battery charging,2030,0.2496545102588188
AT,Battery charging,2035,0.2496545102588188
AT,Battery charging,2040,0.2088047313283587
AT,Battery charging,2045,0.2057869779926557
AT,Battery charging,2050,0.2091202817765781
AT,Biomass CHP,2023,0.8288766614713472
AT,Biomass CHP,2030,0.4975289234015987
AT,Biomass CHP,2035,0.4975289234015987
AT,Biomass CHP,2040,0.4170888456916804
AT,Biomass CHP,2045,0.3588240336052976
AT,Biomass CHP,2050,0.2394837824967654
AT,Biomass CHP CC,2023,0.8803963019963306
AT,Biomass CHP CC,2030,0.1590531586398798
AT,Biomass CHP CC,2035,0.1590531586398798
AT,Biomass CHP CC,2040,0.1305047635799076
AT,Biomass CHP CC,2045,0.4812409703631488
AT,Biomass CHP CC,2050,0.4671868933608933
AT,Central heat production,2023,0.174066848106343
AT,Central heat production,2030,0.4771085704056488
AT,Central heat production,2035,0.4771085704056488
AT,Central heat production,2040,0.4508353895652652
AT,Central heat production,2045,0.4127351317156524
AT,Central heat production,2050,0.3985341361190409
AT,Compression losses,2023,0.2036024352487797
AT,Compression losses,2030,0.0823026009177237
AT,Compression losses,2035,0.0823026009177237
AT,Compression losses,2040,0.0541826539473432
AT,Compression losses,2045,0.0758193041431048
AT,Compression losses,2050,0.1161372485062184
AT,Decentral heat production,2023,0.5255946502965135
AT,Decentral heat production,2030,0.5419292207130121
AT,Decentral heat production,2035,0.5419292207130121
AT,Decentral heat production,2040,0.5302763591200985
AT,Decentral heat production,2045,0.4580041955898261
