config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213344858.57843,345746986571.7775,345746986571.7775,398099530783.9926,508662224548.02,638649044015.3271
prod_tot,Energy production,marginal,439114944879.3298,612146605565.4166,612146605565.4166,524318650424.19543,391353681938.7867,290452241838.8865
prod_tot,Energy production,total,704328289737.9082,957893592137.1941,957893592137.1941,922418181208.188,900015906486.8066,929101285854.2136
sto_tot,Storage,capital,31916837851.305042,45020247097.87053,45020247097.87053,47058972574.81536,49434941184.50579,53120920449.64101
sto_tot,Storage,total,31916837851.305042,45020247097.87053,45020247097.87053,47058972574.81536,49434941184.50579,53120920449.64101
tran_tot,Transmission,capital,8056685674.100163,13346045122.200464,13346045122.200464,15254736669.22794,18833154053.148766,25461250870.66003
tran_tot,Transmission,marginal,16103043.50617081,553840783.6485027,553840783.6485027,548543251.1414449,1123553121.4792876,3988592675.7865744
tran_tot,Transmission,total,8072788717.606335,13899885905.848967,13899885905.848967,15803279920.369385,19956707174.62805,29449843546.446606
distr_tot,Distribution,capital,23327248556.671806,41114615520.96647,41114615520.96647,45238600837.46334,52503621595.286606,56234762900.41453
distr_tot,Distribution,total,23327248556.671806,41114615520.96647,41114615520.96647,45238600837.46334,52503621595.286606,56234762900.41453
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388513338.0256,280236948395.17053,280236948395.17053,314964882293.8714,401720544716.0379,497552735699.0323
prod_eu27,Energy production,marginal,118291743625.89442,302876528684.4874,302876528684.4874,271179088826.69785,202036208274.0295,173128906806.5588
prod_eu27,Energy production,total,339680256963.92004,583113477079.658,583113477079.658,586143971120.5692,603756752990.0674,670681642505.5911
sto_eu27,Storage,capital,21880521002.743176,30665609783.71093,30665609783.71093,33810377341.586235,35504238611.89778,37202744487.54706
sto_eu27,Storage,total,21880521002.743176,30665609783.71093,30665609783.71093,33810377341.586235,35504238611.89778,37202744487.54706
distr_eu27,Distribution,capital,19078064611.083534,33314853045.232,33314853045.232,36469654625.18452,42367222263.23527,45680439288.01211
distr_eu27,Distribution,total,19078064611.083534,33314853045.232,33314853045.232,36469654625.18452,42367222263.23527,45680439288.01211
net_imp_eu27,Net_Imports,H2,0,-53509472.9649564,-53509472.9649564,-231374033.7126484,-141854820.25318772,852657223.5366775
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1495701057.6292,-1495701057.6292,-110483641.92721558,75030394.47922897,308967915.9830551
net_imp_eu27,Net_Imports,gas,363621985.20133185,-1038657508.9707263,-1038657508.9707263,-1041822527.4533534,-792448490.6748677,-442575329.133786
net_imp_eu27,Net_Imports,total,919873847.4494474,-2587868039.5648823,-2587868039.5648823,-1383680203.0932174,-859272916.4488266,719049810.3859465
prod_be,Energy production,capital,6593719170.822701,8164715741.55782,8164715741.55782,7953574362.39095,9305286643.59807,10399812858.027418
prod_be,Energy production,marginal,4569147702.6638155,15690772413.151333,15690772413.151333,14672157522.056871,11941329386.619385,10711904062.094168
