countries,carrier,2023,2023_std,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
AL,gas,20.96019335143736,0.9035008140458984,28.03956695386661,0.6674478355679145,28.03956695386661,0.6674478355679145,27.932058146849243,0.4529260566220162,27.813939429217164,0.2993077739501967,27.799048639791312,0.3188983948431708
AT,gas,20.852386255614885,6.651675768114089e-07,28.344335254783836,8.460389686102114e-08,28.344335254783836,8.460389686102114e-08,28.208939620542356,1.3746091296656632e-08,26.714616117192623,9.328525882801841e-08,26.57838075092368,1.0830739784802393e-07
BA,gas,21.09114401527548,0.7535499940245514,28.195790716594768,0.0385673716741534,28.195790716594768,0.0385673716741534,28.19843004331609,0.0478187173131808,28.08028797362329,0.0972654877298573,27.83334514979205,0.1132453735376093
BG,gas,20.099999082685976,5.024792568955116e-07,24.999996426775468,3.237193355722415e-07,24.999996426775468,3.237193355722415e-07,24.99999624074141,1.528153043201699e-07,24.999995723464295,1.062270647997558e-07,24.999992901272982,4.1665720355019593e-08
BX,gas,20.15370629609641,0.0535042101311588,26.27870690656266,0.0222597382438813,26.27870690656266,0.0222597382438813,26.277107284354567,0.0345165591721182,26.277960660188132,0.0396846206738131,26.27571693614962,0.0427206452047475
CH,gas,21.01068020166085,0.910378830136559,29.674588661793926,1.5186824527089375,29.674588661793926,1.5186824527089375,29.22764372587458,1.429282976154215,27.90555338077032,1.4575812660309744,27.728989572279936,1.1072095170417862
CZ,gas,20.68002375022467,3.282191646567377e-07,26.69329692125278,3.9497477907265867e-07,26.69329692125278,3.9497477907265867e-07,26.70363328817164,8.542566745013793e-08,26.62479123987857,1.3792566932008314e-07,26.551959505232908,1.324679660639784e-07
DE,gas,20.100000008262676,1.6331442828500493e-08,24.999999964098052,3.497711943986316e-08,24.999999964098052,3.497711943986316e-08,24.999999951175592,2.0362462026067183e-08,24.999999934925867,2.3555429312797987e-08,24.99999993869605,6.420747612305861e-09
DK,gas,20.58526741459282,0.0178500343119359,26.498504740788363,0.040468977124795,26.498504740788363,0.040468977124795,25.738528770097723,1.4981887488781e-06,25.632305315658076,5.990796323549688e-07,25.67989679341614,1.7558767300681676e-07
EE,gas,20.09998968482411,1.0092589780684788e-05,24.999979756437796,1.3349101446372614e-05,24.999979756437796,1.3349101446372614e-05,24.99998118121051,7.926791938064171e-06,24.99994366829947,2.642932135676359e-05,22.53446686653845,0.3983273505548306
ES,gas,20.367494412916137,0.0794040354952195,25.926088653009742,0.0870393896754974,25.926088653009742,0.0870393896754974,25.951055546696416,0.0905010966672024,25.743408688759505,0.1667068364810693,25.68438445022957,0.1259412987912103
FI,gas,20.14770172452032,0.3795502840026868,25.81431755353574,1.4727842660177817,25.81431755353574,1.4727842660177817,25.262241334891257,0.8203160767267287,25.007771569117537,0.1073857799301863,24.999993566770545,2.577489971172906e-06
FL,gas,20.10163802736741,0.0079806120567804,24.999999635320908,3.566004309331279e-07,24.999999635320908,3.566004309331279e-07,24.999999510994172,3.683811039676285e-07,24.99999939328968,4.3293762122481034e-07,24.999999235723724,4.2891846974213714e-07
FR,gas,20.10000003908636,4.5992239165353424e-08,24.99999999343658,6.70711096425253e-08,24.99999999343658,6.70711096425253e-08,24.999999931040875,2.3758113730989863e-08,24.99999987031045,3.1704005115814116e-08,24.999999837012545,5.700731334765901e-09
GB,gas,20.31987111932864,2.02711003741683e-06,25.900908149699724,1.083125380128278e-06,25.900908149699724,1.083125380128278e-06,25.864075553518457,2.480177487178021e-07,25.97599233534547,1.809377732225969e-07,25.723070273189354,3.2721256114394865e-08
GR,gas,20.09999978609781,9.330903910085015e-08,24.99999836111525,6.927446746765763e-07,24.99999836111525,6.927446746765763e-07,24.999998389538145,6.657073127242528e-07,24.99999809413793,7.688695294616174e-07,24.999998606134337,3.055056371887739e-07
HR,gas,20.879693525306873,0.34762640495492,26.786710397776503,0.0232516657333447,26.786710397776503,0.0232516657333447,26.80540124775474,2.6098654555395747e-06,26.709013130635828,0.0043551854258197,26.47655094469332,3.108946134837523e-07
HU,gas,20.14202946855809,1.9920491186371126e-06,24.99999969380411,3.556904829088014e-08,24.99999969380411,3.556904829088014e-08,24.999999654578687,2.9884286899562605e-08,24.999999532956046,1.1805321387171298e-08,24.999999472405374,1.7467938974603856e-08
IE,gas,20.099999837631735,1.2177963823491996e-07,24.999999093152866,1.49353747349852e-07,24.999999093152866,1.49353747349852e-07,24.9999989253138,1.2218561122162884e-07,24.999998654909984,1.591083723298855e-07,24.99999823769809,3.2334655558766364e-08
IT,gas,20.09999912264596,1.1556046646754785e-06,24.99999709442704,3.1738519298379263e-06,24.99999709442704,3.1738519298379263e-06,24.99999651240035,3.5571276065648653e-06,24.99999281532852,3.954884824983823e-06,24.999985306176956,7.192804444002964e-06
LT,gas,20.099999221145033,3.402643048426984e-07,24.999995531556,1.6089089704494858e-06,24.999995531556,1.6089089704494858e-06,24.999995907281352,1.3842473357288211e-06,24.99998061064009,1.710823090155629e-05,19.65528651219608,0.9203042826842446
LU,gas,20.37526539205401,0.0995614579269106,27.67667858886559,0.9292241194135435,27.67667858886559,0.9292241194135435,27.403134774327,0.8229868075253913,26.949987444278488,0.8183206549763267,26.71632108855223,0.6577193027343327
LV,gas,20.10000016994419,5.7063081014470554e-08,24.999986104108224,1.4043521126663761e-08,24.999986104108224,1.4043521126663761e-08,24.99997853925748,3.0319863279565318e-09,24.999910636552208,2.6183115278081242e-09,20.44053217381092,1.2734889614145769e-08
ME,gas,20.693860726191264,0.8513464950321189,27.91414013467507,0.6710694453663835,27.91414013467507,0.6710694453663835,28.014162112780348,0.3495832788207086,27.562178419206266,0.2582761448973371,26.06132442606407,0.1243813811121291
MK,gas,20.66060793589077,0.8809687889120406,26.658308204316764,0.6441682190699932,26.658308204316764,0.6441682190699932,26.57774350200781,0.3925417860827588,26.47180552312112,0.1998454335383104,26.464096444168376,0.2151067126614269
NL,gas,20.10000000762087,4.781365485080019e-09,24.9999998576596,3.2569814917710243e-08,24.9999998576596,3.2569814917710243e-08,24.999999760160428,7.616731886948602e-09,24.999999704630785,2.5024613685711383e-08,24.999999663298183,1.8179154117066462e-09
NO,gas,20.099999822868572,1.1458341136026076e-07,24.999999803135186,3.844333088744594e-08,24.999999803135186,3.844333088744594e-08,24.99999984594244,2.6204046855760003e-08,24.999999853271625,4.3937050259261136e-08,24.999998527715608,2.7801569494717505e-07
PL,gas,20.96047627110432,2.9119501758743216e-07,25.00000043635602,1.3632150671667945e-07,25.00000043635602,1.3632150671667945e-07,25.000000056339672,8.207276054539992e-08,24.999999888499104,1.2786067916381888e-08,24.99999982908476,1.2012469708622891e-08
PT,gas,20.100000302052862,2.6602760455185514e-07,24.999998687555877,4.259584194653851e-07,24.999998687555877,4.259584194653851e-07,24.99999728063208,1.874780449513773e-07,24.999995979450585,2.4194248098945593e-07,24.99999588448921,5.4573674846370294e-08
RO,gas,20.09999976866797,5.1646360889337e-08,24.999998984349663,5.004865794313563e-08,24.999998984349663,5.004865794313563e-08,24.999998442734377,3.520749802898409e-09,24.999998469218976,3.0188159185070942e-09,24.99999841870663,6.650646931074907e-10
RS,gas,20.796149972939908,0.4555888197407993,29.762966899312307,0.0855174507506932,29.762966899312307,0.0855174507506932,29.71402385869661,0.0452640531955283,29.423167344424517,1.5918421682871478e-05,27.704001880171976,3.681823159609973e-07
SE,gas,20.63847424896233,0.647791735561661,26.51319415206928,0.0001712769998003,26.51319415206928,0.0001712769998003,26.50873127482856,7.449998806951221e-06,26.33658676345757,6.1904987697739225e-06,25.000003036464317,3.82037413209805e-07
SI,gas,21.032562592923338,0.325343044511135,28.184023416329534,0.0898896844736911,28.184023416329534,0.0898896844736911,28.19013405384092,0.1001127169514069,28.09195991753361,0.1391251422588656,27.854155715568115,0.1418041869720102
SK,gas,20.09999990316902,7.94937780259807e-09,24.999999238587343,7.170535511173485e-08,24.999999238587343,7.170535511173485e-08,24.999999260768377,2.9581687658893363e-08,24.999999209571087,1.2792971430914752e-08,24.99999929796595,1.4281953019691078e-08
WL,gas,20.212655239291127,0.0554028655883376,26.501177330393933,0.2283516202074915,26.501177330393933,0.2283516202074915,26.49585785950285,0.2629551946256529,26.444671182792725,0.2686961192338256,26.43141053804416,0.2952805240125458
AL,elec,63.096894575234714,1.992474993855752,70.27512296519086,24.34087359364922,70.27512296519086,24.34087359364922,70.72775818332292,31.210424599129375,74.84448320823782,44.871006015913025,74.22784406919912,49.837461902850265
AT,elec,59.058414507603466,3.0578219131967543,71.38857577620598,22.924041400735,71.38857577620598,22.924041400735,75.77135451618688,33.615607383964516,79.9663559810699,47.724188731952495,78.44945417673769,51.66144464577389
BA,elec,63.74175041390004,1.0338273346782612,72.1237862139042,22.73301258713442,72.1237862139042,22.73301258713442,72.8696260696045,31.27653556919142,76.76636361904683,45.638487732846514,75.83182251328346,50.59607892590205
BG,elec,64.52876145775238,0.5761112305355516,70.11277077001397,24.320082264345817,70.11277077001397,24.320082264345817,70.74065367800468,31.62462539109437,74.6757699294688,44.57533506708761,74.03744433298066,48.15989575593551
BX,elec,53.34323197256809,5.18190981641177,63.66519267033656,30.69273269589385,63.66519267033656,30.69273269589385,69.23893240629548,53.16506063675793,72.74727373298612,59.910795274291885,69.72918178208171,59.00963854195195
CH,elec,54.733397730920494,3.399917874242164,66.34831316701094,26.69163656743159,66.34831316701094,26.69163656743159,69.9207656219222,33.63954167126904,73.46285817329365,45.6930537908075,72.49281853920762,47.86630382564237
CZ,elec,67.52565053598926,3.9482852397566153,70.99462597501736,26.864540493011106,70.99462597501736,26.864540493011106,75.89361472332224,39.492371740434166,79.98847011102085,52.93086642895039,78.36503604145132,57.974658547621395
DE,elec,56.69030514003494,4.459922223092705,65.15181521911082,29.367472812954382,65.15181521911082,29.367472812954382,70.42016339048048,42.86599132868462,75.80277240923294,57.84681448656968,74.73891042289672,62.13400423128834
DK,elec,44.477431167717896,10.061592787244445,52.54903350487106,26.454143824686945,52.54903350487106,26.454143824686945,54.497853886631475,37.986667783147034,58.49086535124711,49.02913420228251,55.28709450911661,46.761942136263016
EE,elec,54.95957710210832,5.2961235091641345,62.180827240936566,20.471678743460412,62.180827240936566,20.471678743460412,60.22543137039824,24.64348803831142,60.57026956211033,35.821817108323,61.10638506468268,47.88553472053865
ES,elec,41.85609513831575,13.30477527261214,63.05274676674848,31.363723329043022,63.05274676674848,31.363723329043022,67.92460064957912,33.33502357598611,73.18796676698214,36.22033978366183,69.66931142431031,40.99748990052862
FI,elec,33.75154504201049,3.850731801421736,55.544043684308896,11.23418111118935,55.544043684308896,11.23418111118935,54.04450894683388,13.948895635917792,55.486029647588865,25.536322407679844,56.39184888524969,99.4038413518436
FL,elec,53.49516965146281,5.149907047554367,63.65492769924637,30.78941796708841,63.65492769924637,30.78941796708841,69.1498605960763,53.02491512079752,72.41992909311807,59.96506128794115,69.26173362910477,59.065329488604355
FR,elec,46.016388188158274,5.537084252174639,61.74028459156392,29.071127981697423,61.74028459156392,29.071127981697423,61.801016389401575,36.5607908045038,66.4676043219635,50.4894861889873,65.2629827603509,50.57334498717718
GB,elec,49.71778806411995,10.585250098902245,58.471644312261944,35.71874840994354,58.471644312261944,35.71874840994354,61.43558039339888,64.12705931897837,61.693212275143296,57.440791990284765,57.92274176792863,78.0358512500811
GR,elec,61.1652478225628,3.4358102797465415,67.16728538998332,28.246757122984263,67.16728538998332,28.246757122984263,68.1784645646499,32.19529502413898,72.53089618144135,43.202096365499855,71.55828892405388,48.46791306255684
HR,elec,63.5477305867887,1.3841616607985638,72.22188702750583,22.723192019447893,72.22188702750583,22.723192019447893,73.27523098008966,31.78972588103714,77.4427046209391,45.74095548573451,76.10098700782211,50.776167980647315
HU,elec,63.41757068679857,2.005425562101868,71.49827857359227,23.197643746921493,71.49827857359227,23.197643746921493,73.5167310353794,32.91664887819096,78.16568339176024,47.07972507598964,76.30825226777836,51.382347950559605
IE,elec,49.92152454462361,11.702077377341212,58.839414184948744,35.80578515615739,58.839414184948744,35.80578515615739,59.87111841415578,59.711352140692995,60.43814189146526,54.64333070869223,58.939073173938155,104.15901878593527
IT,elec,52.18997475038087,10.13259074484228,72.35599044424288,28.594560545547285,72.35599044424288,28.594560545547285,77.12205641233257,33.48307585051304,79.39168377851614,49.40235499790388,77.53346007556365,59.76236971188925
LT,elec,57.467236087377145,4.165253653730938,62.186043732716655,20.4771628653799,62.186043732716655,20.4771628653799,60.24269123169107,24.644995322007663,61.03182254263406,35.84261614510706,61.40337302197384,48.421326569864995
LU,elec,58.157059694266955,5.184880359712127,64.78419782559708,29.21186058650564,64.78419782559708,29.21186058650564,70.36161345799356,46.421740391895206,75.43983528517361,57.329584804838355,73.45150940175266,59.297604925591294
LV,elec,56.99923250343995,3.886876860198156,62.18604379332629,20.477162511856857,62.18604379332629,20.477162511856857,60.24269106412731,24.64499499526546,61.03182242402862,35.84261598471281,61.395879832556545,48.42585558838183
ME,elec,63.107218832935395,1.6947847700436536,71.18564262861949,23.413340501983186,71.18564262861949,23.413340501983186,71.72558538303934,31.063975034406308,75.73039103488756,45.21810667544097,75.00572816159357,50.19442255752703
MK,elec,64.27027388053816,1.2087170890323986,69.1411430112574,26.23569760466458,69.1411430112574,26.23569760466458,69.88334121755554,32.90700068623277,74.15006148233,45.310842232532536,73.27632360000038,49.42032251559036
NL,elec,55.51275367515035,5.26173312403367,60.867758493123155,31.74270241561607,60.867758493123155,31.74270241561607,64.5015989331377,50.518682678884346,65.69850916848644,58.59752478061485,62.52730181217723,57.69318253909109
NO,elec,28.799470349958497,2.87229614494011e-07,53.35034351773686,5.605577625857318,53.35034351773686,5.605577625857318,51.75336417744172,7.273894776812677,53.52174263453503,11.311177336448589,54.02446769297767,15.271733814715851
PL,elec,67.44028900870134,4.807454780181319,66.75465777302884,28.295771835276632,66.75465777302884,28.295771835276632,68.71110876242388,42.762999465864176,73.43681371133806,56.13263705717926,74.06700851692564,60.38241873867659
PT,elec,54.94322393473761,2.0740300734049075,65.92421402514961,27.435924071804266,65.92421402514961,27.435924071804266,66.20715056781277,32.45966431670845,65.83670210193769,37.78592430546713,63.75697499304477,41.395926187237286
RO,elec,64.55161850387654,0.5721321056735708,70.16670905047533,24.08400703690249,70.16670905047533,24.08400703690249,70.92702487508355,31.455506684810448,74.96761188196838,44.94126893027588,74.36434644429272,48.90513502003659
RS,elec,64.50691098139663,0.5953556180706533,70.89309225546948,23.636967099262407,70.89309225546948,23.636967099262407,71.44384646944577,31.328034862483783,75.42547781332838,45.4130101620373,74.8758778625924,50.20401088212106
SE,elec,29.25766549307949,1.7593181346375435,53.19413272838875,8.428159871344418,53.19413272838875,8.428159871344418,51.74542234650326,11.060135239705714,53.20098335858495,20.477972091391532,52.283478092920305,22.377730051106955
SI,elec,60.63941664954552,2.3655018095612697,72.4843792946579,22.77370753097429,72.4843792946579,22.77370753097429,73.86489717437266,31.023281630307345,77.86204100874527,45.01871158849272,76.58845399798203,50.65540279791949
SK,elec,65.73166869624797,3.2798813400222895,71.10246367234261,25.57716476285391,71.10246367234261,25.57716476285391,75.82138222379064,39.24266097348819,80.04902993232956,52.16626493876489,78.44887209891847,57.41143521764884
WL,elec,52.90207783760727,5.275862850898199,63.69187734626263,30.467486322533,63.69187734626263,30.467486322533,69.51042513975871,53.54563521790001,73.55325247573347,59.882012405546256,70.79683739336254,58.99996593544587
AL,H2,48.34658859612833,23.012660995290823,82.7276128998405,9.7364683197048,82.7276128998405,9.7364683197048,89.33693619836798,11.654458448213946,96.42132392194584,12.006184244008391,92.92203701818444,12.628158084609012
AT,H2,48.2081718394119,204.65846536163113,86.36537220803946,26.483059735796047,86.36537220803946,26.483059735796047,90.70041517220798,15.89219675388216,90.4565337177982,10.054619222025066,91.23478463303852,12.665331153800256
BA,H2,48.52036455743415,31.501947713843283,84.88879734634114,9.602809474683143,84.88879734634114,9.602809474683143,91.04094346467149,11.043291188696552,95.4853576006474,10.33461349658362,93.70346701005968,12.360109808024156
BG,H2,47.21818626763614,224.5175982741873,81.97017398092048,12.581998841827073,81.97017398092048,12.581998841827073,87.50940632606539,14.465036264867033,97.02850947454002,12.71221580524612,93.18660043548935,13.245431504800234
BX,H2,47.288573406231535,163.79312549290665,83.21784284981732,4.641092458711605,83.21784284981732,4.641092458711605,85.62740821190562,3.8344036550703184,83.77863440822428,8.639100040066303,84.26341408097804,11.1402702810632
CH,H2,48.41620207900717,197.9747653373574,87.36380240536157,35.33747192614019,87.36380240536157,35.33747192614019,90.8582045432828,23.358740451383827,88.90414871625768,10.891876717452222,89.29405809652891,12.364741051003826
CZ,H2,47.98136233815561,207.04000714405535,83.9003148094879,6.963728903951141,83.9003148094879,6.963728903951141,87.40760438215759,6.683505066740385,86.42786707077892,9.568553052645523,89.52175888731009,12.547894762179508
DE,H2,47.21819767330096,37.47609681729747,81.98121525744682,4.884593420161526,81.98121525744682,4.884593420161526,85.04725733267398,3.5679145851792327,84.75533556080914,8.444839283061194,85.51475306060378,10.892343532874587
DK,H2,47.85585637351163,26.930270928164212,83.91812468772883,4.390698158421416,83.91812468772883,4.390698158421416,82.62893212827785,4.898159814283483,79.27265847314615,10.340899534245397,79.57748810687059,12.1621716859837
EE,H2,47.21808392002578,178.18693098917146,81.9791035731548,8.590061590135207,81.9791035731548,8.590061590135207,87.51489642332488,7.834376084630513,85.6742630303943,10.581465714846852,85.22250975651255,12.668049703446547
ES,H2,45.64920095068237,22.510304369680483,82.01923762630389,7.308018786276182,82.01923762630389,7.308018786276182,87.55997389731789,7.435313625856491,86.32374224789979,9.923543846887142,90.64157135059672,8.50542114346641
FI,H2,47.28094031582344,11.95231946648192,82.093121045078,9.845161859141806,82.093121045078,9.845161859141806,86.89904339550183,9.415459384060966,83.83825454588136,5.295841668366669,84.39356492867023,11.948105586653806
FL,H2,47.22034878446586,165.49168008408148,81.98120245673113,4.594503426823505,81.98120245673113,4.594503426823505,84.38730981827167,3.720797933738919,82.54386249485414,8.552067715739113,83.48583666413307,10.92273677079954
FR,H2,47.21819610200746,24.36055962633697,81.98121356429542,4.463409224627465,81.98121356429542,4.463409224627465,85.4406524696474,4.518294880931712,83.08853303632375,9.658530203146196,84.38281165012755,11.981187886458788
GB,H2,47.50741140646026,31.780764079355137,81.93101719703759,3.6421524863339343,81.93101719703759,3.6421524863339343,80.41743101694443,4.92949371882454,77.35536486680283,9.592688306625234,77.10900555285252,13.461093571833256
GR,H2,47.21816762435768,32.2593333887675,81.98116774832128,11.090546078805414,81.98116774832128,11.090546078805414,87.51496716779157,8.476792173076518,97.44820245788006,13.762385879884777,91.30310733346066,14.49495413628314
HR,H2,48.2441036962409,179.9164943285345,84.31103393316705,10.4690444587884,84.31103393316705,10.4690444587884,89.88681487316302,10.696825095264748,93.77744623008188,9.4666269926418,93.80589767213108,12.51694543722671
HU,H2,47.273490518033675,181.08756786418644,81.98118314998085,10.788916681390669,81.98118314998085,10.788916681390669,87.51497049678109,10.292222850113903,91.51283060652456,9.886527258229345,93.16324300525044,13.159587820108738
IE,H2,47.21785502436085,118.597355830277,81.97766742298049,6.9150192908992,81.97766742298049,6.9150192908992,81.24450402161773,6.5764333761219795,79.78536209058512,14.456723404316085,77.35397799385933,15.665123709975305
IT,H2,47.218156763835296,152.32529984826027,81.98100138531373,19.28925606601235,81.98100138531373,19.28925606601235,87.51485162255607,17.107460220945473,93.51427457937388,13.739559954274885,89.45880572242771,15.980167639157486
