snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Decentralized heat,Methanol,Centralized heat,CO2 emissions,Electricity,Methane,Centralized heat,Electricity,Ammonia,Electricity,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Centralized heat,Methane,Electricity,CO2 emissions,Centralized heat,Decentralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Aviation emissions,Shipping emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Heat Pump,Methanol production,Heat Pump,Transport emissions,Offwind,Imports,Waste Heat,Onwind,Haber-Bosch,Solar,Gas Boiler,Decentral heat production emissions,Biomass CHP,Biomass CHP,Gas Boiler,Storage,Gas,Power supply emissions,Resistive heater,Resistive heater,Storage,Oil Boiler,Storage
2040-01-01 00:00:00,0.325259039312778,2.5113879273644653,1.1650854708645988,0.4953920147037431,0.6182876198868266,0.1600647011258033,0.09624805993771919,0.2996580478795508,2.865378701606416,0.207859438505538,0.4659043950221339,0.0983999333761739,8.609460653614697,15.699878556886931,0.23162943172273626,2.743260565554125,0.2275444445705406,,2.844308057960232,0.5830200984263373,4.901058407828609e-07,1.5073632446001464e-06,0.0402173111610601,0.0,4.798105584431848e-07,1.7979931503881006e-07,0.7477486340810636,5.6979046225759995e-06,1.7107122589116604e-07,2.397613576771671e-07,3.353932951323014e-07
2040-01-01 03:00:00,0.325259039312778,2.5113879273644653,1.1650854710392842,0.4953920144467868,0.6182879845206548,0.1600647957434638,0.0962496233938537,0.2996639799371291,2.8573675268458,0.2078593637175882,0.4643542240305152,0.490173116999739,8.113141268981984,15.75173735723727,0.23162935655403805,2.124827532419728,0.2275443885216416,,6.12464260476198,1.3449528410365748,5.959711411305469e-07,1.8329950667069053e-06,0.5438588419416475,0.7237019828350313,5.107121274873268e-07,1.8650458136840862e-07,1.0536137623383903,5.525976910189242e-06,1.604547420210224e-07,2.393422874061702e-07,3.38198516092368e-07
2040-01-01 06:00:00,0.325259039312778,2.5113879273644653,1.1650854708418876,0.49539201463562993,0.6182879840839482,0.1600647956295242,0.09624962247680789,0.2996639764850579,2.8447321376292667,0.2078593617109519,0.4619056766591616,1.040065372068087,8.335983547225664,15.818178432976769,0.23162935480041946,1.5410682703944405,0.2275443881634881,0.0357491116526729,6.4268065732879665,1.420442044782274,6.034974526609273e-07,1.856224046105276e-06,0.6181091271251744,1.0353766006988443,5.148450901450574e-07,1.8709695169135568e-07,1.0532983803497151,5.516230553036527e-06,1.6072329411535613e-07,2.402877192799494e-07,3.423879773134304e-07
2040-01-01 09:00:00,0.325259039312778,2.5113879273644653,1.1650854704384037,0.49539201511980424,0.6182879837708257,0.1600647955475617,0.0962496204092824,0.2996639686192107,2.8152682250122156,0.2078593736004595,0.4561773437144975,0.8592016488202201,8.569708259683058,15.857252966602235,0.2316293651156121,1.3069165350848102,0.2275443921486376,2.0741920780719703,5.428469263741717,1.169423805731229,5.328701360198944e-07,1.639015823457968e-06,0.3643588292667606,0.0,4.975916522615245e-07,1.843016947777516e-07,1.0590067315961398,5.204497866839105e-06,1.5828085388242374e-07,2.4155304969289554e-07,3.45839707652368e-07
2040-01-01 12:00:00,0.325259039312778,2.5113879273644653,1.1650854703090578,0.49539201527483895,0.6182879782426285,0.1600647941123643,0.0962496127802321,0.2996639400789057,2.7968090047287166,0.2078594193870143,0.4525905002907023,1.012160442763761,8.584862423865452,15.878832026764693,0.231629414664336,1.1973371360510978,0.2275444227813091,3.6225996901097077,5.119087101197041,1.0921388742541507,3.6763324690432873e-07,1.13076512158811e-06,0.2883746541490057,0.4645010812205146,4.281127094719572e-07,1.687013560195169e-07,1.0576320395289618,5.03581900501817e-06,1.5690445790906604e-07,2.416532600443203e-07,3.439748335869074e-07
2040-01-01 15:00:00,0.325259039312778,2.5113879273644653,1.1650854706503289,0.4953920148318607,0.6182879918972759,0.1600647976551455,0.0962496325013425,0.2996640139309448,2.7204403117255183,0.2078593259009145,0.4377670199934192,1.154527360452279,8.54794713788299,15.864764210138675,0.23162929495524132,1.1146510540929302,0.227544360194399,0.0303292143710848,5.650029158209654,1.4254908461321931,8.595495975976787e-07,2.643719216054591e-06,1.4730632043105556,1.0759236969483466,5.736157621326082e-07,1.989657948316043e-07,1.7679432993417106e-06,2.0984490403072173e-06,1.6336275816498394e-07,2.4055316287063865e-07,3.397775099490293e-07
2040-01-01 18:00:00,0.325259039312778,2.5113879273644653,1.1650854707669767,0.4953920146773302,0.6182879928233302,0.1600647978948765,0.0962496335552533,0.2996640178553076,2.654712106720362,0.2078593230579971,0.4250095559911342,0.530308257515745,8.60584784105847,15.829095962038078,0.23162928985960896,1.331658054275375,0.2275443586274907,,5.630585999970931,1.4199681445480075,8.862480007345234e-07,2.7258123268071075e-06,1.4647912509192789,1.052443894116368,5.785094581682299e-07,1.999687831808445e-07,1.78004325159258e-06,2.118046085662468e-06,1.6084520324798306e-07,2.400653644766975e-07,3.383111705697243e-07
2040-01-01 21:00:00,0.325259039312778,2.5113879273644653,1.165085470809343,0.4953920146175327,0.6182878493922079,0.1600647606756972,0.0962494083824989,0.2996631732730486,2.64900450009179,0.2078593648563914,0.4239063211805292,0.2100571331142927,8.609290633777647,15.785079162716691,0.23162931653829616,1.5733618155388047,0.2275443868271759,,3.2800090746833717,0.8321414679312481,8.885987549262867e-07,2.7330485725018225e-06,0.8841132010088297,0.0,5.777074413577687e-07,1.9978604915591913e-07,1.8478694562822888e-06,2.1472697301812852e-06,1.7129575777326217e-07,2.394876453914833e-07,3.311171299630724e-07
