snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Electricity,Centralized heat,Methane,Electricity,Ammonia,Methane,CO2 captured,Centralized heat,Electricity,Decentralized heat,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Decentralized heat,Centralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Fischer-Tropsch,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Onwind,Waste Heat,Imports,Solar,Haber-Bosch,Storage,Central heat production CC,Gas CHP CC,Gas CHP CC,Resistive heater,Gas Boiler,Decentral heat production emissions,Resistive heater,Battery,Storage,Storage,Gas Boiler
2050-01-01 00:00:00,2.374508766511247,0.325259039312778,1.0050311283445994,0.7804068650973571,0.7528134733053746,0.2078617704671689,5.722538510683638,0.0520219099146441,8.135058736043536,1.1949953848114847,0.2392276140784699,3.9870402108357568,2.0449514774009754,2.230422231949329,,1.9999949100075471,2.0750911054318717,6.90642859979542e-08,8.354242255077006e-08,7.487226293846865e-08,6.022272399060066e-07,1.760512617822631e-07,8.476637894841324e-08,8.124376480233053e-07,9.492095883134057e-07,6.094873611960034e-08,2.0390024398497105e-07,8.857691868255833e-08
2050-01-01 03:00:00,2.374508766511247,0.325259039312778,1.005031128409926,0.7804068646490032,0.7528132715776783,0.207861213111807,5.7055113187984094,0.2591438922790741,7.650579115426963,1.1910193945196754,0.2392274190162664,2.7616153314075227,2.044028109403378,2.240629345149873,,1.9989985269525112,0.0,8.730148367814686e-08,1.1317679053540573e-07,1.0143749521812825e-07,0.0745998546058145,2.3134875594651106e-07,1.0277320972469149e-07,5.294259161595274e-07,2.306430787553472e-06,1.1109059690677773e-07,1.213405542088689,9.894631514193336e-08
2050-01-01 06:00:00,2.374508766511247,0.325259039312778,1.0050311301582184,0.7804068498397332,0.7528128797305998,0.2078298318052003,5.678640415906209,0.549859997201841,7.877768258474456,1.1847391634992124,0.2392274865600435,2.1244096212102628,1.7747164734529737,2.251764783597258,0.0357493470558835,1.7083554388291724,0.0,9.361056722565857e-08,1.235430958623403e-07,1.1073283014845661e-07,1.5332914070250003,2.456886475712514e-07,1.0963929305772622e-07,3.658042463457109e-06,2.7796117334037354e-06,0.3782982203751386,1.3536450446191732e-06,1.128226311305462e-07
2050-01-01 09:00:00,2.374508766511247,0.325259039312778,1.005031130231444,0.780406849144808,0.7528129387592309,0.2078535924922102,5.615903748048728,0.4542412706984909,8.098448255823397,1.1700466062789738,0.2392274731284883,2.0210297070537058,1.8030954634296794,2.264891826449419,2.0741957079980664,1.738980041936762,0.0,9.350669041897515e-08,1.2351272749776446e-07,1.1070570915690985e-07,0.8206688035831654,2.469174812610542e-07,1.1046614589436782e-07,3.900362801386266e-06,1.6373439502255521e-06,1.2732278578462809e-06,4.518507114379193e-07,1.1288375794346264e-07
2050-01-01 12:00:00,2.374508766511247,0.325259039312778,1.0050311304426736,0.7804068469414727,0.7528128971220205,0.2078493602191611,5.576607251836922,0.535107266499015,8.112632202889586,1.16084674027276,0.2392274801501488,1.5815874642352028,1.5044563374343962,2.278101236245513,3.6226053193454106,1.4166831422721633,0.0,9.331358659360309e-08,1.233632313591302e-07,1.1057242324272713e-07,0.6126458869035831,2.471484648164945e-07,1.1090373084536309e-07,0.1915415617869261,1.1524082431073982e-06,1.2965931032390669e-06,2.931610804019641e-07,1.142789201492062e-07
2050-01-01 15:00:00,2.374508766511247,0.325259039312778,1.0050311310140527,0.7804068404116911,0.7528131795111518,0.2078392056731326,5.414097358891775,0.61037356712307,8.080476470494187,1.1228261111403897,0.2392273181967603,1.415795082797492,0.9631454367705928,2.2904385858584586,0.0303292789311891,0.8324905728321724,0.0,9.799638751278856e-08,1.3293091198430256e-07,1.191544687328304e-07,1.1180777469602436,2.711039860218607e-07,1.1751476540324893e-07,7.773749428630625e-07,4.26403251381984e-06,0.9321315984927468,4.1388790242752307e-07,1.1712633876433604e-07
2050-01-01 18:00:00,2.374508766511247,0.325259039312778,1.0050311312871083,0.7804068369493907,0.7528132294681772,0.2078049926238661,5.274232719383228,0.2803624703081849,8.131736425157833,1.0901045822636264,0.2392272406940723,1.8073710913809269,1.5418151256399986,2.3044057706508023,,1.4570062595857107,0.0,9.933667420279032e-08,1.3577096249430434e-07,1.2170221303457813e-07,1.193690058828946,2.784306508047825e-07,1.1966869644718307e-07,6.286183834504663e-07,0.04290984479515498,0.3559692262217946,5.403140919191617e-07,1.1844428955007589e-07
2050-01-01 21:00:00,2.374508766511247,0.325259039312778,1.0050311313054616,0.7804068367390519,0.7528137482831887,0.2078618346645426,5.26210582457456,0.1110526489282686,8.134902411251709,1.087274794778089,3.402101006838936e-06,2.151729720008362,1.5304655244367706,2.320569255019019,,1.47573260249559,0.0,7.56338554353003e-08,9.949073228440737e-08,8.916995849889182e-08,2.2046978137998757e-07,1.7938254919044338e-07,8.746227709579423e-08,1.686983389836088e-07,1.5738509151741953e-06,5.676577038651428e-08,1.9567782664399718e-07,9.258806047054357e-08
