config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213344697.66257,344785628965.2591,387203372004.6437,426943680319.15704,467881480626.3918,583750671025.6412
prod_tot,Energy production,marginal,439114945348.12994,631453344788.0643,556579797093.6724,477005968875.69916,396884127107.46875,289511462466.0885
prod_tot,Energy production,total,704328290045.7925,976238973753.3235,943783169098.316,903949649194.8562,864765607733.8606,873262133491.7297
sto_tot,Storage,capital,31916838056.454643,43359934645.103676,46107030534.96171,46259589976.85009,49247483984.44731,53419968427.67715
sto_tot,Storage,total,31916838056.454643,43359934645.103676,46107030534.96171,46259589976.85009,49247483984.44731,53419968427.67715
tran_tot,Transmission,capital,8056685674.100163,12915518484.269615,13258363298.743645,14087744310.024546,15126254163.320625,17492578371.339996
tran_tot,Transmission,marginal,16103043.50617081,487544845.51168394,424425582.8854307,381448558.6324404,845145285.7114491,3371935538.375561
tran_tot,Transmission,total,8072788717.606335,13403063329.7813,13682788881.629076,14469192868.656986,15971399449.032074,20864513909.715557
distr_tot,Distribution,capital,23327248556.671806,40740983140.07355,43157024445.58468,47790575217.88626,51678975717.68335,55656396869.29697
distr_tot,Distribution,total,23327248556.671806,40740983140.07355,43157024445.58468,47790575217.88626,51678975717.68335,55656396869.29697
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388512857.77307,286346161009.85645,317555205502.8926,345455635656.4545,378251435429.2372,477179991174.4877
prod_eu27,Energy production,marginal,118291744162.57298,285775643339.82446,266032365010.78775,236439806421.2006,201031541797.43848,161221547471.0905
prod_eu27,Energy production,total,339680257020.34607,572121804349.6809,583587570513.6803,581895442077.6552,579282977226.6757,638401538645.5781
sto_eu27,Storage,capital,21880521060.28077,30267706846.782845,31622352428.055096,33117506948.569027,34849497290.81213,38197036746.56801
sto_eu27,Storage,total,21880521060.28077,30267706846.782845,31622352428.055096,33117506948.569027,34849497290.81213,38197036746.56801
distr_eu27,Distribution,capital,19078064611.083534,33008823000.624752,34990589265.072586,38632943951.57602,41816061837.13301,45416263918.98317
distr_eu27,Distribution,total,19078064611.083534,33008823000.624752,34990589265.072586,38632943951.57602,41816061837.13301,45416263918.98317
net_imp_eu27,Net_Imports,H2,0,-32589122.7826406,-265618178.45231828,-125018280.41143396,-86571312.7017206,-872996460.9858965
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1770908174.3982925,-1166899846.783762,-758049483.2993202,-1154383449.9368591,-2256699762.034851
net_imp_eu27,Net_Imports,gas,363621985.20133233,-1092437282.221019,-1128310409.9452906,-977551144.1499294,-626482462.8770989,-310312321.2096888
net_imp_eu27,Net_Imports,total,919873847.4494479,-2895934579.4019523,-2560828435.1813707,-1860618907.8606834,-1867437225.515679,-3440008544.2304363
prod_be,Energy production,capital,6593719327.20583,7707163406.691336,7778811503.618513,7516069847.310812,8596407395.184496,9423788310.258585
prod_be,Energy production,marginal,4569147393.853379,14968060016.754408,14643460061.551756,13498640786.878004,11997734328.451797,10135886384.472473
prod_be,Energy production,total,11162866721.059208,22675223423.445744,22422271565.17027,21014710634.188816,20594141723.63629,19559674694.731056
