country,sector,year,Curtailment,Available
AL,Hydroelectricity,2023,0.6923744995893453,163901.12375853054
AL,Hydroelectricity,2030,7.076311469343182,163901.12375853054
AL,Hydroelectricity,2035,10.769418698746817,163901.12375853054
AL,Hydroelectricity,2040,8.271530897847594,163901.12375853054
AL,Hydroelectricity,2045,7.319230558909634,163901.12375853054
AL,Hydroelectricity,2050,5.50532171799219,163901.12375853054
AL,Offwind,2023,0.0,0.0
AL,Offwind,2030,0.3157489620425564,1.1275872729872052
AL,Offwind,2035,0.3204619507125656,1.7116385021981912
AL,Offwind,2040,0.2240705608264248,2.032037496003321
AL,Offwind,2045,0.3072505295086641,2.44023957040147
AL,Offwind,2050,0.2040533985912233,2.743745371320886
AL,Onwind,2023,0.0,0.0
AL,Onwind,2030,0.0633554297877543,0.165895865444614
AL,Onwind,2035,0.1188128645351346,0.232917069298993
AL,Onwind,2040,0.1007302068401789,0.2835044329459583
AL,Onwind,2045,0.1241189953243234,0.3514159455751466
AL,Onwind,2050,0.097360689469179,0.4060032118807213
AL,Solar,2023,0.4359494007508483,212977.126361952
AL,Solar,2030,3165.771608781856,3050532.1920971517
AL,Solar,2035,8240.278389981397,4175679.0935003976
AL,Solar,2040,46359.29013880538,5243461.6077764835
AL,Solar,2045,136225.21983310964,5849042.862443131
AL,Solar,2050,577488.6234940329,7037556.959835569
AT,Hydroelectricity,2023,1.4473345702297706,21868120.08253126
AT,Hydroelectricity,2030,0.5042144799235047,21868120.08253126
AT,Hydroelectricity,2035,3.5529706462193715,21868120.08253126
AT,Hydroelectricity,2040,4.710463366396283,21868120.08253126
AT,Hydroelectricity,2045,2.244708662582795,21868120.08253126
AT,Hydroelectricity,2050,2.7150202679536335,21868120.08253126
AT,Onwind,2023,1.1054368627045903,2296392.2594533027
AT,Onwind,2030,3.335805882230963,2267525.1395787396
AT,Onwind,2035,1.630120971661367,2267526.294752667
AT,Onwind,2040,1.963424178531415,1819928.0662814216
AT,Onwind,2045,1.464337498139755,1709874.4493794804
AT,Onwind,2050,1.460810159685612,859447.6635052299
AT,Solar,2023,0.7350721280709013,7153607.321427452
AT,Solar,2030,12.23487253203725,9383611.961188234
AT,Solar,2035,43084.03525741845,19648172.610463567
AT,Solar,2040,72607.90858303147,25336107.17369682
AT,Solar,2045,32294.325618797146,25336109.91279836
