snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
carrier,Hydrogen,Decentralized heat,Oil,Electricity,Electricity,Centralized heat,Oil,Methanol,Oil,Oil,Solid biomass,Methane,Methane,CO2 captured,Electricity,Electricity,Oil,Electricity,Decentralized heat,Centralized heat,Solid biomass,Methane,Methane,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Agriculture,Industry,Industry,Agriculture,Industry,Aviation,Shipping,Agriculture,Shipping,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Central CHP production,Storage,Decentral heat production,Power supply,Storage charging,Decentral heat production,Storage charging
2035-01-01 00:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871691007,2.199389555149688,0.6551716032482784,0.6196101468517422,1.8626157723219037,2.449706220740784,0.5621648015180001,1.0860290230523149,5.810566063212086,1.035718174033996,1.825362685312597e-06,2.6181377241173034,2.3794444212523898,5.887249221838587e-07,5.562815414779679e-07,3.938064810940339e-07,1.194193644972421e-06
2035-01-01 03:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871717673,2.19938955511449,0.655171593938015,0.6196221516570606,1.4994212225210406,2.5132007323389027,2.8003888170699995,1.385725108423702,9.467131849106638,1.687491443247691,0.9648263258267818,0.0,5.926063745144681,7.369105959045351e-07,6.475805801452242e-07,3.9184253415925514e-07,1.2357313208989624e-06
2035-01-01 06:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387135076,2.199389559631939,0.6551715946455328,0.6196255360613235,1.474915970853203,2.51100026700247,5.9419567005100005,1.4124307814887207,9.79065741336256,1.745159027269484,0.9648269091348904,0.0,6.334251129068362,7.422926883065275e-07,6.603101558101835e-07,3.950219009293079e-07,1.2331747631668646e-06
2035-01-01 09:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313871004002,2.199389564668568,0.6551716002442084,0.619625794510628,1.806427635720143,2.6557453117056395,4.908671254130001,1.1804994148040628,8.642169410445579,1.540444050391041,4.064468758714968e-06,0.0,5.646608411105575,6.544659009400797e-07,6.388456931322622e-07,3.981842038525179e-07,1.2321702030326832e-06
2035-01-01 12:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313870601689,2.199389569975734,0.6551716024360752,0.6196259124566947,1.843249845646096,2.6442949045253106,5.78253414294,1.2351826906608443,8.275832334239878,1.4751454265528372,2.460701402072552e-06,,5.250618995566241,6.28853200862521e-07,6.280767255793958e-07,3.964496340078361e-07,1.3023292027212052e-06
2035-01-01 15:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387091148,2.1993895721816425,0.6551716171178059,0.6196256913268813,2.0196873714717936,2.6140455101292965,6.595884998769999,0.7747610652348444,8.783779031660945,1.5656855942811296,0.9648278176069142,0.0,5.242235567868131,7.516037022984057e-07,6.265583022298397e-07,3.963256160924655e-07,1.2199942736771504e-06
2035-01-01 18:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313870974197,2.1993895753187163,0.6551716180727913,0.6196255142238825,2.084015894170525,2.5455215140211402,3.02968331482,0.7688060956220901,8.688606701353343,1.5487213758052691,0.9648280707680292,0.0,5.298875001515573,7.551263496019434e-07,6.258121743247628e-07,3.964083617116025e-07,1.196893867064693e-06
2035-01-01 21:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.6849313870971814,2.199389578572903,0.6551716197599137,0.6196256190111755,2.2248110003610213,2.4703918174900554,1.2000691717300005,0.7031437361314697,6.055642625265087,1.079402428990689,0.8612143993556144,2.1724273543433665,2.321464944737415,7.448013673645847e-07,6.48191384548467e-07,3.972970524068522e-07,1.1722218956356608e-06
2035-01-02 00:00:00,0.2579908675799087,0.4514719951500935,5.37899543379,4.081050228310503,0.0955762898401365,0.2488584474885845,1.2651071151800002,4.78712839873,0.132245381861,5.50519765853,0.684931387087897,2.1993895819543106,0.6551716200017788,0.6196255478141743,1.821855156084417,2.497931562897149,0.5759647402990001,1.0785541604280953,6.1984674696042585,1.1048605832180725,0.8892451300788401,2.5550072829662245,2.4266112052600803,7.609277650482339e-07,6.826673459941366e-07,3.970450998540049e-07,1.1827032766829452e-06
