snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Electricity,Electricity,Centralized heat,Ammonia,Methane,Methane,CO2 captured,Centralized heat,Electricity,Electricity,Decentralized heat,CO2 emissions,Decentralized heat,Centralized heat,Centralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Heat Pump,Transport emissions,Offwind,Heat Pump,Onwind,Solar,Waste Heat,Haber-Bosch,Imports,Storage,Central heat production CC,Gas CHP CC,Gas CHP CC,Battery,Gas Boiler,Decentral heat production emissions,Resistive heater,Resistive heater,Storage,Gas Boiler,Storage,Oil Boiler
2050-01-01 00:00:00,2.374508766511247,0.325259039312778,0.8425638510612019,0.6719082176288245,6.272662508487136,0.0510403644444255,7.0839998889097995,1.7419433550424726,3.754655254427201,,0.5382766437779133,0.5808811011175831,1.44869075585339,0.4096176446998725,8.724790032373051e-08,1.13098041303097e-07,1.0137901843135673e-07,9.358426440170999e-07,1.9168227256968097e-07,9.718386495815291e-08,2.666955727131063e-07,2.761274105074681e-07,5.551591346134399e-08,1.0822293512575676e-07,2.1963393228519153e-07,4.2846633312878094e-08
2050-01-01 03:00:00,2.374508766511247,0.325259039312778,0.8425638510665204,0.6719082167063569,6.25411307675084,0.2542543848771308,6.6297045757350395,1.7361475624887834,2.616931014240798,,1.299585746952533,1.402501447070288,1.4607701040977457,0.0,1.041049220464159e-07,1.3813977590429737e-07,1.2382757891839777e-07,1.0202571510494357e-06,2.678435961113328e-07,1.2218218341449624e-07,2.674576372232661e-06,0.1970312934156946,9.751035107622573e-08,1.2668537543606628e-07,0.7394007076105771,5.033353262925034e-08
2050-01-01 06:00:00,2.374508766511247,0.325259039312778,0.8425638511411708,0.6719082114925996,6.224841471348632,0.539485280274135,6.870203117309004,1.7269928422642835,2.0071306909727795,0.035749372635790796,1.299580224950474,1.4025018440523438,1.47362450722883,0.0,1.2125578356834478e-07,1.6771694611243805e-07,1.5034338828170742e-07,2.4126499581763524e-06,3.113375440981544e-07,1.367825329913901e-07,0.0130072501215812,0.3089009692429811,1.5158348979563686e-07,1.392410012604801e-07,0.9740842360504268,5.3701040826937354e-08
2050-01-01 09:00:00,2.374508766511247,0.325259039312778,0.8425638511586218,0.671908209298619,6.156507896472669,0.445670680683129,7.056661598789143,1.705575497080784,1.901181051347672,2.0741953571424023,1.2652881996224201,1.365504807840266,1.4847910311115802,0.0,1.10243123493947e-07,1.5239551144246498e-07,1.3660226119610757e-07,1.2229785969899916,3.344356861397711e-07,1.408298798780107e-07,0.2800639055145456,2.9315844167451645e-07,7.587551597981683e-08,1.2364770251979077e-07,9.111313216949236e-07,5.5510834852513495e-08
2050-01-01 12:00:00,2.374508766511247,0.325259039312778,0.8425638511387534,0.6719082094736273,6.113704785087038,0.5250109029793409,7.067526132317555,1.6921648531961566,1.5040952906582377,3.6226046268440775,1.1623976538998066,1.2544453331605483,1.4960068007929015,0.2257820138455281,9.762971267644442e-08,1.2911123892321378e-07,1.1573252508481365e-07,8.362547746661126e-07,3.339832827094465e-07,1.4011423985625306e-07,0.0755478960163716,2.525185892523185e-07,6.54017433685947e-08,1.198615918862827e-07,3.9662006372714986e-07,5.5223359402243866e-08
2050-01-01 15:00:00,2.374508766511247,0.325259039312778,0.8425638511974594,0.6719082075876859,5.936686450803744,0.5988570847244731,7.045203406305856,1.6367422713671556,1.3511593383019975,0.0303293118353104,1.299569094188705,1.4025016271576405,1.5035528075874875,0.0,1.5446117599232678e-07,2.2811135252391685e-07,2.0448928211463626e-07,3.2043013615443933e-06,3.6682461349892147e-07,1.5560897754271238e-07,0.5954884466655547,0.0795088354542353,3.583003205252704e-07,1.5969477740660569e-07,4.1870555197022545e-07,5.716247009014097e-08
2050-01-01 18:00:00,2.374508766511247,0.325259039312778,0.842563851207157,0.671908207160576,5.78433480368608,0.275072612375853,7.0815347926031365,1.589044141346465,1.7174718591538225,,1.299569083258451,1.402501618050931,1.5112646723935526,0.0,1.5488749723710097e-07,2.291919556663811e-07,2.054579872560471e-07,1.9627286453713934e-06,3.654642657395013e-07,1.5510936443049744e-07,0.6835879028570746,0.0969927232937317,2.710103871039567e-07,1.5968952825383606e-07,4.4220009198056403e-07,5.703117586912227e-08
2050-01-01 21:00:00,2.374508766511247,0.325259039312778,0.8425638512111778,0.671908206920807,5.771123350335537,0.1089573159295055,7.083883894766097,1.5849192877179272,2.041829111551422,,0.5647999939690527,0.6095239969656066,1.5206810784095204,0.0,1.3097153166530572e-07,1.8928903895121506e-07,1.6968465835795054e-07,1.506368974622292e-06,2.0030621924634245e-07,1.0659076582500718e-07,1.9050916115729969e-07,3.897167695008704e-07,9.21121867739775e-08,1.384301027574627e-07,2.0602569539560158e-07,4.353075037956003e-08
2050-01-02 00:00:00,2.374508766511247,0.325259039312778,0.8425638512149989,0.6719082067516189,5.796056281022588,0.0522932957962097,7.080197790088962,1.5927380723337825,1.749103960364165,,0.602323817942435,0.6500204203400413,1.5325087634424377,0.0,1.2890602359040667e-07,1.8540468084346378e-07,1.6620167081171338e-07,1.1013499226406658e-06,2.1522766594845337e-07,1.1087307595796014e-07,2.230877840962541e-07,3.792588169037982e-07,8.469691372606217e-08,1.3795775823934572e-07,1.824997503748278e-07,4.501262578996106e-08
2050-01-02 03:00:00,2.374508766511247,0.325259039312778,0.8425638512161832,0.6719082066204243,5.827564262056111,0.2566688478182754,7.0242945193842585,1.6026196433230449,1.4646447537602385,,1.2995692060610708,1.4025017766019818,1.546330630212637,0.0,1.7357946454438962e-07,2.663407997804275e-07,2.3877442020288144e-07,2.2099321884365062e-06,3.581957010463574e-07,1.553746924611306e-07,1.045543851259891,0.548139701084768,2.558698629280257e-07,1.690470961656637e-07,0.5830687314644142,5.5403597590618966e-08
2050-01-02 06:00:00,2.374508766511247,0.325259039312778,0.8425638512161279,0.6719082064964632,5.79551631911049,0.55461330650328,4.369419487334233,1.5925952596617854,0.8541550620575414,0.0492805475003332,1.2995691508968092,1.4025019423355456,1.561997008058813,0.0,2.2482086119561402e-07,3.702121115294422e-07,3.3192551114533434e-07,1.358867512029686,4.688168595152851e-07,1.8712526618471598e-07,1.3411357431915134,0.492672436470651,0.1765552534799074,1.895768767633413e-07,0.555706081746509,6.047248467712999e-08
2050-01-02 09:00:00,2.374508766511247,0.325259039312778,0.8425638512011563,0.6719082064561532,5.9475789480293475,0.465952258669803,2.133446786306876,1.640246937198152,0.5386074605662269,5.624682494825471,1.299569118874531,1.4025019527614189,1.5758150336449046,0.0,2.3097109470492626e-07,3.8495112935401825e-07,3.451515766253409e-07,1.3588673935603974,4.350928616177215e-07,1.8037210572999365e-07,0.906354736135992,0.2273085437963867,1.5744455858638656e-06,1.8992452456248474e-07,4.228198011130093e-07,5.9396837921485195e-08
