Bus,busmap
AL1 0,AL0 0
AT1 0,AT0 0
AT1 1,AT0 0
AT1 2,AT0 0
BA1 0,BA0 0
BA1 1,BA0 0
BE1 0,BE1 0
BE1 1,BE1 2
BE1 10,BE1 2
BE1 11,BE1 0
BE1 12,BE1 2
BE1 13,BE1 2
BE1 14,BE1 0
BE1 15,BE1 0
BE1 16,BE1 2
BE1 17,BE1 2
BE1 18,BE1 2
BE1 19,BE1 0
BE1 2,BE1 0
BE1 20,BE1 2
BE1 21,BE1 0
BE1 22,BE1 0
BE1 23,BE1 2
BE1 24,BE1 0
BE1 25,BE1 0
BE1 26,BE1 2
BE1 27,BE1 0
BE1 28,BE1 2
BE1 29,BE1 2
BE1 3,BE1 0
BE1 30,BE1 2
BE1 31,BE1 2
BE1 32,BE1 2
BE1 33,BE1 0
BE1 34,BE1 2
BE1 35,BE1 0
BE1 36,BE1 1
BE1 37,BE1 0
BE1 38,BE1 2
BE1 39,BE1 0
BE1 4,BE1 2
BE1 40,BE1 0
BE1 41,BE1 0
BE1 42,BE1 0
BE1 43,BE1 0
BE1 44,BE1 0
BE1 5,BE1 2
BE1 6,BE1 0
BE1 7,BE1 0
BE1 8,BE1 0
BE1 9,BE1 2
BG1 0,BG0 0
BG1 1,BG0 0
CH1 0,CH0 0
CH1 1,CH0 0
CH1 2,CH0 0
CZ1 0,CZ0 0
CZ1 1,CZ0 0
CZ1 2,CZ0 0
DE1 0,DE0 0
DE1 1,DE0 0
DE1 10,DE0 0
DE1 11,DE0 0
DE1 12,DE0 0
DE1 13,DE0 0
DE1 14,DE0 0
DE1 15,DE0 0
DE1 2,DE0 0
DE1 3,DE0 0
DE1 4,DE0 0
DE1 5,DE0 0
DE1 6,DE0 0
DE1 7,DE0 0
DE1 8,DE0 0
DE1 9,DE0 0
DK1 0,DK0 0
DK1 1,DK0 0
DK2 0,DK1 0
DK2 1,DK1 0
EE6 0,EE2 0
ES1 0,ES0 0
ES1 1,ES0 0
ES1 2,ES0 0
ES1 3,ES0 0
ES1 4,ES0 0
ES1 5,ES0 0
ES1 6,ES0 0
ES1 7,ES0 0
ES4 0,ES3 0
ES4 1,ES3 0
FI2 0,FI1 0
FI2 1,FI1 0
FI2 2,FI1 0
FI2 3,FI1 0
FR1 0,FR0 0
FR1 1,FR0 0
FR1 10,FR0 0
FR1 11,FR0 0
FR1 12,FR0 0
FR1 13,FR0 0
FR1 14,FR0 0
FR1 2,FR0 0
FR1 3,FR0 0
FR1 4,FR0 0
FR1 5,FR0 0
FR1 6,FR0 0
FR1 7,FR0 0
FR1 8,FR0 0
FR1 9,FR0 0
GB0 0,GB4 0
GB0 1,GB4 0
GB0 10,GB4 0
GB0 2,GB4 0
GB0 3,GB4 0
GB0 4,GB4 0
GB0 5,GB4 0
GB0 6,GB4 0
GB0 7,GB4 0
GB0 8,GB4 0
GB0 9,GB4 0
GB5 0,GB5 0
GR1 0,GR0 0
GR1 1,GR0 0
GR1 2,GR0 0
HR1 0,HR0 0
HR1 1,HR0 0
HU1 0,HU0 0
HU1 1,HU0 0
IE5 0,IE5 0
IE5 1,IE5 0
IT1 0,IT0 0
IT1 1,IT0 0
IT1 2,IT0 0
IT1 3,IT0 0
IT1 4,IT0 0
IT1 5,IT0 0
IT1 6,IT0 0
IT1 7,IT0 0
IT1 8,IT0 0
IT1 9,IT0 0
IT3 0,IT6 0
IT3 1,IT6 0
LT6 0,LT2 0
LT6 1,LT2 0
LU1 0,LU0 0
LV6 0,LV2 0
ME1 0,ME0 0
MK1 0,MK0 0
NL1 0,NL0 0
NL1 1,NL0 0
NL1 2,NL0 0
NL1 3,NL0 0
NL1 4,NL0 0
NO2 0,NO1 0
NO2 1,NO1 0
NO2 2,NO1 0
NO2 3,NO1 0
NO2 4,NO1 0
PL1 0,PL0 0
PL1 1,PL0 0
PL1 2,PL0 0
PL1 3,PL0 0
PL1 4,PL0 0
PL1 5,PL0 0
PT1 0,PT0 0
PT1 1,PT0 0
PT1 2,PT0 0
RO1 0,RO0 0
RO1 1,RO0 0
RO1 2,RO0 0
RS1 0,RS0 0
RS1 1,RS0 0
SE2 0,SE1 0
SE2 1,SE1 0
SE2 2,SE1 0
SE2 3,SE1 0
SE2 4,SE1 0
SI1 0,SI0 0
SI1 1,SI0 0
SK1 0,SK0 0
SK1 1,SK0 0
