Country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.564,0.679,0.758,0.874,1.05,1.0,1.0,1.0,14.0,21.0,23.0,23.0,163.0
Austria,5.0,7.0,9.0,23.0,27.0,21.018,22.387,24.238,30.12,48.915,88.813,174.07,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2782.602,3791.704,6831.704
Belgium,,,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,1006.6,1978.6,2646.6,2901.6,3015.0,3131.6,3328.8,3620.6,4000.0,4636.6,5572.8,6012.4,6756.1,8549.1
Bosnia Herzg,,,,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.349,1.339,7.166,8.17,14.12,16.0,18.15,22.35,34.89,56.51,101.89,131.89
Bulgaria,,,,,,,,0.03,0.1,2.0,25.0,154.0,922.0,1039.0,1029.0,1028.0,1030.0,1030.701,1033.058,1044.39,1100.211,1274.713,1737.184,2937.184
Croatia,,,,,,,,,,0.3,0.3,0.3,4.0,19.0,33.0,47.8,55.8,60.0,67.7,84.8,108.5,138.3,222.0,460.7
Czechia,0.1,0.1,0.2,0.3,0.4,0.586,0.841,3.961,39.5,464.6,1727.0,1913.0,2022.0,2063.5,2067.4,2074.9,2067.9,2075.438,2081.052,2110.669,2171.956,2246.091,2420.481,2499.281
Denmark,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.108,850.953,906.35,998.0,1080.0,1304.294,1704.041,3069.9,3529.0
Estonia,,,,,,,,,,0.1,0.1,0.2,0.38,1.5,3.34,6.5,10.0,15.0,31.9,120.6,207.67,394.77,520.0,690.0
Finland,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,11.0,17.0,39.0,82.0,140.0,222.0,318.0,425.0,664.0,900.0
France,7.0,7.0,8.0,9.0,11.0,13.0,15.0,26.0,80.0,277.0,1044.0,3003.574,4358.754,5277.289,6034.417,7137.517,7702.081,8610.436,9629.127,10728.641,11916.591,14603.172,17341.293,20542.293
Germany,114.0,195.0,260.0,435.0,1105.0,2056.0,2899.0,4170.0,6120.0,10564.0,18004.0,25914.0,34075.0,36708.0,37898.0,39222.0,40677.0,42291.0,45156.0,48912.0,53669.0,60036.0,67477.0,81737.0
