carrier,component,item,sector
AC,generators,offwind,Offwind
AC,generators,offwind-ac,Offwind
AC,generators,offwind-dc,Offwind
AC,generators,onwind,Onwind
AC,generators,ror,Hydroelectricity
AC,generators,solar,Solar
AC,lines,AC0,
AC,lines,AC1,
AC,links,allam1,Gas
AC,links,battery charger0,Battery charging
AC,links,battery discharger1,Battery
AC,links,CCGT CC1,Gas CC
AC,links,CCGT H21,Hydrogen turbines
AC,links,CCGT1,Gas
AC,links,coal1,Coal/Lignite
AC,links,DAC0,Direct Air Carbon Capture
AC,links,DC0,
AC,links,DC1,
AC,links,electricity distribution grid0,
AC,links,electricity distribution grid1,
AC,links,gas pipeline2,Compression losses
AC,links,H2 Electrolysis0,Hydrogen production
AC,links,H2 Fuel Cell1,Fuel Cell
AC,links,H2 pipeline2,Compression losses
AC,links,Haber-Bosch0,Ammonia production
AC,links,lignite1,Coal/Lignite
AC,links,methanolisation2,Methanol production
AC,links,nuclear (SMR)1,Nuclear
AC,links,nuclear1,Nuclear
AC,links,OCGT CC1,Gas CC
AC,links,OCGT H21,Hydrogen turbines
AC,links,OCGT1,Gas
AC,links,oil1,Oil
AC,links,urban central gas CHP CC1,Gas CHP CC
AC,links,urban central gas CHP1,Gas CHP
AC,links,urban central solid biomass CHP CC1,Biomass CHP CC
AC,links,urban central solid biomass CHP1,Biomass CHP
AC,storage_units,hydro,Hydroelectricity
AC,storage_units,PHS,Hydroelectricity
agriculture machinery oil,links,agriculture machinery oil1,
agriculture machinery oil,loads,agriculture machinery oil,
battery,links,battery charger1,
battery,links,battery discharger0,
battery,stores,battery,
biogas,links,biogas to gas CC0,Biogas upgrading CC
biogas,links,biogas to gas0,Biogas upgrading
biogas,stores,biogas,
co2,links,agriculture machinery oil2,Agriculture emissions
co2,links,biogas to gas CC3,Biogas upgrading emissions
co2,links,biogas to gas2,Biogas upgrading emissions
co2,links,biomass to liquid2,Biofuels production emissions
co2,links,BioSNG3,Solid biomass methanation emissions
co2,links,CCGT CC2,Power supply emissions
co2,links,CCGT2,Power supply emissions
co2,links,coal for industry2,Industry emissions
co2,links,coal2,Power supply emissions
co2,links,DAC2,Direct Air Carbon Capture
co2,links,gas for industry CC2,Industry emissions
co2,links,gas for industry2,Industry emissions
co2,links,industry methanol2,Industry emissions
co2,links,kerosene for aviation2,Aviation emissions
co2,links,land transport oil2,Transport emissions
co2,links,lignite2,Power supply emissions
co2,links,naphtha for industry2,Industry emissions
co2,links,nuclear (SMR)2,Power supply emissions
co2,links,nuclear2,Power supply emissions
co2,links,OCGT CC2,Power supply emissions
co2,links,OCGT2,Power supply emissions
co2,links,oil2,Power supply emissions
co2,links,process emissions CC1,Industry emissions
co2,links,process emissions1,Industry emissions
co2,links,rural gas boiler2,Decentral heat production emissions
co2,links,rural micro gas CHP3,Decentral heat production emissions
co2,links,rural oil boiler2,Decentral heat production emissions
co2,links,shipping methanol2,Shipping emissions
co2,links,shipping oil2,Shipping emissions
co2,links,SMR CC2,Methane production emissions
co2,links,SMR2,Methane production emissions
co2,links,solid biomass for industry CC2,Industry emissions
co2,links,urban central gas boiler2,Central heat production emissions
co2,links,urban central gas CHP CC3,Central heat production emissions
co2,links,urban central gas CHP3,Central heat production emissions
co2,links,urban central solid biomass CHP CC3,Central heat production emissions
co2,links,urban decentral gas boiler2,Decentral heat production emissions
co2,links,urban decentral micro gas CHP3,Decentral heat production emissions
co2,links,urban decentral oil boiler2,Decentral heat production emissions
co2,stores,co2,
co2 sequestered,links,co2 sequestered1,
co2 sequestered,stores,co2 sequestered,
co2 stored,links,allam2,Power supply CC
co2 stored,links,biogas to gas CC2,Biogas upgrading CC
co2 stored,links,biomass to liquid3,Biofuels production CC
co2 stored,links,BioSNG2,Solid biomass methanation CC
co2 stored,links,CCGT CC3,Power supply CC
co2 stored,links,CO2 pipeline0,
co2 stored,links,CO2 pipeline1,
co2 stored,links,co2 sequestered0,CO2 sequestration
co2 stored,links,coal3,Power supply CC
co2 stored,links,DAC3,Direct Air Carbon Capture
co2 stored,links,Fischer-Tropsch2,Efuels production
co2 stored,links,gas for industry CC3,Industry CC
co2 stored,links,methanolisation3,Methanol production
co2 stored,links,OCGT CC3,Power supply CC
co2 stored,links,process emissions CC2,Industry CC
co2 stored,links,Sabatier2,Methane production
co2 stored,links,SMR CC3,Hydrogen production CC
co2 stored,links,solid biomass for industry CC3,Industry CC
co2 stored,links,urban central gas CHP CC4,Central heat production CC
co2 stored,links,urban central solid biomass CHP CC4,Central heat production CC
co2 stored,stores,co2 stored,
coal,generators,coal,Imports
coal,links,coal for industry0,Industry
coal,links,coal0,Power supply
coal,links,lignite0,Power supply
coal,stores,coal,
coal for industry,links,coal for industry1,
coal for industry,loads,coal for industry,
gas,generators,gas,Imports
gas,links,allam0,Power supply
gas,links,biogas to gas CC1,Biogas upgrading CC
gas,links,biogas to gas1,Biogas upgrading
gas,links,BioSNG1,Solid biomass methanation
gas,links,CCGT CC0,Power supply CC
gas,links,CCGT0,Power supply
gas,links,gas for industry CC0,Industry CC
gas,links,gas for industry0,Industry
gas,links,gas pipeline new0,
gas,links,gas pipeline new1,
