Technology name,Module needed,Comment,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Settings needed for future years
AC lines,Base,,Elec,-,-,-,-/
Allam Power cycle,Base,,Gas,Elec,CO2 stored,-,sector/allam_cycle
Ammonia Load for Ind,Ind,"If the ammonia option is not selected, Ind does not account for ammonia demand",Ammonia,-,-,-,sector/ammonia
Ammonia Storage,Base,,NH3,-,-,-,sector/ammonia
Ammonia cracker,Base,,Elec,NH3,H2,-,sector/ammonia
Battery storage,Base,,Elec battery,-,-,-,
biogas,Biomass,,Biogas,-,-,-,-/
biogas upgrading,Biomass,,Biogas,Gas,-,-,-/
Biomass boiler,Biomass,,Biomass,Heat,-,-,sector/biomass_boiler
Biomass for Ind,Ind,Independent from Biomass,Biomass,Biomass for Ind,-,-,-/
Biomass for Ind CC,Ind,Independent from Biomass,Biomass,Biomass for Ind,CO2 CC,-,-/
BioSNG,Biomass,,Biomass,Gas,-,-,biomass/biosng
BioSNG CC,Biomass,,Biomass,Gas,CO2 CC,-,biomass/biosng
BtL,Biomass,,Biomass,Oil,-,-,biomass/biomass_to_liquid
BtL CC,Biomass,,Biomass,Oil,CO2 CC,-,biomass/biomass_to_liquid
CCGT,Base,,Gas,Elec,CO2,-,sector/conventional_carriers
central air-sourced heat pump,Heat,,Elec,Heat_buses,-,-,-/
central gas boiler,Heat,,Gas,Heat_buses,-,-,-/
central gas CHP,Heat,,Gas,Elec,Heat_buses,-,sector/chp
central gas CHP CC,Heat,,Gas,Elec,Heat_buses,CO2 CC,sector/chp
central ground-sourced heat pump,Heat,,Elec,Heat_buses,-,-,-/
central resistive heater,Heat,,Elec,Heat_buses,-,-,sector/boilers
central solar thermal,Heat,,Heat_buses,-,-,-,sector/solar_thermal
Central solid biomass CHP,Biomass + Heat,,Biomass,Elec,Heat,-,sector/chp
Central solid biomass CHP CC,Biomass + Heat,,Biomass,Elec,Heat,CO2 CC,sector/chp
central water tank storage,Heat,,Heat storage,-,-,-,sector/tes
CH4 (g) pipeline,Base,,Gas,-,-,-,sector/gas_network
CO2 pipeline,Base ,,CO2 CC,-,-,-,sector/co2_network
CO2 sequestration,Base,,CO2 CC,-,-,-,sector/regional_co2_sequestration_potential
Coal ,Base,,Coal,Elec,CO2 CC,CO2,sector/conventional_carriers
Coal CC,Base,,Coal,Elec,CO2,-,sector/coal_cc
DC links,Base,,Elec (DC),Elec,-,-,-/
decentral air-sourced heat pump,Heat,,Elec,Heat_buses,-,-,-/
decentral gas boiler,Heat,,Gas,Heat_buses,-,-,sector/boilers
decentral ground-sourced heat pump,Heat,,Elec,Heat_buses,-,-,-/
decentral oil boiler,Ind,,Oil,Heat,-,-,sector/oil_boilers
decentral resistive heater,Heat,,Elec,Heat_buses,-,-,sector/boilers
decentral solar thermal,Heat,,Heat_buses,-,-,-,sector/solar_thermal
decentral water tank storage,Heat,,Heat storage,-,-,-,sector/tes
